suite,split,agent,model,trials,status
smoke,dev,heuristic,mock,1,implemented
smoke,dev,spec_first,mock,1,implemented
full_api,test,direct,gpt_compatible,3,placeholder
full_api,test,plan_first,gpt_compatible,3,placeholder
full_api,test,spec_first,gpt_compatible,3,placeholder
full_api,test,oracle_spec,gpt_compatible,3,placeholder
full_api,test,direct,claude_compatible,3,placeholder
full_api,test,plan_first,claude_compatible,3,placeholder
full_api,test,spec_first,claude_compatible,3,placeholder
full_api,test,oracle_spec,claude_compatible,3,placeholder
full_api,test,direct,gemini_compatible,3,placeholder
full_api,test,plan_first,gemini_compatible,3,placeholder
full_api,test,spec_first,gemini_compatible,3,placeholder
full_api,test,oracle_spec,gemini_compatible,3,placeholder
full_api,test,direct,openrouter_compatible,3,placeholder
full_api,test,plan_first,openrouter_compatible,3,placeholder
full_api,test,spec_first,openrouter_compatible,3,placeholder
full_api,test,oracle_spec,openrouter_compatible,3,placeholder
full_api,test,direct,ollama_local,3,placeholder
full_api,test,plan_first,ollama_local,3,placeholder
full_api,test,spec_first,ollama_local,3,placeholder
full_api,test,oracle_spec,ollama_local,3,placeholder
