model,agent,fine_failure_family,n_trials,n_tasks,mean_near_miss_detection_rate,mean_false_accept_rate,mean_donespec_valid,mean_task_success,mean_cc_f1
deepseek_chat,direct,artifact_content,1200,400,0.6,0.4,1.0,0.0,0.3824556626938593
deepseek_chat,direct,conflict,1500,500,0.6,0.4,1.0,0.0,0.3705375412398632
deepseek_chat,direct,other,1500,500,0.6,0.4,1.0,0.0,0.3705375412398632
deepseek_chat,direct,policy_confirmation,1500,500,0.6,0.4,1.0,0.0,0.3705375412398632
deepseek_chat,direct,recipient_permission,600,200,0.6,0.4,1.0,0.0,0.39482023447542025
deepseek_chat,direct,side_effect,1500,500,0.6,0.4,1.0,0.0,0.3705375412398632
deepseek_chat,direct,state_integrity,300,100,0.6,0.4,1.0,0.0,0.34762972192925756
deepseek_chat,direct,temporal,600,100,0.6,0.4,1.0,0.0,0.32286505542387894
deepseek_chat,direct,terminal_state,1500,500,0.6,0.4,1.0,0.0,0.3705375412398632
deepseek_chat,direct,workflow_ownership,300,100,0.6,0.4,1.0,0.0,0.39255245989533916
deepseek_chat,plan_first,artifact_content,1200,400,0.6,0.4,1.0,0.0,0.4525763861377925
deepseek_chat,plan_first,conflict,1500,500,0.5992,0.40080000000000005,0.9986666666666667,0.0,0.43859568958010875
deepseek_chat,plan_first,other,1500,500,0.5992,0.40080000000000005,0.9986666666666667,0.0,0.43859568958010875
deepseek_chat,plan_first,policy_confirmation,1500,500,0.5992,0.40080000000000005,0.9986666666666667,0.0,0.43859568958010875
deepseek_chat,plan_first,recipient_permission,600,200,0.6,0.4,1.0,0.0,0.4636694844686331
deepseek_chat,plan_first,side_effect,1500,500,0.5992,0.40080000000000005,0.9986666666666667,0.0,0.43859568958010875
deepseek_chat,plan_first,state_integrity,300,100,0.6,0.4,1.0,0.0,0.41818840201193147
deepseek_chat,plan_first,temporal,600,100,0.596,0.404,0.9933333333333333,0.0,0.3826729033493739
deepseek_chat,plan_first,terminal_state,1500,500,0.5992,0.40080000000000005,0.9986666666666667,0.0,0.43859568958010875
deepseek_chat,plan_first,workflow_ownership,300,100,0.6,0.4,1.0,0.0,0.46477817360197227
deepseek_chat,spec_first,artifact_content,1200,400,0.1305,0.8695,0.2175,0.0,0.5443533347688466
deepseek_chat,spec_first,conflict,1500,500,0.1196,0.8804,0.19933333333333333,0.0,0.5256601840209216
deepseek_chat,spec_first,other,1500,500,0.1196,0.8804,0.19933333333333333,0.0,0.5256601840209216
deepseek_chat,spec_first,policy_confirmation,1500,500,0.1196,0.8804,0.19933333333333333,0.0,0.5256601840209216
deepseek_chat,spec_first,recipient_permission,600,200,0.12,0.88,0.2,0.0,0.5472370574379828
deepseek_chat,spec_first,side_effect,1500,500,0.1196,0.8804,0.19933333333333333,0.0,0.5256601840209216
deepseek_chat,spec_first,state_integrity,300,100,0.13599999999999998,0.864,0.22666666666666666,0.0,0.5381520631930848
deepseek_chat,spec_first,temporal,600,100,0.076,0.9239999999999999,0.12666666666666668,0.0,0.45088758102922194
deepseek_chat,spec_first,terminal_state,1500,500,0.1196,0.8804,0.19933333333333333,0.0,0.5256601840209216
deepseek_chat,spec_first,workflow_ownership,300,100,0.146,0.854,0.24333333333333335,0.0,0.5447871610063358
deepseek_reasoner,direct,artifact_content,1200,400,0.6,0.4,1.0,0.0,0.4817005897965398
deepseek_reasoner,direct,conflict,1500,500,0.6,0.4,1.0,0.0,0.4571611280781358
deepseek_reasoner,direct,other,1500,500,0.6,0.4,1.0,0.0,0.4571611280781358
deepseek_reasoner,direct,policy_confirmation,1500,500,0.6,0.4,1.0,0.0,0.4571611280781358
deepseek_reasoner,direct,recipient_permission,600,200,0.6,0.4,1.0,0.0,0.49485460329443365
deepseek_reasoner,direct,side_effect,1500,500,0.6,0.4,1.0,0.0,0.4571611280781358
deepseek_reasoner,direct,state_integrity,300,100,0.6,0.4,1.0,0.0,0.4582877788705962
deepseek_reasoner,direct,temporal,600,100,0.6,0.4,1.0,0.0,0.3590032812045196
deepseek_reasoner,direct,terminal_state,1500,500,0.6,0.4,1.0,0.0,0.4571611280781358
deepseek_reasoner,direct,workflow_ownership,300,100,0.6,0.4,1.0,0.0,0.4788053737266956
deepseek_reasoner,plan_first,artifact_content,1200,400,0.596,0.404,0.9933333333333333,0.0,0.49265382688403114
deepseek_reasoner,plan_first,conflict,1500,500,0.5956,0.40440000000000004,0.9926666666666667,0.0,0.4727402006861288
deepseek_reasoner,plan_first,other,1500,500,0.5956,0.40440000000000004,0.9926666666666667,0.0,0.4727402006861288
deepseek_reasoner,plan_first,policy_confirmation,1500,500,0.5956,0.40440000000000004,0.9926666666666667,0.0,0.4727402006861288
deepseek_reasoner,plan_first,recipient_permission,600,200,0.598,0.402,0.9966666666666667,0.0,0.48316568269864474
deepseek_reasoner,plan_first,side_effect,1500,500,0.5956,0.40440000000000004,0.9926666666666667,0.0,0.4727402006861288
deepseek_reasoner,plan_first,state_integrity,300,100,0.596,0.404,0.9933333333333333,0.0,0.474842999761091
deepseek_reasoner,plan_first,temporal,600,100,0.594,0.406,0.99,0.0,0.3930856958945194
deepseek_reasoner,plan_first,terminal_state,1500,500,0.5956,0.40440000000000004,0.9926666666666667,0.0,0.4727402006861288
deepseek_reasoner,plan_first,workflow_ownership,300,100,0.592,0.40800000000000003,0.9866666666666667,0.0,0.5294409423777441
deepseek_reasoner,spec_first,artifact_content,1200,400,0.4945,0.5055000000000001,0.8241666666666667,0.06166666666666667,0.5814776715294249
deepseek_reasoner,spec_first,conflict,1500,500,0.4972,0.5028,0.8286666666666667,0.052,0.5643851034473769
deepseek_reasoner,spec_first,other,1500,500,0.4972,0.5028,0.8286666666666667,0.052,0.5643851034473769
deepseek_reasoner,spec_first,policy_confirmation,1500,500,0.4972,0.5028,0.8286666666666667,0.052,0.5643851034473769
deepseek_reasoner,spec_first,recipient_permission,600,200,0.492,0.508,0.82,0.056666666666666664,0.5686473753669642
deepseek_reasoner,spec_first,side_effect,1500,500,0.4972,0.5028,0.8286666666666667,0.052,0.5643851034473769
deepseek_reasoner,spec_first,state_integrity,300,100,0.5159999999999999,0.48400000000000004,0.86,0.0,0.59032068423891
deepseek_reasoner,spec_first,temporal,600,100,0.508,0.492,0.8466666666666667,0.013333333333333334,0.49601483111918565
deepseek_reasoner,spec_first,terminal_state,1500,500,0.4972,0.5028,0.8286666666666667,0.052,0.5643851034473769
deepseek_reasoner,spec_first,workflow_ownership,300,100,0.47800000000000004,0.522,0.7966666666666666,0.13333333333333333,0.5982952511448607
deepseek_v4_flash,direct,artifact_content,1200,400,0.5995,0.4005,0.9991666666666666,0.0,0.46071934216416993
deepseek_v4_flash,direct,conflict,1500,500,0.5996,0.40040000000000003,0.9993333333333333,0.0,0.4447737765522393
deepseek_v4_flash,direct,other,1500,500,0.5996,0.40040000000000003,0.9993333333333333,0.0,0.4447737765522393
deepseek_v4_flash,direct,policy_confirmation,1500,500,0.5996,0.40040000000000003,0.9993333333333333,0.0,0.4447737765522393
deepseek_v4_flash,direct,recipient_permission,600,200,0.6,0.4,1.0,0.0,0.45120961640138174
deepseek_v4_flash,direct,side_effect,1500,500,0.5996,0.40040000000000003,0.9993333333333333,0.0,0.4447737765522393
deepseek_v4_flash,direct,state_integrity,300,100,0.6,0.4,1.0,0.0,0.4596764481897406
deepseek_v4_flash,direct,temporal,600,100,0.6,0.4,1.0,0.0,0.3809915141045172
deepseek_v4_flash,direct,terminal_state,1500,500,0.5996,0.40040000000000003,0.9993333333333333,0.0,0.4447737765522393
deepseek_v4_flash,direct,workflow_ownership,300,100,0.598,0.402,0.9966666666666667,0.0,0.4807816876641752
deepseek_v4_flash,plan_first,artifact_content,1200,400,0.597,0.403,0.995,0.0,0.503070133100785
deepseek_v4_flash,plan_first,conflict,1500,500,0.5976,0.40240000000000004,0.996,0.0,0.4790803066240232
deepseek_v4_flash,plan_first,other,1500,500,0.5976,0.40240000000000004,0.996,0.0,0.4790803066240232
deepseek_v4_flash,plan_first,policy_confirmation,1500,500,0.5976,0.40240000000000004,0.996,0.0,0.4790803066240232
deepseek_v4_flash,plan_first,recipient_permission,600,200,0.599,0.401,0.9983333333333333,0.0,0.49882518599528625
deepseek_v4_flash,plan_first,side_effect,1500,500,0.5976,0.40240000000000004,0.996,0.0,0.4790803066240232
