run_key,run,model,agent,agent_family,n_trials,n_tasks,k,cc_f1_pct,donespec_valid_pct,near_miss_detection_pct,task_success_pct,task_success_ci_low_pct,task_success_ci_high_pct,pass_at_k_pct,consistency_pct,self_violation_pct,parse_rate_pct,fallback_rate_pct
standard_toolplan,Standard tool-plan pilot,deepseek_v4_flash,direct,direct,50,50,1,44.42,100.0,60.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0
standard_toolplan,Standard tool-plan pilot,deepseek_v4_flash,plan_first,plan_first,50,50,1,46.61,100.0,60.0,0.0,0.0,0.0,0.0,100.0,100.0,98.0,2.0
standard_toolplan,Standard tool-plan pilot,deepseek_v4_flash,spec_first,spec_first,50,50,1,67.43,94.0,56.4,14.0,6.0,24.0,14.0,100.0,74.67,78.0,22.0
standard_toolplan,Standard tool-plan pilot,deepseek_v4_pro,direct,direct,50,50,1,55.47,92.0,55.2,0.0,0.0,0.0,0.0,100.0,100.0,90.0,10.0
standard_toolplan,Standard tool-plan pilot,deepseek_v4_pro,plan_first,plan_first,50,50,1,54.87,94.0,56.4,0.0,0.0,0.0,0.0,100.0,100.0,94.0,6.0
standard_toolplan,Standard tool-plan pilot,deepseek_v4_pro,spec_first,spec_first,50,50,1,68.48,76.0,45.6,10.0,2.0,20.0,10.0,100.0,82.67,56.0,44.0
token_matched,Token-matched pilot,deepseek_v4_flash,direct_token_matched,direct,50,50,1,46.95,100.0,60.0,18.0,8.0,28.0,18.0,100.0,68.33,100.0,0.0
token_matched,Token-matched pilot,deepseek_v4_flash,plan_first_token_matched,plan_first,50,50,1,46.0,98.0,58.8,16.0,6.0,26.0,16.0,100.0,68.0,100.0,0.0
token_matched,Token-matched pilot,deepseek_v4_flash,spec_first_token_matched,spec_first,50,50,1,59.38,92.0,92.0,18.0,8.0,30.0,18.0,100.0,74.0,90.0,10.0
token_matched,Token-matched pilot,deepseek_v4_pro,direct_token_matched,direct,50,50,1,56.95,98.0,58.8,8.0,2.0,16.0,8.0,100.0,83.67,96.0,4.0
token_matched,Token-matched pilot,deepseek_v4_pro,plan_first_token_matched,plan_first,50,50,1,54.02,92.0,55.2,14.0,6.0,24.0,14.0,100.0,72.0,96.0,4.0
token_matched,Token-matched pilot,deepseek_v4_pro,spec_first_token_matched,spec_first,50,50,1,63.68,68.0,68.0,10.0,2.0,18.0,10.0,100.0,83.67,86.0,14.0
replicates_5x,5-trial replicates pilot,deepseek_v4_flash,direct,direct,250,50,5,45.39,100.0,60.0,0.0,0.0,0.0,0.0,100.0,100.0,98.4,1.6
replicates_5x,5-trial replicates pilot,deepseek_v4_flash,plan_first,plan_first,250,50,5,50.47,98.8,59.28,0.0,0.0,0.0,0.0,100.0,100.0,96.0,4.0
replicates_5x,5-trial replicates pilot,deepseek_v4_flash,spec_first,spec_first,250,50,5,60.07,88.4,53.04,12.0,8.0,16.01,34.0,66.0,78.07,87.2,12.8
replicates_5x,5-trial replicates pilot,deepseek_v4_pro,direct,direct,250,50,5,59.55,96.8,58.08,0.0,0.0,0.0,0.0,100.0,100.0,87.2,12.8
replicates_5x,5-trial replicates pilot,deepseek_v4_pro,plan_first,plan_first,250,50,5,57.84,92.8,55.68,0.0,0.0,0.0,0.0,100.0,100.0,88.4,11.6
replicates_5x,5-trial replicates pilot,deepseek_v4_pro,spec_first,spec_first,250,50,5,70.14,75.6,45.36,13.6,9.59,18.0,44.0,56.0,73.6,61.6,38.4
