run_key,run,domain,agent_family,n_trials,task_success_pct,cc_f1_pct,near_miss_detection_pct,self_violation_pct
standard_toolplan,Standard tool-plan pilot,calendar,direct,20,0.0,39.35,57.0,100.0
standard_toolplan,Standard tool-plan pilot,calendar,plan_first,20,0.0,39.66,60.0,100.0
standard_toolplan,Standard tool-plan pilot,calendar,spec_first,20,10.0,59.94,45.0,86.67
standard_toolplan,Standard tool-plan pilot,crm_workflow,direct,20,0.0,62.29,60.0,100.0
standard_toolplan,Standard tool-plan pilot,crm_workflow,plan_first,20,0.0,59.0,57.0,100.0
standard_toolplan,Standard tool-plan pilot,crm_workflow,spec_first,20,25.0,69.93,45.0,75.0
standard_toolplan,Standard tool-plan pilot,email,direct,20,0.0,51.34,54.0,100.0
standard_toolplan,Standard tool-plan pilot,email,plan_first,20,0.0,52.45,57.0,100.0
standard_toolplan,Standard tool-plan pilot,email,spec_first,20,25.0,68.23,54.0,75.0
standard_toolplan,Standard tool-plan pilot,file_doc,direct,20,0.0,51.26,57.0,100.0
standard_toolplan,Standard tool-plan pilot,file_doc,plan_first,20,0.0,49.35,57.0,100.0
standard_toolplan,Standard tool-plan pilot,file_doc,spec_first,20,0.0,74.12,57.0,76.67
standard_toolplan,Standard tool-plan pilot,sheet_db,direct,20,0.0,45.5,60.0,100.0
standard_toolplan,Standard tool-plan pilot,sheet_db,plan_first,20,0.0,53.24,60.0,100.0
standard_toolplan,Standard tool-plan pilot,sheet_db,spec_first,20,0.0,67.55,54.0,80.0
token_matched,Token-matched pilot,calendar,direct,20,0.0,42.41,60.0,93.33
token_matched,Token-matched pilot,calendar,plan_first,20,5.0,40.41,57.0,88.33
token_matched,Token-matched pilot,calendar,spec_first,20,5.0,53.59,80.0,95.0
token_matched,Token-matched pilot,crm_workflow,direct,20,20.0,53.67,57.0,77.5
token_matched,Token-matched pilot,crm_workflow,plan_first,20,15.0,53.79,54.0,85.0
token_matched,Token-matched pilot,crm_workflow,spec_first,20,25.0,68.21,95.0,75.0
token_matched,Token-matched pilot,email,direct,20,45.0,52.88,60.0,52.5
token_matched,Token-matched pilot,email,plan_first,20,55.0,48.73,57.0,41.67
token_matched,Token-matched pilot,email,spec_first,20,40.0,53.79,70.0,60.0
token_matched,Token-matched pilot,file_doc,direct,20,0.0,56.22,60.0,71.67
token_matched,Token-matched pilot,file_doc,plan_first,20,0.0,56.1,57.0,65.0
token_matched,Token-matched pilot,file_doc,spec_first,20,0.0,64.88,80.0,80.83
token_matched,Token-matched pilot,sheet_db,direct,20,0.0,54.57,60.0,85.0
token_matched,Token-matched pilot,sheet_db,plan_first,20,0.0,51.02,60.0,70.0
token_matched,Token-matched pilot,sheet_db,spec_first,20,0.0,67.19,75.0,83.33
replicates_5x,5-trial replicates pilot,calendar,direct,100,0.0,43.8,58.8,100.0
replicates_5x,5-trial replicates pilot,calendar,plan_first,100,0.0,45.23,57.0,100.0
replicates_5x,5-trial replicates pilot,calendar,spec_first,100,8.0,56.25,46.8,90.67
replicates_5x,5-trial replicates pilot,crm_workflow,direct,100,0.0,59.11,58.2,100.0
replicates_5x,5-trial replicates pilot,crm_workflow,plan_first,100,0.0,60.51,57.0,100.0
replicates_5x,5-trial replicates pilot,crm_workflow,spec_first,100,22.0,70.61,48.0,77.5
replicates_5x,5-trial replicates pilot,email,direct,100,0.0,49.37,59.4,100.0
replicates_5x,5-trial replicates pilot,email,plan_first,100,0.0,48.94,57.6,100.0
replicates_5x,5-trial replicates pilot,email,spec_first,100,34.0,60.18,51.6,64.0
replicates_5x,5-trial replicates pilot,file_doc,direct,100,0.0,52.02,59.4,100.0
replicates_5x,5-trial replicates pilot,file_doc,plan_first,100,0.0,56.89,57.0,100.0
replicates_5x,5-trial replicates pilot,file_doc,spec_first,100,0.0,67.32,46.8,69.0
replicates_5x,5-trial replicates pilot,sheet_db,direct,100,0.0,58.04,59.4,100.0
replicates_5x,5-trial replicates pilot,sheet_db,plan_first,100,0.0,59.23,58.8,100.0
replicates_5x,5-trial replicates pilot,sheet_db,spec_first,100,0.0,71.15,52.8,78.0
