model,agent,execution_mode,spec_parse_status,action_parse_status,n
deepseek_v4_flash,direct,tool_plan_executor,fallback,parsed,2
deepseek_v4_flash,direct,tool_plan_executor,parsed,invalid_no_fallback,53
deepseek_v4_flash,direct,tool_plan_executor,parsed,parsed,45
deepseek_v4_flash,plan_first,tool_plan_executor,parsed,invalid_no_fallback,54
deepseek_v4_flash,plan_first,tool_plan_executor,parsed,parsed,46
deepseek_v4_flash,spec_first,tool_plan_executor,fallback,invalid_no_fallback,1
deepseek_v4_flash,spec_first,tool_plan_executor,fallback,parsed,8
deepseek_v4_flash,spec_first,tool_plan_executor,parsed,invalid_no_fallback,43
deepseek_v4_flash,spec_first,tool_plan_executor,parsed,parsed,48
deepseek_v4_pro,direct,tool_plan_executor,fallback,invalid_no_fallback,8
deepseek_v4_pro,direct,tool_plan_executor,fallback,parsed,2
deepseek_v4_pro,direct,tool_plan_executor,parsed,invalid_no_fallback,68
deepseek_v4_pro,direct,tool_plan_executor,parsed,parsed,22
deepseek_v4_pro,plan_first,tool_plan_executor,fallback,invalid_no_fallback,4
deepseek_v4_pro,plan_first,tool_plan_executor,fallback,parsed,2
deepseek_v4_pro,plan_first,tool_plan_executor,parsed,invalid_no_fallback,71
deepseek_v4_pro,plan_first,tool_plan_executor,parsed,parsed,23
deepseek_v4_pro,spec_first,tool_plan_executor,fallback,invalid_no_fallback,11
deepseek_v4_pro,spec_first,tool_plan_executor,fallback,parsed,21
deepseek_v4_pro,spec_first,tool_plan_executor,parsed,invalid_no_fallback,35
deepseek_v4_pro,spec_first,tool_plan_executor,parsed,parsed,33
