model,provider_model,agent,input_tokens,output_tokens,latency_s,attempts,token_estimated,estimated_cost_usd
deepseek_v4_flash,deepseek-v4-flash,direct,449,942,18.387126500019804,1,False,0.00032662000000000007
deepseek_v4_flash,deepseek-v4-flash,direct,451,657,12.416084099997533,1,False,0.00024710000000000004
deepseek_v4_flash,deepseek-v4-flash,direct,444,532,10.463764600019203,1,False,0.00021112
deepseek_v4_flash,deepseek-v4-flash,direct,445,784,15.156193100003293,1,False,0.00028182
deepseek_v4_flash,deepseek-v4-flash,direct,439,449,9.160821500001475,1,False,0.00018718
deepseek_v4_flash,deepseek-v4-flash,direct,459,773,15.785956900013844,1,False,0.00028070000000000005
deepseek_v4_flash,deepseek-v4-flash,direct,469,604,11.326007600000594,1,False,0.00023478000000000003
deepseek_v4_flash,deepseek-v4-flash,direct,434,743,14.95478689999436,1,False,0.00026880000000000003
deepseek_v4_flash,deepseek-v4-flash,direct,454,895,17.306444799993187,1,False,0.00031416
deepseek_v4_flash,deepseek-v4-flash,direct,450,729,14.58208600000944,1,False,0.0002671200000000001
deepseek_v4_flash,deepseek-v4-flash,direct,447,869,17.566050699999323,1,False,0.0003059
deepseek_v4_flash,deepseek-v4-flash,direct,473,1031,19.343330899981083,1,False,0.0003549
deepseek_v4_flash,deepseek-v4-flash,direct,456,1362,25.320522099995287,1,False,0.00044520000000000003
deepseek_v4_flash,deepseek-v4-flash,direct,439,899,16.082087899994804,1,False,0.0003131800000000001
deepseek_v4_flash,deepseek-v4-flash,direct,456,853,15.562703499977943,1,False,0.00030268000000000005
deepseek_v4_flash,deepseek-v4-flash,direct,447,1028,18.604671600012807,1,False,0.00035042
deepseek_v4_flash,deepseek-v4-flash,direct,441,1036,19.891943499998888,1,False,0.00035182000000000003
deepseek_v4_flash,deepseek-v4-flash,direct,468,1689,31.214050100010354,1,False,0.0005384400000000001
deepseek_v4_flash,deepseek-v4-flash,direct,446,1590,29.037641100003384,1,False,0.0005076400000000001
deepseek_v4_flash,deepseek-v4-flash,direct,453,1487,26.34885760000907,1,False,0.00047978
deepseek_v4_flash,deepseek-v4-flash,direct,446,1249,23.117096100002527,1,False,0.00041216
deepseek_v4_flash,deepseek-v4-flash,direct,451,1148,21.763065300008748,1,False,0.00038458000000000003
deepseek_v4_flash,deepseek-v4-flash,direct,452,1171,22.614238900016062,1,False,0.0003911600000000001
deepseek_v4_flash,deepseek-v4-flash,direct,454,1184,22.831419499998447,1,False,0.00039508
deepseek_v4_flash,deepseek-v4-flash,direct,471,1274,24.1935661000025,1,False,0.00042266000000000005
deepseek_v4_flash,deepseek-v4-flash,direct,449,1682,28.566950199980056,1,False,0.0005338200000000001
deepseek_v4_flash,deepseek-v4-flash,direct,454,1578,28.768107299983967,1,False,0.0005054
deepseek_v4_flash,deepseek-v4-flash,direct,444,1885,31.5796105999907,1,False,0.00058996
deepseek_v4_flash,deepseek-v4-flash,direct,470,1867,31.08473239999148,1,False,0.0005885600000000001
deepseek_v4_flash,deepseek-v4-flash,direct,448,2400,39.90635870001279,1,False,0.0007347200000000001
deepseek_v4_flash,deepseek-v4-flash,direct,470,2074,34.572685799998,1,False,0.0006465199999999999
deepseek_v4_flash,deepseek-v4-flash,direct,448,839,14.735346699977526,1,False,0.00029764000000000006
deepseek_v4_flash,deepseek-v4-flash,direct,465,2400,43.638109699997585,1,False,0.0007371000000000002
deepseek_v4_flash,deepseek-v4-flash,direct,446,943,15.328298100008396,1,False,0.00032648000000000003
deepseek_v4_flash,deepseek-v4-flash,direct,436,1124,17.822641200007638,1,False,0.00037576000000000005
deepseek_v4_flash,deepseek-v4-flash,direct,472,1157,18.88244859999395,1,False,0.0003900400000000001
deepseek_v4_flash,deepseek-v4-flash,direct,446,840,15.408509600005345,1,False,0.00029764000000000006
deepseek_v4_flash,deepseek-v4-flash,direct,447,1757,30.55510509997839,1,False,0.0005545400000000001
deepseek_v4_flash,deepseek-v4-flash,direct,456,946,16.661069199995836,1,False,0.00032872
deepseek_v4_flash,deepseek-v4-flash,direct,467,791,14.252760799980024,1,False,0.00028686
deepseek_v4_flash,deepseek-v4-flash,direct,453,939,16.737124799983576,1,False,0.00032634000000000005
deepseek_v4_flash,deepseek-v4-flash,direct,468,1043,17.8657569999923,1,False,0.00035756000000000004
deepseek_v4_flash,deepseek-v4-flash,direct,447,636,10.648085299995728,1,False,0.00024066000000000002
