model,agent,domain,n,mean_cc_f1,mean_task_success,mean_near_miss_detection_rate,mean_self_violation_rate,bad_spec_bad_execution_count,good_spec_bad_execution_count,bad_spec_good_execution_count,good_spec_good_execution_count,bad_spec_bad_execution_rate,good_spec_bad_execution_rate,bad_spec_good_execution_rate,good_spec_good_execution_rate,good_spec_rate,good_execution_rate,spec_exec_gap,dominant_quadrant
deepseek_v4_flash,direct,calendar,20,0.40176608538941505,0.0,0.7142857142857143,0.45,19,1,0,0,0.95,0.05,0.0,0.0,0.05,0.0,0.05,bad_spec_bad_execution
deepseek_v4_flash,direct,crm_workflow,20,0.5375591664838489,0.0,0.7142857142857143,0.3470238095238095,17,3,0,0,0.85,0.15,0.0,0.0,0.15,0.0,0.15,bad_spec_bad_execution
deepseek_v4_flash,direct,email,20,0.6056040469827655,0.0,0.7142857142857143,0.39642857142857146,17,3,0,0,0.85,0.15,0.0,0.0,0.15,0.0,0.15,bad_spec_bad_execution
deepseek_v4_flash,direct,file_doc,20,0.5332495158854696,0.0,0.7142857142857143,0.4,18,2,0,0,0.9,0.1,0.0,0.0,0.1,0.0,0.1,bad_spec_bad_execution
deepseek_v4_flash,direct,sheet_db,20,0.4594897278653504,0.0,0.7142857142857143,0.4375,20,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,bad_spec_bad_execution
deepseek_v4_flash,plan_first,calendar,20,0.38791980751110516,0.0,0.7142857142857143,0.4875,20,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,bad_spec_bad_execution
deepseek_v4_flash,plan_first,crm_workflow,20,0.5301139211665528,0.0,0.7142857142857143,0.42559523809523814,18,2,0,0,0.9,0.1,0.0,0.0,0.1,0.0,0.1,bad_spec_bad_execution
deepseek_v4_flash,plan_first,email,20,0.5787305467225375,0.0,0.7142857142857143,0.38392857142857145,20,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,bad_spec_bad_execution
deepseek_v4_flash,plan_first,file_doc,20,0.5450668223395037,0.0,0.7142857142857143,0.4416666666666667,19,1,0,0,0.95,0.05,0.0,0.0,0.05,0.0,0.05,bad_spec_bad_execution
deepseek_v4_flash,plan_first,sheet_db,20,0.5172796295551714,0.0,0.7142857142857143,0.475,17,3,0,0,0.85,0.15,0.0,0.0,0.15,0.0,0.15,bad_spec_bad_execution
deepseek_v4_flash,spec_first,calendar,20,0.5038691786550134,0.0,0.6785714285714286,0.525,18,2,0,0,0.9,0.1,0.0,0.0,0.1,0.0,0.1,bad_spec_bad_execution
deepseek_v4_flash,spec_first,crm_workflow,20,0.6461527677719582,0.1,0.6428571428571429,0.38492063492063494,18,0,0,2,0.9,0.0,0.0,0.1,0.1,0.1,0.0,bad_spec_bad_execution
deepseek_v4_flash,spec_first,email,20,0.6442996743912076,0.05,0.6428571428571429,0.3997023809523809,16,3,1,0,0.8,0.15,0.05,0.0,0.15,0.05,0.09999999999999999,bad_spec_bad_execution
deepseek_v4_flash,spec_first,file_doc,20,0.6773529140577196,0.0,0.6785714285714286,0.3876984126984127,14,6,0,0,0.7,0.3,0.0,0.0,0.3,0.0,0.3,bad_spec_bad_execution
deepseek_v4_flash,spec_first,sheet_db,20,0.695285789725149,0.15,0.7142857142857143,0.35,11,6,3,0,0.55,0.3,0.15,0.0,0.3,0.15,0.15,bad_spec_bad_execution
deepseek_v4_pro,direct,calendar,20,0.6012228079398442,0.0,0.6785714285714286,0.5125,16,4,0,0,0.8,0.2,0.0,0.0,0.2,0.0,0.2,bad_spec_bad_execution
deepseek_v4_pro,direct,crm_workflow,20,0.5063249424250522,0.0,0.7142857142857143,0.45178571428571423,19,1,0,0,0.95,0.05,0.0,0.0,0.05,0.0,0.05,bad_spec_bad_execution
deepseek_v4_pro,direct,email,20,0.6812510690428311,0.0,0.7142857142857143,0.4821428571428571,15,5,0,0,0.75,0.25,0.0,0.0,0.25,0.0,0.25,bad_spec_bad_execution
deepseek_v4_pro,direct,file_doc,20,0.6400590291351161,0.0,0.7142857142857143,0.4625,15,5,0,0,0.75,0.25,0.0,0.0,0.25,0.0,0.25,bad_spec_bad_execution
deepseek_v4_pro,direct,sheet_db,20,0.6912544949329846,0.0,0.7142857142857143,0.475,15,5,0,0,0.75,0.25,0.0,0.0,0.25,0.0,0.25,bad_spec_bad_execution
deepseek_v4_pro,plan_first,calendar,20,0.5830792336231065,0.0,0.6071428571428571,0.575,17,3,0,0,0.85,0.15,0.0,0.0,0.15,0.0,0.15,bad_spec_bad_execution
deepseek_v4_pro,plan_first,crm_workflow,20,0.6026411478129698,0.0,0.6785714285714286,0.525,19,1,0,0,0.95,0.05,0.0,0.0,0.05,0.0,0.05,bad_spec_bad_execution
deepseek_v4_pro,plan_first,email,20,0.6910760978152283,0.0,0.6428571428571429,0.47678571428571426,16,4,0,0,0.8,0.2,0.0,0.0,0.2,0.0,0.2,bad_spec_bad_execution
deepseek_v4_pro,plan_first,file_doc,20,0.6010270532924995,0.0,0.6785714285714286,0.46964285714285714,15,5,0,0,0.75,0.25,0.0,0.0,0.25,0.0,0.25,bad_spec_bad_execution
