domain,self_violation_signature,n,mean_cc_f1,mean_task_success,mean_self_violation_rate,mean_own_spec_pass
calendar,no_confirmation,113,0.5396720672342157,0.0,0.5353982300884956,0.0
calendar,state_only,7,0.5902636916835701,0.0,0.2857142857142857,0.0
crm_workflow,no_confirmation,83,0.540194827659791,0.0,0.536144578313253,0.0
crm_workflow,state_only,33,0.6465200642273589,0.0,0.23460798460798457,0.0
email,no_confirmation,82,0.6469677262639254,0.0,0.5609756097560976,0.0
email,state_only,33,0.6345061914023845,0.0,0.23358585858585856,0.0
file_doc,no_confirmation,89,0.6313020079790828,0.0,0.5674157303370787,0.0
file_doc,state_only,24,0.5336115125601429,0.0,0.2595899470899471,0.0
sheet_db,no_confirmation,82,0.6192129573060106,0.0,0.5121951219512195,0.0
sheet_db,state_only,34,0.5943511391756742,0.0,0.4068627450980392,0.0
