task_id,domain,difficulty,agent,model,trial,cc_precision,cc_recall,cc_f1,success_f1,failure_f1,required_observation_recall,overconstraint_rate,underspecification_rate,donespec_valid,near_miss_detection_rate,near_miss_false_accept_rate,valid_accept_rate,verifier_robustness_balanced_accuracy,task_success,own_spec_pass,spec_action_consistency,self_violation_rate,quadrant,invalid_taxon,invalid_taxon_description
sheet_db_034,sheet_db,L2,spec_first,deepseek_v4_pro,0,1.0,0.2,0.33333333333333337,0.18181818181818182,0.5,0.5,0.0,0.8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,invalid_execution_exception,DoneSpec raises during evaluation or cannot be executed.
calendar_026,calendar,L2,direct,deepseek_v4_pro,0,1.0,0.26666666666666666,0.4210526315789474,0.16666666666666669,0.6666666666666666,1.0,0.0,0.7333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,invalid_execution_exception,DoneSpec raises during evaluation or cannot be executed.
sheet_db_033,sheet_db,L2,spec_first,deepseek_v4_pro,0,1.0,0.26666666666666666,0.4210526315789474,0.18181818181818182,0.8,0.5,0.0,0.7333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,invalid_execution_exception,DoneSpec raises during evaluation or cannot be executed.
file_doc_036,file_doc,L2,spec_first,deepseek_v4_pro,0,1.0,0.26666666666666666,0.4210526315789474,0.33333333333333337,0.5,0.5,0.0,0.7333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,invalid_execution_exception,DoneSpec raises during evaluation or cannot be executed.
crm_workflow_024,crm_workflow,L2,plan_first,deepseek_v4_pro,0,1.0,0.3333333333333333,0.5,0.3076923076923077,0.6666666666666666,1.0,0.0,0.6666666666666666,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,invalid_execution_exception,DoneSpec raises during evaluation or cannot be executed.
crm_workflow_026,crm_workflow,L2,spec_first,deepseek_v4_pro,0,1.0,0.3333333333333333,0.5,0.42857142857142855,0.6666666666666666,0.5,0.0,0.6666666666666666,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,invalid_execution_exception,DoneSpec raises during evaluation or cannot be executed.
email_033,email,L2,spec_first,deepseek_v4_pro,0,1.0,0.3333333333333333,0.5,0.33333333333333337,0.8,0.5,0.0,0.6666666666666666,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,invalid_execution_exception,DoneSpec raises during evaluation or cannot be executed.
email_032,email,L2,spec_first,deepseek_v4_pro,0,1.0,0.3333333333333333,0.5,0.4615384615384615,0.5,0.5,0.0,0.6666666666666666,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,invalid_execution_exception,DoneSpec raises during evaluation or cannot be executed.
file_doc_033,file_doc,L2,spec_first,deepseek_v4_pro,0,1.0,0.3333333333333333,0.5,0.4615384615384615,0.5,0.5,0.0,0.6666666666666666,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,invalid_execution_exception,DoneSpec raises during evaluation or cannot be executed.
sheet_db_039,sheet_db,L2,spec_first,deepseek_v4_pro,0,1.0,0.3333333333333333,0.5,0.18181818181818182,1.0,0.5,0.0,0.6666666666666666,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,invalid_execution_exception,DoneSpec raises during evaluation or cannot be executed.
calendar_030,calendar,L2,plan_first,deepseek_v4_pro,0,1.0,0.4,0.5714285714285715,0.5333333333333333,0.6666666666666666,0.5,0.0,0.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,invalid_execution_exception,DoneSpec raises during evaluation or cannot be executed.
calendar_039,calendar,L2,plan_first,deepseek_v4_pro,0,1.0,0.4,0.5714285714285715,0.625,0.0,0.5,0.0,0.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,invalid_execution_exception,DoneSpec raises during evaluation or cannot be executed.
file_doc_023,file_doc,L2,spec_first,deepseek_v4_flash,0,1.0,0.4,0.5714285714285715,0.4615384615384615,0.5,1.0,0.0,0.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,invalid_execution_exception,DoneSpec raises during evaluation or cannot be executed.
crm_workflow_032,crm_workflow,L2,spec_first,deepseek_v4_flash,0,1.0,0.4,0.5714285714285715,0.42857142857142855,0.6666666666666666,1.0,0.0,0.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,invalid_execution_exception,DoneSpec raises during evaluation or cannot be executed.
crm_workflow_039,crm_workflow,L2,spec_first,deepseek_v4_flash,0,1.0,0.4,0.5714285714285715,0.42857142857142855,0.6666666666666666,1.0,0.0,0.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,invalid_execution_exception,DoneSpec raises during evaluation or cannot be executed.
file_doc_022,file_doc,L2,spec_first,deepseek_v4_pro,0,1.0,0.4,0.5714285714285715,0.33333333333333337,0.8,1.0,0.0,0.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,invalid_execution_exception,DoneSpec raises during evaluation or cannot be executed.
crm_workflow_025,crm_workflow,L2,spec_first,deepseek_v4_pro,0,1.0,0.4,0.5714285714285715,0.42857142857142855,0.6666666666666666,1.0,0.0,0.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,invalid_execution_exception,DoneSpec raises during evaluation or cannot be executed.
email_029,email,L2,spec_first,deepseek_v4_pro,0,1.0,0.4,0.5714285714285715,0.5714285714285715,0.8,0.0,0.0,0.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,invalid_execution_exception,DoneSpec raises during evaluation or cannot be executed.
email_036,email,L2,spec_first,deepseek_v4_pro,0,1.0,0.4,0.5714285714285715,0.6666666666666666,0.5,0.0,0.0,0.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,invalid_execution_exception,DoneSpec raises during evaluation or cannot be executed.
calendar_037,calendar,L2,spec_first,deepseek_v4_pro,0,1.0,0.4,0.5714285714285715,0.5333333333333333,0.6666666666666666,0.5,0.0,0.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,invalid_execution_exception,DoneSpec raises during evaluation or cannot be executed.
email_025,email,L2,plan_first,deepseek_v4_pro,0,1.0,0.4666666666666667,0.6363636363636364,0.4615384615384615,0.8,1.0,0.0,0.5333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,invalid_execution_exception,DoneSpec raises during evaluation or cannot be executed.
calendar_028,calendar,L2,plan_first,deepseek_v4_pro,0,1.0,0.4666666666666667,0.6363636363636364,0.5333333333333333,0.6666666666666666,1.0,0.0,0.5333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,invalid_execution_exception,DoneSpec raises during evaluation or cannot be executed.
email_030,email,L2,spec_first,deepseek_v4_flash,0,1.0,0.4666666666666667,0.6363636363636364,0.4615384615384615,0.8,1.0,0.0,0.5333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,invalid_execution_exception,DoneSpec raises during evaluation or cannot be executed.
