task_id,domain,difficulty,agent,model,trial,cc_precision,cc_recall,cc_f1,success_f1,failure_f1,required_observation_recall,overconstraint_rate,underspecification_rate,donespec_valid,near_miss_detection_rate,near_miss_false_accept_rate,valid_accept_rate,verifier_robustness_balanced_accuracy,task_success,own_spec_pass,spec_action_consistency,self_violation_rate,quadrant,mutation_id,mutation_class,mutation_taxon,failure_mode,violated_criteria,failure_family
calendar_026,calendar,L2,direct,deepseek_v4_pro,0,1.0,0.26666666666666666,0.4210526315789474,0.16666666666666669,0.6666666666666666,1.0,0.0,0.7333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,unrelated_side_effect,side-effect violation,unrelated_side_effect,collateral_change,calendar_026_failure_002,side_effect
email_025,email,L2,plan_first,deepseek_v4_pro,0,1.0,0.4666666666666667,0.6363636363636364,0.4615384615384615,0.8,1.0,0.0,0.5333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,unrelated_side_effect,side-effect violation,unrelated_side_effect,collateral_change,email_025_failure_002,side_effect
crm_workflow_024,crm_workflow,L2,plan_first,deepseek_v4_pro,0,1.0,0.3333333333333333,0.5,0.3076923076923077,0.6666666666666666,1.0,0.0,0.6666666666666666,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,unrelated_side_effect,side-effect violation,unrelated_side_effect,collateral_change,crm_workflow_024_failure_002,side_effect
calendar_028,calendar,L2,plan_first,deepseek_v4_pro,0,1.0,0.4666666666666667,0.6363636363636364,0.5333333333333333,0.6666666666666666,1.0,0.0,0.5333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,unrelated_side_effect,side-effect violation,unrelated_side_effect,collateral_change,calendar_028_failure_002,side_effect
calendar_030,calendar,L2,plan_first,deepseek_v4_pro,0,1.0,0.4,0.5714285714285715,0.5333333333333333,0.6666666666666666,0.5,0.0,0.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,unrelated_side_effect,side-effect violation,unrelated_side_effect,collateral_change,calendar_030_failure_002,side_effect
sheet_db_033,sheet_db,L2,plan_first,deepseek_v4_pro,0,1.0,0.5333333333333333,0.6956521739130436,0.6666666666666666,0.8,0.5,0.0,0.4666666666666667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,unrelated_side_effect,side-effect violation,unrelated_side_effect,collateral_change,sheet_db_033_failure_002,side_effect
email_038,email,L2,plan_first,deepseek_v4_pro,0,1.0,0.5333333333333333,0.6956521739130436,0.5714285714285715,0.8,1.0,0.0,0.4666666666666667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,unrelated_side_effect,side-effect violation,unrelated_side_effect,collateral_change,email_038_failure_002,side_effect
calendar_039,calendar,L2,plan_first,deepseek_v4_pro,0,1.0,0.4,0.5714285714285715,0.625,0.0,0.5,0.0,0.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,unrelated_side_effect,side-effect violation,unrelated_side_effect,collateral_change,calendar_039_failure_002,side_effect
file_doc_023,file_doc,L2,spec_first,deepseek_v4_flash,0,1.0,0.4,0.5714285714285715,0.4615384615384615,0.5,1.0,0.0,0.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,unrelated_side_effect,side-effect violation,unrelated_side_effect,collateral_change,file_doc_023_failure_002,side_effect
file_doc_039,file_doc,L2,plan_first,deepseek_v4_pro,0,1.0,0.8,0.888888888888889,0.888888888888889,0.8,1.0,0.0,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,good_spec_bad_execution,unrelated_side_effect,side-effect violation,unrelated_side_effect,collateral_change,file_doc_039_failure_002,side_effect
email_027,email,L2,spec_first,deepseek_v4_flash,0,1.0,0.5333333333333333,0.6956521739130436,0.5714285714285715,0.8,1.0,0.0,0.4666666666666667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,unrelated_side_effect,side-effect violation,unrelated_side_effect,collateral_change,email_027_failure_002,side_effect
calendar_027,calendar,L2,spec_first,deepseek_v4_flash,0,1.0,0.5333333333333333,0.6956521739130436,0.625,0.6666666666666666,1.0,0.0,0.4666666666666667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,unrelated_side_effect,side-effect violation,unrelated_side_effect,collateral_change,calendar_027_failure_002,side_effect
email_030,email,L2,spec_first,deepseek_v4_flash,0,1.0,0.4666666666666667,0.6363636363636364,0.4615384615384615,0.8,1.0,0.0,0.5333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,unrelated_side_effect,side-effect violation,unrelated_side_effect,collateral_change,email_030_failure_002,side_effect
crm_workflow_032,crm_workflow,L2,spec_first,deepseek_v4_flash,0,1.0,0.4,0.5714285714285715,0.42857142857142855,0.6666666666666666,1.0,0.0,0.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,unrelated_side_effect,side-effect violation,unrelated_side_effect,collateral_change,crm_workflow_032_failure_002,side_effect
crm_workflow_039,crm_workflow,L2,spec_first,deepseek_v4_flash,0,1.0,0.4,0.5714285714285715,0.42857142857142855,0.6666666666666666,1.0,0.0,0.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,unrelated_side_effect,side-effect violation,unrelated_side_effect,collateral_change,crm_workflow_039_failure_002,side_effect
file_doc_023,file_doc,L2,spec_first,deepseek_v4_pro,0,1.0,0.8,0.888888888888889,0.888888888888889,0.8,1.0,0.0,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,good_spec_bad_execution,unrelated_side_effect,side-effect violation,unrelated_side_effect,collateral_change,file_doc_023_failure_002,side_effect
