domain,model,agent,n,parse_rate,fallback_rate
calendar,deepseek_v4_flash,direct,20,0.95,0.05
calendar,deepseek_v4_flash,plan_first,20,1.0,0.0
calendar,deepseek_v4_flash,spec_first,20,0.95,0.05
calendar,deepseek_v4_pro,direct,20,0.8,0.2
calendar,deepseek_v4_pro,plan_first,20,0.9,0.1
calendar,deepseek_v4_pro,spec_first,20,0.5,0.5
crm_workflow,deepseek_v4_flash,direct,20,0.95,0.05
crm_workflow,deepseek_v4_flash,plan_first,20,1.0,0.0
crm_workflow,deepseek_v4_flash,spec_first,20,0.95,0.05
crm_workflow,deepseek_v4_pro,direct,20,0.95,0.05
crm_workflow,deepseek_v4_pro,plan_first,20,0.95,0.05
crm_workflow,deepseek_v4_pro,spec_first,20,0.8,0.2
email,deepseek_v4_flash,direct,20,1.0,0.0
email,deepseek_v4_flash,plan_first,20,1.0,0.0
email,deepseek_v4_flash,spec_first,20,0.95,0.05
email,deepseek_v4_pro,direct,20,0.95,0.05
email,deepseek_v4_pro,plan_first,20,1.0,0.0
email,deepseek_v4_pro,spec_first,20,0.85,0.15
file_doc,deepseek_v4_flash,direct,20,1.0,0.0
file_doc,deepseek_v4_flash,plan_first,20,1.0,0.0
file_doc,deepseek_v4_flash,spec_first,20,0.9,0.1
file_doc,deepseek_v4_pro,direct,20,0.95,0.05
file_doc,deepseek_v4_pro,plan_first,20,0.95,0.05
file_doc,deepseek_v4_pro,spec_first,20,0.75,0.25
sheet_db,deepseek_v4_flash,direct,20,1.0,0.0
sheet_db,deepseek_v4_flash,plan_first,20,1.0,0.0
sheet_db,deepseek_v4_flash,spec_first,20,0.8,0.2
sheet_db,deepseek_v4_pro,direct,20,0.85,0.15
sheet_db,deepseek_v4_pro,plan_first,20,0.9,0.1
sheet_db,deepseek_v4_pro,spec_first,20,0.5,0.5
