model,agent,parse_status,json_repair_strategy,n
deepseek_v4_flash,direct,fallback,,2
deepseek_v4_flash,direct,parsed,raw,98
deepseek_v4_flash,plan_first,parsed,raw,94
deepseek_v4_flash,plan_first,parsed,raw+repair,6
deepseek_v4_flash,spec_first,fallback,,9
deepseek_v4_flash,spec_first,parsed,raw,82
deepseek_v4_flash,spec_first,parsed,raw+repair,9
deepseek_v4_pro,direct,fallback,,10
deepseek_v4_pro,direct,parsed,balanced_slice+repair,1
deepseek_v4_pro,direct,parsed,outer_slice+repair,1
deepseek_v4_pro,direct,parsed,raw,64
deepseek_v4_pro,direct,parsed,raw+repair,24
deepseek_v4_pro,plan_first,fallback,,6
deepseek_v4_pro,plan_first,parsed,raw,77
deepseek_v4_pro,plan_first,parsed,raw+repair,17
deepseek_v4_pro,spec_first,fallback,,32
deepseek_v4_pro,spec_first,parsed,raw,44
deepseek_v4_pro,spec_first,parsed,raw+repair,24
