domain,model,agent,n,cc_f1,donespec_valid,near_miss_detection_rate,task_success,self_violation_rate
calendar,deepseek_v4_flash,direct,20,0.40176608538941494,1.0,0.7142857142857142,0.0,0.45
calendar,deepseek_v4_flash,plan_first,20,0.3879198075111051,1.0,0.7142857142857142,0.0,0.4875
calendar,deepseek_v4_flash,spec_first,20,0.5038691786550134,0.95,0.6785714285714285,0.0,0.525
calendar,deepseek_v4_pro,direct,20,0.6012228079398442,0.95,0.6785714285714285,0.0,0.5125
calendar,deepseek_v4_pro,plan_first,20,0.5830792336231063,0.85,0.607142857142857,0.0,0.575
calendar,deepseek_v4_pro,spec_first,20,0.777882358844084,0.85,0.607142857142857,0.0,0.575
crm_workflow,deepseek_v4_flash,direct,20,0.5375591664838489,1.0,0.7142857142857142,0.0,0.3470238095238095
crm_workflow,deepseek_v4_flash,plan_first,20,0.5301139211665528,1.0,0.7142857142857142,0.0,0.42559523809523814
crm_workflow,deepseek_v4_flash,spec_first,20,0.6461527677719581,0.9,0.6428571428571428,0.1,0.3849206349206349
crm_workflow,deepseek_v4_pro,direct,20,0.5063249424250522,1.0,0.7142857142857142,0.0,0.45178571428571423
crm_workflow,deepseek_v4_pro,plan_first,20,0.6026411478129698,0.95,0.6785714285714285,0.0,0.525
crm_workflow,deepseek_v4_pro,spec_first,20,0.657109027936476,0.75,0.5357142857142856,0.1,0.47777777777777775
email,deepseek_v4_flash,direct,20,0.6056040469827655,1.0,0.7142857142857142,0.0,0.39642857142857146
email,deepseek_v4_flash,plan_first,20,0.5787305467225374,1.0,0.7142857142857142,0.0,0.38392857142857145
email,deepseek_v4_flash,spec_first,20,0.6442996743912076,0.9,0.6428571428571427,0.05,0.3997023809523809
email,deepseek_v4_pro,direct,20,0.6812510690428311,1.0,0.7142857142857142,0.0,0.4821428571428571
email,deepseek_v4_pro,plan_first,20,0.6910760978152283,0.9,0.6428571428571428,0.0,0.47678571428571426
email,deepseek_v4_pro,spec_first,20,0.6954993919124355,0.6,0.42857142857142855,0.2,0.5464285714285714
file_doc,deepseek_v4_flash,direct,20,0.5332495158854696,1.0,0.7142857142857142,0.0,0.4
file_doc,deepseek_v4_flash,plan_first,20,0.5450668223395037,1.0,0.7142857142857142,0.0,0.4416666666666666
file_doc,deepseek_v4_flash,spec_first,20,0.6773529140577196,0.95,0.6785714285714285,0.0,0.3876984126984127
file_doc,deepseek_v4_pro,direct,20,0.6400590291351163,1.0,0.7142857142857142,0.0,0.4625
file_doc,deepseek_v4_pro,plan_first,20,0.6010270532924997,0.95,0.6785714285714285,0.0,0.46964285714285714
file_doc,deepseek_v4_pro,spec_first,20,0.7382295587259243,0.5,0.3571428571428571,0.0,0.675
sheet_db,deepseek_v4_flash,direct,20,0.45948972786535036,1.0,0.7142857142857142,0.0,0.4375
sheet_db,deepseek_v4_flash,plan_first,20,0.5172796295551713,1.0,0.7142857142857142,0.0,0.475
sheet_db,deepseek_v4_flash,spec_first,20,0.695285789725149,1.0,0.7142857142857142,0.15,0.35
sheet_db,deepseek_v4_pro,direct,20,0.6912544949329846,1.0,0.7142857142857142,0.0,0.475
sheet_db,deepseek_v4_pro,plan_first,20,0.5987220077338196,0.95,0.6785714285714285,0.0,0.4875
sheet_db,deepseek_v4_pro,spec_first,20,0.7282098403122431,0.7,0.4999999999999999,0.05,0.5666666666666667
