model,agent,task_id,k,task_success_pass_at_k,donespec_valid_pass_at_k,all_trials_consistent_success
deepseek_v4_flash,direct,calendar_021,1,0.0,1.0,1.0
deepseek_v4_flash,direct,calendar_022,1,0.0,1.0,1.0
deepseek_v4_flash,direct,calendar_023,1,0.0,1.0,1.0
deepseek_v4_flash,direct,calendar_024,1,0.0,1.0,1.0
deepseek_v4_flash,direct,calendar_025,1,0.0,1.0,1.0
deepseek_v4_flash,direct,calendar_026,1,0.0,1.0,1.0
deepseek_v4_flash,direct,calendar_027,1,0.0,1.0,1.0
deepseek_v4_flash,direct,calendar_028,1,0.0,1.0,1.0
deepseek_v4_flash,direct,calendar_029,1,0.0,1.0,1.0
deepseek_v4_flash,direct,calendar_030,1,0.0,1.0,1.0
deepseek_v4_flash,direct,calendar_031,1,0.0,1.0,1.0
deepseek_v4_flash,direct,calendar_032,1,0.0,1.0,1.0
deepseek_v4_flash,direct,calendar_033,1,0.0,1.0,1.0
deepseek_v4_flash,direct,calendar_034,1,0.0,1.0,1.0
deepseek_v4_flash,direct,calendar_035,1,0.0,1.0,1.0
deepseek_v4_flash,direct,calendar_036,1,0.0,1.0,1.0
deepseek_v4_flash,direct,calendar_037,1,0.0,1.0,1.0
deepseek_v4_flash,direct,calendar_038,1,0.0,1.0,1.0
deepseek_v4_flash,direct,calendar_039,1,0.0,1.0,1.0
deepseek_v4_flash,direct,calendar_040,1,0.0,1.0,1.0
deepseek_v4_flash,direct,crm_workflow_021,1,0.0,1.0,1.0
deepseek_v4_flash,direct,crm_workflow_022,1,0.0,1.0,1.0
deepseek_v4_flash,direct,crm_workflow_023,1,0.0,1.0,1.0
deepseek_v4_flash,direct,crm_workflow_024,1,0.0,1.0,1.0
deepseek_v4_flash,direct,crm_workflow_025,1,0.0,1.0,1.0
deepseek_v4_flash,direct,crm_workflow_026,1,0.0,1.0,1.0
deepseek_v4_flash,direct,crm_workflow_027,1,0.0,1.0,1.0
deepseek_v4_flash,direct,crm_workflow_028,1,0.0,1.0,1.0
deepseek_v4_flash,direct,crm_workflow_029,1,0.0,1.0,1.0
deepseek_v4_flash,direct,crm_workflow_030,1,0.0,1.0,1.0
deepseek_v4_flash,direct,crm_workflow_031,1,0.0,1.0,1.0
deepseek_v4_flash,direct,crm_workflow_032,1,0.0,1.0,1.0
deepseek_v4_flash,direct,crm_workflow_033,1,0.0,1.0,1.0
deepseek_v4_flash,direct,crm_workflow_034,1,0.0,1.0,1.0
deepseek_v4_flash,direct,crm_workflow_035,1,0.0,1.0,1.0
