model,agent,execution_mode,spec_parse_status,action_parse_status,n
deepseek_v4_flash,direct_token_matched,tool_plan_executor,fallback,parsed,2
deepseek_v4_flash,direct_token_matched,tool_plan_executor,parsed,invalid_no_fallback,141
deepseek_v4_flash,direct_token_matched,tool_plan_executor,parsed,parsed,357
deepseek_v4_flash,plan_first_token_matched,tool_plan_executor,fallback,parsed,12
deepseek_v4_flash,plan_first_token_matched,tool_plan_executor,parsed,invalid_no_fallback,144
deepseek_v4_flash,plan_first_token_matched,tool_plan_executor,parsed,parsed,344
deepseek_v4_flash,spec_first_token_matched,tool_plan_executor,fallback,invalid_no_fallback,8
deepseek_v4_flash,spec_first_token_matched,tool_plan_executor,fallback,parsed,15
deepseek_v4_flash,spec_first_token_matched,tool_plan_executor,parsed,invalid_no_fallback,181
deepseek_v4_flash,spec_first_token_matched,tool_plan_executor,parsed,parsed,296
deepseek_v4_pro,direct_token_matched,tool_plan_executor,fallback,invalid_no_fallback,7
deepseek_v4_pro,direct_token_matched,tool_plan_executor,fallback,parsed,6
deepseek_v4_pro,direct_token_matched,tool_plan_executor,parsed,invalid_no_fallback,263
deepseek_v4_pro,direct_token_matched,tool_plan_executor,parsed,parsed,224
deepseek_v4_pro,plan_first_token_matched,tool_plan_executor,fallback,invalid_no_fallback,6
deepseek_v4_pro,plan_first_token_matched,tool_plan_executor,fallback,parsed,8
deepseek_v4_pro,plan_first_token_matched,tool_plan_executor,parsed,invalid_no_fallback,247
deepseek_v4_pro,plan_first_token_matched,tool_plan_executor,parsed,parsed,239
deepseek_v4_pro,spec_first_token_matched,tool_plan_executor,fallback,invalid_no_fallback,15
deepseek_v4_pro,spec_first_token_matched,tool_plan_executor,fallback,parsed,42
deepseek_v4_pro,spec_first_token_matched,tool_plan_executor,parsed,invalid_no_fallback,271
deepseek_v4_pro,spec_first_token_matched,tool_plan_executor,parsed,parsed,172
