task_id,domain,difficulty,model,agent,trial,execution_mode,spec_parse_status,action_parse_status,task_success,own_spec_pass,self_violation_rate,num_tool_calls,num_mutating_tool_calls,spec_prompt_chars,action_prompt_chars,spec_latency_s,action_latency_s,missing_precondition_steps,unknown_tool_steps,permission_denied_steps,side_effect_steps,confirmation_steps,unique_actions,action_sequence
calendar_049,calendar,L2,deepseek_v4_flash,direct_token_matched,0,tool_plan_executor,parsed,parsed,0.0,0.0,0.25,1,0,3200,4766,10.510110199997143,4.404114999997546,0,0,0,0,0,1,calendar.inspect_state
calendar_029,calendar,L2,deepseek_v4_flash,direct_token_matched,0,tool_plan_executor,parsed,parsed,1.0,1.0,0.0,5,2,3200,4501,9.123451800005569,13.551231399993412,0,0,0,0,1,5,calendar.inspect_state calendar.check_constraints confirm calendar.apply_update send_invites
calendar_048,calendar,L2,deepseek_v4_flash,direct_token_matched,0,tool_plan_executor,parsed,parsed,0.0,0.0,0.25,1,0,3200,4210,5.925477899996622,17.079932499997085,0,0,0,0,0,1,calendar.inspect_state
calendar_027,calendar,L2,deepseek_v4_flash,direct_token_matched,0,tool_plan_executor,parsed,parsed,0.0,0.0,0.25,5,2,3200,4450,7.962246600000071,20.552962099995057,0,0,0,0,1,5,calendar.inspect_state calendar.check_constraints confirm calendar.apply_update send_invites
calendar_030,calendar,L2,deepseek_v4_flash,direct_token_matched,0,tool_plan_executor,parsed,parsed,1.0,1.0,0.0,5,2,3200,4659,10.639613799998187,17.930125599996245,0,0,0,0,1,5,calendar.inspect_state calendar.check_constraints confirm calendar.apply_update send_invites
calendar_068,calendar,L3,deepseek_v4_flash,direct_token_matched,0,tool_plan_executor,parsed,parsed,0.0,0.0,0.2,1,0,3200,5442,10.415811899998516,18.40502249999554,0,0,0,0,0,1,calendar.inspect_state
calendar_081,calendar,L3,deepseek_v4_flash,direct_token_matched,0,tool_plan_executor,parsed,parsed,0.0,0.0,0.2,1,0,3200,5660,13.832568700003321,15.081941800002824,0,0,0,0,0,1,calendar.inspect_state
calendar_060,calendar,L3,deepseek_v4_flash,direct_token_matched,0,tool_plan_executor,parsed,parsed,0.0,0.0,0.2,1,0,3200,5246,13.321674200000416,16.01511250000476,0,0,0,0,0,1,calendar.inspect_state
calendar_045,calendar,L2,deepseek_v4_flash,direct_token_matched,0,tool_plan_executor,parsed,parsed,0.0,0.0,0.25,1,0,3200,4780,11.509132400002272,18.441251200005354,0,0,0,0,0,1,calendar.inspect_state
calendar_054,calendar,L2,deepseek_v4_flash,direct_token_matched,0,tool_plan_executor,parsed,parsed,1.0,1.0,0.0,5,2,3200,4645,7.808566899999278,22.493197900002997,0,0,0,0,1,5,calendar.inspect_state calendar.check_constraints confirm calendar.apply_update send_invites
calendar_047,calendar,L2,deepseek_v4_flash,direct_token_matched,0,tool_plan_executor,parsed,parsed,0.0,0.0,0.25,5,2,3200,4496,9.015905000000203,22.40154530000291,0,0,0,0,1,5,calendar.inspect_state calendar.check_constraints confirm calendar.apply_update send_invites
calendar_067,calendar,L3,deepseek_v4_flash,direct_token_matched,0,tool_plan_executor,parsed,parsed,1.0,1.0,0.0,6,2,3200,5613,16.39218489999621,15.071901399998751,0,0,0,0,1,6,calendar.inspect_state calendar.check_constraints calendar.verify_artifact confirm calendar.apply_update send_invites
calendar_043,calendar,L2,deepseek_v4_flash,direct_token_matched,0,tool_plan_executor,parsed,parsed,0.0,0.0,0.14285714285714285,5,2,3200,4550,17.349953800003277,15.646651999995811,0,0,0,0,1,5,calendar.inspect_state calendar.check_constraints confirm calendar.apply_update send_invites
calendar_077,calendar,L3,deepseek_v4_flash,direct_token_matched,0,tool_plan_executor,parsed,parsed,0.0,0.0,0.2,1,0,3200,5371,13.911842999994406,19.320519400003832,0,0,0,0,0,1,calendar.inspect_state
calendar_066,calendar,L3,deepseek_v4_flash,direct_token_matched,0,tool_plan_executor,parsed,parsed,1.0,1.0,0.0,6,2,3200,5513,10.948955699997896,22.423924499998975,0,0,0,0,1,6,calendar.inspect_state calendar.check_constraints calendar.verify_artifact confirm calendar.apply_update send_invites
calendar_025,calendar,L2,deepseek_v4_flash,direct_token_matched,0,tool_plan_executor,parsed,parsed,0.0,0.0,0.25,1,0,3200,4369,13.825909200000751,20.098202500004845,0,0,0,0,0,1,calendar.inspect_state
calendar_078,calendar,L3,deepseek_v4_flash,direct_token_matched,0,tool_plan_executor,parsed,parsed,1.0,1.0,0.0,6,2,3200,5398,10.593043800006853,23.796412700001383,0,0,0,0,1,6,calendar.inspect_state calendar.check_constraints calendar.verify_artifact confirm calendar.apply_update send_invites
calendar_052,calendar,L2,deepseek_v4_flash,direct_token_matched,0,tool_plan_executor,parsed,invalid_no_fallback,0.0,0.0,0.25,0,0,3200,4498,8.939909900000202,27.023178199997346,0,0,0,0,0,0,
calendar_040,calendar,L2,deepseek_v4_flash,direct_token_matched,0,tool_plan_executor,parsed,parsed,0.0,0.0,0.25,2,0,3200,4459,14.189650000000256,22.69703429999936,0,0,0,0,0,2,calendar.inspect_state calendar.check_constraints
calendar_028,calendar,L2,deepseek_v4_flash,direct_token_matched,0,tool_plan_executor,parsed,invalid_no_fallback,0.0,0.0,0.25,0,0,3200,4362,9.452374399996188,27.74073579999822,0,0,0,0,0,0,
