model,provider_model,agent,input_tokens,output_tokens,latency_s,attempts,token_estimated,estimated_cost_usd
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,662,750,10.510110199997143,1,False,0.00030268000000000005
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,663,595,9.123451800005569,1,False,0.00025942
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,668,342,5.925477899996622,1,False,0.00018928000000000003
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,662,558,7.962246600000071,1,False,0.00024892
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,663,807,10.639613799998187,1,False,0.00031878
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,665,685,10.415811899998516,1,False,0.00028490000000000004
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,662,992,13.832568700003321,1,False,0.00037044000000000004
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,671,959,13.321674200000416,1,False,0.00036246000000000005
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,666,848,11.509132400002272,1,False,0.0003306800000000001
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,663,519,7.808566899999278,1,False,0.00023814000000000005
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,661,594,9.015905000000203,1,False,0.00025886
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,657,1299,16.39218489999621,1,False,0.00045570000000000007
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,661,1298,17.349953800003277,1,False,0.0004559800000000001
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,661,987,13.911842999994406,1,False,0.0003689
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,661,819,10.948955699997896,1,False,0.00032186000000000004
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,666,948,13.825909200000751,1,False,0.00035868
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,660,728,10.593043800006853,1,False,0.00029624
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,668,597,8.939909900000202,1,False,0.00026068000000000006
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,669,1042,14.189650000000256,1,False,0.0003854200000000001
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,667,642,9.452374399996188,1,False,0.00027314000000000006
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,664,474,7.408119600004284,1,False,0.00022568
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,663,538,7.596062000004167,1,False,0.00024346000000000003
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,659,595,8.710938799995347,1,False,0.00025886
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,659,774,10.521525900003326,1,False,0.00030898000000000004
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,663,1070,14.860186599995359,1,False,0.00039242000000000004
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,664,663,10.139602900002501,1,False,0.0002786
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,664,1396,18.43920729999809,1,False,0.00048384000000000003
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,663,639,9.05455079999956,1,False,0.00027174
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,659,724,10.803051800001413,1,False,0.00029498
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,659,740,9.936819099995773,1,False,0.00029946000000000004
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,663,749,10.58852990000014,1,False,0.00030254
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,666,647,8.902763500002038,1,False,0.00027440000000000006
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,663,697,9.90531529999862,1,False,0.00028798
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,662,892,12.04536509999889,1,False,0.00034244000000000006
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,667,924,12.377962700003991,1,False,0.00035210000000000005
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,660,669,9.865886100000353,1,False,0.00027972
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,666,642,9.30613109999831,1,False,0.000273
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,666,1080,14.964560299995355,1,False,0.00039564000000000005
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,666,710,10.541032799999812,1,False,0.00029204000000000003
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,664,739,10.606265499998699,1,False,0.00029988
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,668,1142,15.265498599997954,1,False,0.0004132800000000001
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,664,1049,13.188957300000766,1,False,0.0003866800000000001
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,666,944,12.483688500004064,1,False,0.00035756000000000004
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,659,969,12.604907799999637,1,False,0.00036358000000000007
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,661,1092,14.955579900000885,1,False,0.0003983000000000001
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,667,971,13.181075699998473,1,False,0.00036526000000000006
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,663,1211,14.929966700001387,1,False,0.00043190000000000004
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,661,1136,15.281988500006264,1,False,0.00041062000000000005
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,664,1197,15.191629900000407,1,False,0.00042812
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,659,1207,15.853151999996044,1,False,0.00043022000000000004
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,659,1707,22.274595800001407,1,False,0.0005702200000000001
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,659,944,11.246497400003136,1,False,0.00035658000000000006
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,670,1190,16.08620979999978,1,False,0.0004270000000000001
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,661,1485,18.15880389999802,1,False,0.00050834
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,669,1390,18.614830999998958,1,False,0.00048286000000000005
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,661,1237,16.315502800003742,1,False,0.00043890000000000004
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,663,1299,16.424399800001993,1,False,0.00045654
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,664,1540,19.967102499998873,1,False,0.0005241600000000001
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,659,1396,18.42365759999666,1,False,0.00048314000000000007
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,669,1526,18.586887400000705,1,False,0.00052094
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,664,1429,19.050562700002047,1,False,0.00049308
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,663,1790,23.27014419999614,1,False,0.0005940200000000001
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,663,1833,23.736515099997632,1,False,0.0006060600000000001
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,668,1646,21.179986800001643,1,False,0.0005544000000000001
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,683,570,7.18196899999748,1,False,0.00025522
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,661,689,8.924552099997527,1,False,0.00028546
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,661,2400,29.232951699996192,1,False,0.0007645400000000001
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,661,1012,11.596313900001405,1,False,0.00037590000000000003
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,663,474,6.69858579999709,1,False,0.00022554
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,662,672,8.990061399999831,1,False,0.00028084000000000003
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,664,934,11.260711599999922,1,False,0.00035448
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,688,401,5.001608900005522,1,False,0.00020860000000000003
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,662,1057,12.894023599998036,1,False,0.00038864000000000005
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,664,1249,14.247400799999014,1,False,0.00044268000000000004
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,688,842,10.483291000004101,1,False,0.00033208000000000006
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,663,801,9.497851100000844,1,False,0.0003171
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,669,472,5.95923120000225,1,False,0.00022582000000000006
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,685,1153,14.09857209999609,1,False,0.00041874
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,670,1150,13.36218540000118,1,False,0.0004158000000000001
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,683,970,11.066218199994182,1,False,0.00036722
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,684,439,5.810234299999138,1,False,0.00021868000000000001
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,690,1546,18.878726700000698,1,False,0.00052948
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,666,554,6.829577000004065,1,False,0.00024836
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,665,1363,15.882549499998277,1,False,0.0004747400000000001
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,664,866,11.128392099999473,1,False,0.00033544000000000005
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,661,922,12.04868179999903,1,False,0.00035070000000000007
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,685,1229,15.497465899999952,1,False,0.00044002
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,689,1326,15.92682010000135,1,False,0.00046774
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,668,1074,12.462230099998123,1,False,0.00039424
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,671,661,7.866572400002042,1,False,0.00027902000000000005
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,690,842,10.558355900000606,1,False,0.00033236
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,668,1166,14.420351699998719,1,False,0.00042
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,663,871,10.71675750000577,1,False,0.00033670000000000005
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,664,749,9.637502500001574,1,False,0.00030268000000000005
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,692,757,10.084082900000794,1,False,0.00030884000000000006
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,685,1044,13.047237599996151,1,False,0.00038822000000000005
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,666,938,10.811085600005754,1,False,0.00035588000000000004
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,689,929,11.946267200000875,1,False,0.00035658000000000006
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,683,815,10.081333900001482,1,False,0.00032382000000000005
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,666,794,9.413520599999174,1,False,0.00031556000000000005
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,688,918,11.604576600002474,1,False,0.00035336
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,692,903,11.253239500001655,1,False,0.00034972000000000003
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,687,567,7.779900499997893,1,False,0.00025494000000000005
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,687,1494,19.04386499999964,1,False,0.0005145
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,670,962,12.127438299998175,1,False,0.00036316
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,668,634,7.717655799999193,1,False,0.00027104
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,666,1888,23.119543699998758,1,False,0.0006218800000000001
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,666,848,10.147048399994674,1,False,0.0003306800000000001
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,676,679,9.106716599999345,1,False,0.00028476
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,685,863,10.281225499995344,1,False,0.00033754
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,685,628,7.660622000003059,1,False,0.00027174
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,666,709,8.769627699999546,1,False,0.00029176
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,685,1178,14.346494500001427,1,False,0.00042574
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,686,1013,13.104191999998875,1,False,0.0003796800000000001
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,663,942,11.257492299999285,1,False,0.00035658000000000006
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,666,1892,23.776465900002222,1,False,0.0006230000000000001
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,663,1467,18.396524800002226,1,False,0.00050358
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,666,955,11.814962199998263,1,False,0.00036064
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,673,1078,13.440777699994214,1,False,0.00039606000000000005
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,685,1678,20.93010890000005,1,False,0.00056574
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,685,1025,12.966738099996292,1,False,0.0003829
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,667,962,11.801287900001626,1,False,0.00036274
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,685,1122,13.645133300000452,1,False,0.00041006000000000007
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,686,441,5.980064900002617,1,False,0.00021952000000000004
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,690,988,12.330735799994727,1,False,0.00037324000000000005
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,685,1124,12.88218980000238,1,False,0.00041062
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,684,1037,12.308738699997775,1,False,0.00038612
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,668,1618,19.858509400000912,1,False,0.0005465600000000001
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,683,1204,14.292504199998803,1,False,0.00043274000000000003
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,688,1958,23.521559299995715,1,False,0.0006445600000000001
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,692,862,10.316649500004132,1,False,0.00033824
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,690,1807,22.225850399998308,1,False,0.00060256
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,686,537,6.918829900001583,1,False,0.0002464
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,668,2400,29.049612900002103,1,False,0.0007655200000000001
