task_id,domain,difficulty,agent,model,trial,cc_precision,cc_recall,cc_f1,success_f1,failure_f1,required_observation_recall,overconstraint_rate,underspecification_rate,donespec_valid,near_miss_detection_rate,near_miss_false_accept_rate,valid_accept_rate,verifier_robustness_balanced_accuracy,task_success,own_spec_pass,spec_action_consistency,self_violation_rate,quadrant
calendar_029,calendar,L2,direct_token_matched,deepseek_v4_flash,0,1.0,0.13333333333333333,0.23529411764705882,0.16666666666666669,0.6666666666666666,0.0,0.0,0.8666666666666667,1.0,0.7142857142857143,0.2857142857142857,1.0,0.8571428571428572,1.0,1.0,1.0,0.0,bad_spec_good_execution
calendar_030,calendar,L2,direct_token_matched,deepseek_v4_flash,0,1.0,0.26666666666666666,0.4210526315789474,0.3076923076923077,0.6666666666666666,0.5,0.0,0.7333333333333333,1.0,0.7142857142857143,0.2857142857142857,1.0,0.8571428571428572,1.0,1.0,1.0,0.0,bad_spec_good_execution
calendar_054,calendar,L2,direct_token_matched,deepseek_v4_flash,0,1.0,0.2,0.33333333333333337,0.16666666666666669,0.6666666666666666,0.5,0.0,0.8,1.0,0.7142857142857143,0.2857142857142857,1.0,0.8571428571428572,1.0,1.0,1.0,0.0,bad_spec_good_execution
calendar_067,calendar,L3,direct_token_matched,deepseek_v4_flash,0,1.0,0.4117647058823529,0.5833333333333334,0.5882352941176471,0.5,0.5,0.0,0.5882352941176471,1.0,0.7142857142857143,0.2857142857142857,1.0,0.8571428571428572,1.0,1.0,1.0,0.0,bad_spec_good_execution
calendar_066,calendar,L3,direct_token_matched,deepseek_v4_flash,0,1.0,0.5882352941176471,0.7407407407407407,0.8,0.5,0.5,0.0,0.4117647058823529,1.0,0.7142857142857143,0.2857142857142857,1.0,0.8571428571428572,1.0,1.0,1.0,0.0,bad_spec_good_execution
calendar_078,calendar,L3,direct_token_matched,deepseek_v4_flash,0,1.0,0.29411764705882354,0.45454545454545453,0.4,0.5,0.5,0.0,0.7058823529411765,1.0,0.7142857142857143,0.2857142857142857,1.0,0.8571428571428572,1.0,1.0,1.0,0.0,bad_spec_good_execution
calendar_050,calendar,L2,direct_token_matched,deepseek_v4_flash,0,1.0,0.2,0.33333333333333337,0.0,0.6666666666666666,1.0,0.0,0.8,1.0,0.7142857142857143,0.2857142857142857,1.0,0.8571428571428572,1.0,1.0,1.0,0.0,bad_spec_good_execution
calendar_055,calendar,L3,direct_token_matched,deepseek_v4_flash,0,1.0,0.17647058823529413,0.3,0.15384615384615385,0.5,0.5,0.0,0.8235294117647058,1.0,0.7142857142857143,0.2857142857142857,1.0,0.8571428571428572,1.0,1.0,1.0,0.0,bad_spec_good_execution
calendar_041,calendar,L2,direct_token_matched,deepseek_v4_flash,0,1.0,0.26666666666666666,0.4210526315789474,0.3076923076923077,0.6666666666666666,0.5,0.0,0.7333333333333333,1.0,0.7142857142857143,0.2857142857142857,1.0,0.8571428571428572,1.0,1.0,1.0,0.0,bad_spec_good_execution
calendar_084,calendar,L3,direct_token_matched,deepseek_v4_flash,0,1.0,0.29411764705882354,0.45454545454545453,0.4,0.5,0.5,0.0,0.7058823529411765,1.0,0.7142857142857143,0.2857142857142857,1.0,0.8571428571428572,1.0,1.0,1.0,0.0,bad_spec_good_execution
calendar_051,calendar,L2,direct_token_matched,deepseek_v4_flash,0,1.0,0.5333333333333333,0.6956521739130436,0.7058823529411764,0.6666666666666666,0.5,0.0,0.4666666666666667,1.0,0.7142857142857143,0.2857142857142857,1.0,0.8571428571428572,1.0,1.0,1.0,0.0,bad_spec_good_execution
calendar_083,calendar,L3,direct_token_matched,deepseek_v4_flash,0,1.0,0.23529411764705882,0.38095238095238093,0.15384615384615385,0.5,1.0,0.0,0.7647058823529411,1.0,0.7142857142857143,0.2857142857142857,1.0,0.8571428571428572,1.0,1.0,1.0,0.0,bad_spec_good_execution
calendar_086,calendar,L3,direct_token_matched,deepseek_v4_flash,0,1.0,0.5294117647058824,0.6923076923076924,0.7368421052631579,0.5,0.5,0.0,0.47058823529411764,1.0,0.7142857142857143,0.2857142857142857,1.0,0.8571428571428572,1.0,1.0,1.0,0.0,bad_spec_good_execution
calendar_085,calendar,L3,direct_token_matched,deepseek_v4_flash,0,1.0,0.23529411764705882,0.38095238095238093,0.2857142857142857,0.5,0.5,0.0,0.7647058823529411,1.0,0.7142857142857143,0.2857142857142857,1.0,0.8571428571428572,1.0,1.0,1.0,0.0,bad_spec_good_execution
calendar_089,calendar,L3,direct_token_matched,deepseek_v4_flash,0,1.0,0.11764705882352941,0.21052631578947367,0.0,0.5,0.5,0.0,0.8823529411764706,1.0,0.7142857142857143,0.2857142857142857,1.0,0.8571428571428572,1.0,1.0,1.0,0.0,bad_spec_good_execution
calendar_095,calendar,L3,direct_token_matched,deepseek_v4_flash,0,1.0,0.23529411764705882,0.38095238095238093,0.2857142857142857,0.0,1.0,0.0,0.7647058823529411,1.0,0.7142857142857143,0.2857142857142857,1.0,0.8571428571428572,1.0,1.0,1.0,0.0,bad_spec_good_execution
calendar_091,calendar,L3,direct_token_matched,deepseek_v4_flash,0,1.0,0.23529411764705882,0.38095238095238093,0.15384615384615385,0.5,1.0,0.0,0.7647058823529411,1.0,0.7142857142857143,0.2857142857142857,1.0,0.8571428571428572,1.0,1.0,1.0,0.0,bad_spec_good_execution
