task_id,domain,difficulty,agent,model,trial,cc_precision,cc_recall,cc_f1,success_f1,failure_f1,required_observation_recall,overconstraint_rate,underspecification_rate,donespec_valid,near_miss_detection_rate,near_miss_false_accept_rate,valid_accept_rate,verifier_robustness_balanced_accuracy,task_success,own_spec_pass,spec_action_consistency,self_violation_rate,quadrant
calendar_107,calendar,L4,direct_token_matched,deepseek_v4_flash,0,1.0,0.6111111111111112,0.7586206896551725,0.761904761904762,0.5,1.0,0.0,0.3888888888888889,1.0,0.5714285714285714,0.4285714285714286,1.0,0.7857142857142857,0.0,0.0,0.75,0.25,good_spec_bad_execution
calendar_111,calendar,L4,direct_token_matched,deepseek_v4_flash,0,1.0,0.6666666666666666,0.8,0.8181818181818181,0.5,1.0,0.0,0.3333333333333333,1.0,0.5714285714285714,0.4285714285714286,1.0,0.7857142857142857,0.0,0.0,0.75,0.25,good_spec_bad_execution
email_056,email,L3,direct_token_matched,deepseek_v4_flash,0,1.0,0.7058823529411765,0.8275862068965517,0.9,0.6666666666666666,0.5,0.0,0.29411764705882354,1.0,0.7142857142857143,0.2857142857142857,1.0,0.8571428571428572,0.0,0.0,0.8,0.2,good_spec_bad_execution
email_075,email,L3,direct_token_matched,deepseek_v4_flash,0,1.0,0.6470588235294118,0.7857142857142858,0.7058823529411764,0.8571428571428571,1.0,0.0,0.35294117647058826,1.0,0.7142857142857143,0.2857142857142857,1.0,0.8571428571428572,0.0,0.0,0.8,0.2,good_spec_bad_execution
file_doc_043,file_doc,L2,direct_token_matched,deepseek_v4_flash,0,1.0,0.7333333333333333,0.846153846153846,0.888888888888889,0.8,0.5,0.0,0.26666666666666666,1.0,0.7142857142857143,0.2857142857142857,1.0,0.8571428571428572,0.0,1.0,1.0,0.0,good_spec_bad_execution
file_doc_095,file_doc,L3,direct_token_matched,deepseek_v4_flash,0,1.0,0.7058823529411765,0.8275862068965517,0.9,0.6666666666666666,0.5,0.0,0.29411764705882354,1.0,0.7142857142857143,0.2857142857142857,1.0,0.8571428571428572,0.0,0.0,0.8,0.2,good_spec_bad_execution
file_doc_107,file_doc,L4,direct_token_matched,deepseek_v4_flash,0,1.0,0.6111111111111112,0.7586206896551725,0.8,0.6666666666666666,0.5,0.0,0.3888888888888889,1.0,0.5714285714285714,0.4285714285714286,1.0,0.7857142857142857,0.0,0.0,0.75,0.25,good_spec_bad_execution
file_doc_103,file_doc,L4,direct_token_matched,deepseek_v4_flash,0,1.0,0.6111111111111112,0.7586206896551725,0.7368421052631579,0.6666666666666666,1.0,0.0,0.3888888888888889,1.0,0.5714285714285714,0.4285714285714286,1.0,0.7857142857142857,0.0,0.0,0.75,0.25,good_spec_bad_execution
sheet_db_106,sheet_db,L4,direct_token_matched,deepseek_v4_flash,0,1.0,0.6111111111111112,0.7586206896551725,0.8,0.6666666666666666,0.5,0.0,0.3888888888888889,1.0,0.5714285714285714,0.4285714285714286,1.0,0.7857142857142857,0.0,0.0,0.75,0.25,good_spec_bad_execution
calendar_083,calendar,L3,direct_token_matched,deepseek_v4_pro,0,1.0,0.7647058823529411,0.8666666666666666,0.9090909090909091,0.5,1.0,0.0,0.23529411764705882,1.0,0.7142857142857143,0.2857142857142857,1.0,0.8571428571428572,0.0,0.0,0.8,0.2,good_spec_bad_execution
calendar_034,calendar,L2,direct_token_matched,deepseek_v4_pro,0,1.0,0.9333333333333333,0.9655172413793104,1.0,0.6666666666666666,1.0,0.0,0.06666666666666667,1.0,0.7142857142857143,0.2857142857142857,1.0,0.8571428571428572,0.0,0.0,0.75,0.25,good_spec_bad_execution
calendar_078,calendar,L3,direct_token_matched,deepseek_v4_pro,0,1.0,0.6470588235294118,0.7857142857142858,0.8,0.5,1.0,0.0,0.35294117647058826,1.0,0.7142857142857143,0.2857142857142857,1.0,0.8571428571428572,0.0,0.0,0.8,0.2,good_spec_bad_execution
crm_workflow_028,crm_workflow,L2,direct_token_matched,deepseek_v4_pro,0,1.0,0.6666666666666666,0.8,0.7777777777777778,0.6666666666666666,1.0,0.0,0.3333333333333333,1.0,0.7142857142857143,0.2857142857142857,1.0,0.8571428571428572,0.0,0.0,0.75,0.25,good_spec_bad_execution
calendar_107,calendar,L4,direct_token_matched,deepseek_v4_pro,0,1.0,0.6666666666666666,0.8,0.8181818181818181,0.5,1.0,0.0,0.3333333333333333,1.0,0.5714285714285714,0.4285714285714286,1.0,0.7857142857142857,0.0,0.0,0.75,0.25,good_spec_bad_execution
crm_workflow_056,crm_workflow,L3,direct_token_matched,deepseek_v4_pro,0,1.0,0.7058823529411765,0.8275862068965517,0.8571428571428571,0.5,1.0,0.0,0.29411764705882354,1.0,0.7142857142857143,0.2857142857142857,1.0,0.8571428571428572,0.0,0.0,0.8,0.2,good_spec_bad_execution
crm_workflow_025,crm_workflow,L2,direct_token_matched,deepseek_v4_pro,0,1.0,0.9333333333333333,0.9655172413793104,1.0,0.6666666666666666,1.0,0.0,0.06666666666666667,1.0,0.7142857142857143,0.2857142857142857,1.0,0.8571428571428572,0.0,0.0,0.75,0.25,good_spec_bad_execution
