task_id,domain,difficulty,agent,model,trial,cc_precision,cc_recall,cc_f1,success_f1,failure_f1,required_observation_recall,overconstraint_rate,underspecification_rate,donespec_valid,near_miss_detection_rate,near_miss_false_accept_rate,valid_accept_rate,verifier_robustness_balanced_accuracy,task_success,own_spec_pass,spec_action_consistency,self_violation_rate,quadrant,invalid_taxon,invalid_taxon_description
calendar_047,calendar,L2,spec_first_token_matched,deepseek_v4_pro,0,1.0,0.06666666666666667,0.125,0.0,0.0,0.5,0.0,0.9333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,invalid_execution_exception,DoneSpec raises during evaluation or cannot be executed.
calendar_100,calendar,L4,spec_first_token_matched,deepseek_v4_pro,0,1.0,0.1111111111111111,0.19999999999999998,0.0,0.5,0.5,0.0,0.8888888888888888,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,invalid_execution_exception,DoneSpec raises during evaluation or cannot be executed.
calendar_092,calendar,L3,plan_first_token_matched,deepseek_v4_flash,0,1.0,0.11764705882352941,0.21052631578947367,0.0,0.5,0.5,0.0,0.8823529411764706,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,invalid_execution_exception,DoneSpec raises during evaluation or cannot be executed.
calendar_096,calendar,L3,spec_first_token_matched,deepseek_v4_flash,0,1.0,0.11764705882352941,0.21052631578947367,0.0,0.5,0.5,0.0,0.8823529411764706,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,invalid_execution_exception,DoneSpec raises during evaluation or cannot be executed.
calendar_094,calendar,L3,spec_first_token_matched,deepseek_v4_pro,0,1.0,0.11764705882352941,0.21052631578947367,0.15384615384615385,0.0,0.5,0.0,0.8823529411764706,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,invalid_execution_exception,DoneSpec raises during evaluation or cannot be executed.
file_doc_109,file_doc,L4,plan_first_token_matched,deepseek_v4_flash,0,1.0,0.16666666666666666,0.2857142857142857,0.15384615384615385,0.4,0.5,0.0,0.8333333333333334,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,invalid_execution_exception,DoneSpec raises during evaluation or cannot be executed.
calendar_061,calendar,L3,plan_first_token_matched,deepseek_v4_pro,0,1.0,0.17647058823529413,0.3,0.15384615384615385,0.5,0.5,0.0,0.8235294117647058,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,invalid_execution_exception,DoneSpec raises during evaluation or cannot be executed.
calendar_059,calendar,L3,plan_first_token_matched,deepseek_v4_pro,0,1.0,0.17647058823529413,0.3,0.15384615384615385,0.5,0.5,0.0,0.8235294117647058,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,invalid_execution_exception,DoneSpec raises during evaluation or cannot be executed.
calendar_071,calendar,L3,spec_first_token_matched,deepseek_v4_flash,0,1.0,0.17647058823529413,0.3,0.15384615384615385,0.5,0.5,0.0,0.8235294117647058,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,invalid_execution_exception,DoneSpec raises during evaluation or cannot be executed.
calendar_056,calendar,L3,spec_first_token_matched,deepseek_v4_pro,0,1.0,0.17647058823529413,0.3,0.15384615384615385,0.5,0.5,0.0,0.8235294117647058,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,invalid_execution_exception,DoneSpec raises during evaluation or cannot be executed.
