domain,model,agent,n,parse_rate,fallback_rate
calendar,deepseek_v4_flash,direct_token_matched,100,0.99,0.01
calendar,deepseek_v4_flash,plan_first_token_matched,100,0.98,0.02
calendar,deepseek_v4_flash,spec_first_token_matched,100,0.95,0.05
calendar,deepseek_v4_pro,direct_token_matched,100,0.99,0.01
calendar,deepseek_v4_pro,plan_first_token_matched,100,0.99,0.01
calendar,deepseek_v4_pro,spec_first_token_matched,100,0.85,0.15
crm_workflow,deepseek_v4_flash,direct_token_matched,100,1.0,0.0
crm_workflow,deepseek_v4_flash,plan_first_token_matched,100,0.95,0.05
crm_workflow,deepseek_v4_flash,spec_first_token_matched,100,0.94,0.06
crm_workflow,deepseek_v4_pro,direct_token_matched,100,0.96,0.04
crm_workflow,deepseek_v4_pro,plan_first_token_matched,100,0.99,0.01
crm_workflow,deepseek_v4_pro,spec_first_token_matched,100,0.93,0.07
email,deepseek_v4_flash,direct_token_matched,100,0.99,0.01
email,deepseek_v4_flash,plan_first_token_matched,100,1.0,0.0
email,deepseek_v4_flash,spec_first_token_matched,100,0.99,0.01
email,deepseek_v4_pro,direct_token_matched,100,0.98,0.02
email,deepseek_v4_pro,plan_first_token_matched,100,0.97,0.03
email,deepseek_v4_pro,spec_first_token_matched,100,0.92,0.08
file_doc,deepseek_v4_flash,direct_token_matched,100,1.0,0.0
file_doc,deepseek_v4_flash,plan_first_token_matched,100,0.97,0.03
file_doc,deepseek_v4_flash,spec_first_token_matched,100,0.98,0.02
file_doc,deepseek_v4_pro,direct_token_matched,100,0.98,0.02
file_doc,deepseek_v4_pro,plan_first_token_matched,100,0.96,0.04
file_doc,deepseek_v4_pro,spec_first_token_matched,100,0.87,0.13
sheet_db,deepseek_v4_flash,direct_token_matched,100,1.0,0.0
sheet_db,deepseek_v4_flash,plan_first_token_matched,100,0.98,0.02
sheet_db,deepseek_v4_flash,spec_first_token_matched,100,0.91,0.09
sheet_db,deepseek_v4_pro,direct_token_matched,100,0.96,0.04
sheet_db,deepseek_v4_pro,plan_first_token_matched,100,0.95,0.05
sheet_db,deepseek_v4_pro,spec_first_token_matched,100,0.86,0.14
