model,agent,parse_status,json_repair_strategy,n
deepseek_v4_flash,direct_token_matched,fallback,,2
deepseek_v4_flash,direct_token_matched,parsed,outer_slice+repair,1
deepseek_v4_flash,direct_token_matched,parsed,raw,495
deepseek_v4_flash,direct_token_matched,parsed,raw+repair,2
deepseek_v4_flash,plan_first_token_matched,fallback,,12
deepseek_v4_flash,plan_first_token_matched,parsed,outer_slice+repair,1
deepseek_v4_flash,plan_first_token_matched,parsed,raw,477
deepseek_v4_flash,plan_first_token_matched,parsed,raw+repair,10
deepseek_v4_flash,spec_first_token_matched,fallback,,23
deepseek_v4_flash,spec_first_token_matched,parsed,outer_slice+repair,1
deepseek_v4_flash,spec_first_token_matched,parsed,raw,437
deepseek_v4_flash,spec_first_token_matched,parsed,raw+repair,39
deepseek_v4_pro,direct_token_matched,fallback,,13
deepseek_v4_pro,direct_token_matched,parsed,outer_slice+repair,2
deepseek_v4_pro,direct_token_matched,parsed,raw,461
deepseek_v4_pro,direct_token_matched,parsed,raw+repair,24
deepseek_v4_pro,plan_first_token_matched,fallback,,14
deepseek_v4_pro,plan_first_token_matched,parsed,balanced_slice,1
deepseek_v4_pro,plan_first_token_matched,parsed,outer_slice+repair,1
deepseek_v4_pro,plan_first_token_matched,parsed,raw,469
deepseek_v4_pro,plan_first_token_matched,parsed,raw+repair,15
deepseek_v4_pro,spec_first_token_matched,fallback,,57
deepseek_v4_pro,spec_first_token_matched,parsed,fenced_1,1
deepseek_v4_pro,spec_first_token_matched,parsed,outer_slice+repair,5
deepseek_v4_pro,spec_first_token_matched,parsed,raw,349
deepseek_v4_pro,spec_first_token_matched,parsed,raw+repair,88
