difficulty,model,agent,n,cc_f1,donespec_valid,near_miss_detection_rate,task_success,self_violation_rate
L2,deepseek_v4_flash,direct_token_matched,170,0.4699649150113977,1.0,0.7142857142857144,0.40588235294117647,0.11260504201680673
L2,deepseek_v4_flash,plan_first_token_matched,170,0.501023957962387,0.9882352941176471,0.7058823529411765,0.2823529411764706,0.16325863678804856
L2,deepseek_v4_flash,spec_first_token_matched,170,0.620174642739591,0.8411764705882353,0.8411764705882353,0.3058823529411765,0.2843891402714932
L2,deepseek_v4_pro,direct_token_matched,170,0.5837266723774753,0.9529411764705882,0.680672268907563,0.20588235294117646,0.22205882352941175
L2,deepseek_v4_pro,plan_first_token_matched,170,0.5986990845920909,0.9294117647058824,0.6638655462184874,0.21176470588235294,0.23529411764705882
L2,deepseek_v4_pro,spec_first_token_matched,170,0.6572617282680985,0.5176470588235295,0.5176470588235295,0.17058823529411765,0.5654977375565611
L3,deepseek_v4_flash,direct_token_matched,210,0.47419565071288855,1.0,0.7142857142857142,0.4142857142857143,0.09233766233766232
L3,deepseek_v4_flash,plan_first_token_matched,210,0.5146915827559809,0.9809523809523809,0.7006802721088434,0.2761904761904762,0.1433333333333333
L3,deepseek_v4_flash,spec_first_token_matched,210,0.605549682261528,0.819047619047619,0.819047619047619,0.2523809523809524,0.28682539682539687
L3,deepseek_v4_pro,direct_token_matched,210,0.5836080943788414,0.9857142857142858,0.7040816326530611,0.12857142857142856,0.18015873015873013
L3,deepseek_v4_pro,plan_first_token_matched,210,0.5892117284238432,0.919047619047619,0.6564625850340134,0.21428571428571427,0.20857142857142855
L3,deepseek_v4_pro,spec_first_token_matched,210,0.6271893815773574,0.49047619047619045,0.49047619047619045,0.13333333333333333,0.5820634920634922
L4,deepseek_v4_flash,direct_token_matched,120,0.49717298083080647,1.0,0.5714285714285713,0.24166666666666667,0.17375000000000002
L4,deepseek_v4_flash,plan_first_token_matched,120,0.5395334699315926,0.9916666666666667,0.5666666666666665,0.13333333333333333,0.20916666666666667
L4,deepseek_v4_flash,spec_first_token_matched,120,0.639504359315627,0.8,0.8,0.11666666666666667,0.3594791666666667
L4,deepseek_v4_pro,direct_token_matched,120,0.6026452248154371,0.9916666666666667,0.5666666666666665,0.075,0.2236111111111111
L4,deepseek_v4_pro,plan_first_token_matched,120,0.6180527183862597,0.9333333333333333,0.5333333333333331,0.075,0.275
L4,deepseek_v4_pro,spec_first_token_matched,120,0.6914290255676531,0.6083333333333333,0.6083333333333333,0.09166666666666666,0.521875
