domain,model,agent,n,cc_f1,donespec_valid,near_miss_detection_rate,task_success,self_violation_rate
calendar,deepseek_v4_flash,direct_token_matched,100,0.37296814422344043,1.0,0.68,0.22,0.17892857142857144
calendar,deepseek_v4_flash,plan_first_token_matched,100,0.37833449230218674,0.99,0.6728571428571428,0.12,0.20803968253968252
calendar,deepseek_v4_flash,spec_first_token_matched,100,0.5213014393478609,0.74,0.74,0.08,0.4125
calendar,deepseek_v4_pro,direct_token_matched,100,0.4964820188950615,0.99,0.6728571428571428,0.0,0.2365
calendar,deepseek_v4_pro,plan_first_token_matched,100,0.5070598834851117,0.88,0.5957142857142856,0.02,0.3145
calendar,deepseek_v4_pro,spec_first_token_matched,100,0.5943767436772902,0.55,0.55,0.05,0.5655
crm_workflow,deepseek_v4_flash,direct_token_matched,100,0.46582548224435105,1.0,0.68,0.62,0.0875
crm_workflow,deepseek_v4_flash,plan_first_token_matched,100,0.5372987874143549,1.0,0.68,0.37,0.1425
crm_workflow,deepseek_v4_flash,spec_first_token_matched,100,0.6060378914230369,0.79,0.79,0.41,0.2965
crm_workflow,deepseek_v4_pro,direct_token_matched,100,0.5538003623270025,0.98,0.6657142857142856,0.25,0.19166666666666665
crm_workflow,deepseek_v4_pro,plan_first_token_matched,100,0.5635798250053279,0.95,0.6471428571428571,0.24,0.2095
crm_workflow,deepseek_v4_pro,spec_first_token_matched,100,0.6086903421448386,0.43,0.43,0.12,0.6445000000000001
email,deepseek_v4_flash,direct_token_matched,100,0.5652784111273425,1.0,0.68,0.56,0.0984090909090909
email,deepseek_v4_flash,plan_first_token_matched,100,0.5675814349519216,0.98,0.6657142857142856,0.49,0.1355
email,deepseek_v4_flash,spec_first_token_matched,100,0.663472105148382,0.88,0.88,0.39,0.242
email,deepseek_v4_pro,direct_token_matched,100,0.6539804916358263,0.98,0.6657142857142857,0.33,0.17
email,deepseek_v4_pro,plan_first_token_matched,100,0.6508829900389906,0.92,0.6257142857142857,0.42,0.198
email,deepseek_v4_pro,spec_first_token_matched,100,0.680770215092075,0.56,0.56,0.28,0.517
file_doc,deepseek_v4_flash,direct_token_matched,100,0.503513998474958,1.0,0.68,0.0,0.10649999999999998
file_doc,deepseek_v4_flash,plan_first_token_matched,100,0.5581511770163866,0.98,0.667142857142857,0.0,0.1625
file_doc,deepseek_v4_flash,spec_first_token_matched,100,0.6535617910635081,0.81,0.81,0.05,0.3121698717948718
file_doc,deepseek_v4_pro,direct_token_matched,100,0.6315170642763688,0.94,0.6385714285714285,0.0,0.2225
file_doc,deepseek_v4_pro,plan_first_token_matched,100,0.6549514423033816,0.95,0.6485714285714285,0.0,0.22899999999999998
file_doc,deepseek_v4_pro,spec_first_token_matched,100,0.7166472289782962,0.45,0.45,0.03,0.6319294871794872
sheet_db,deepseek_v4_flash,direct_token_matched,100,0.48377276294331784,1.0,0.68,0.45,0.1225
sheet_db,deepseek_v4_flash,plan_first_token_matched,100,0.538667324556679,0.98,0.6657142857142857,0.24,0.18100000000000002
sheet_db,deepseek_v4_flash,spec_first_token_matched,100,0.648983229602478,0.89,0.89,0.26,0.254
sheet_db,deepseek_v4_pro,direct_token_matched,100,0.6053066738815406,0.99,0.6728571428571428,0.13,0.20350000000000001
sheet_db,deepseek_v4_pro,plan_first_token_matched,100,0.6203221947273247,0.93,0.6299999999999999,0.22,0.217
sheet_db,deepseek_v4_pro,spec_first_token_matched,100,0.6636729401569013,0.65,0.65,0.2,0.45100000000000007
