model,agent,task_id,k,task_success_pass_at_k,donespec_valid_pass_at_k,all_trials_consistent_success
deepseek_v4_flash,direct_token_matched,calendar_021,1,0.0,1.0,1.0
deepseek_v4_flash,direct_token_matched,calendar_022,1,1.0,1.0,1.0
deepseek_v4_flash,direct_token_matched,calendar_023,1,0.0,1.0,1.0
deepseek_v4_flash,direct_token_matched,calendar_024,1,0.0,1.0,1.0
deepseek_v4_flash,direct_token_matched,calendar_025,1,0.0,1.0,1.0
deepseek_v4_flash,direct_token_matched,calendar_026,1,0.0,1.0,1.0
deepseek_v4_flash,direct_token_matched,calendar_027,1,0.0,1.0,1.0
deepseek_v4_flash,direct_token_matched,calendar_028,1,0.0,1.0,1.0
deepseek_v4_flash,direct_token_matched,calendar_029,1,1.0,1.0,1.0
deepseek_v4_flash,direct_token_matched,calendar_030,1,1.0,1.0,1.0
deepseek_v4_flash,direct_token_matched,calendar_031,1,0.0,1.0,1.0
deepseek_v4_flash,direct_token_matched,calendar_032,1,0.0,1.0,1.0
deepseek_v4_flash,direct_token_matched,calendar_033,1,0.0,1.0,1.0
deepseek_v4_flash,direct_token_matched,calendar_034,1,0.0,1.0,1.0
deepseek_v4_flash,direct_token_matched,calendar_035,1,0.0,1.0,1.0
deepseek_v4_flash,direct_token_matched,calendar_036,1,0.0,1.0,1.0
deepseek_v4_flash,direct_token_matched,calendar_037,1,0.0,1.0,1.0
deepseek_v4_flash,direct_token_matched,calendar_038,1,0.0,1.0,1.0
deepseek_v4_flash,direct_token_matched,calendar_039,1,0.0,1.0,1.0
deepseek_v4_flash,direct_token_matched,calendar_040,1,0.0,1.0,1.0
deepseek_v4_flash,direct_token_matched,calendar_041,1,1.0,1.0,1.0
deepseek_v4_flash,direct_token_matched,calendar_042,1,0.0,1.0,1.0
deepseek_v4_flash,direct_token_matched,calendar_043,1,0.0,1.0,1.0
deepseek_v4_flash,direct_token_matched,calendar_044,1,0.0,1.0,1.0
deepseek_v4_flash,direct_token_matched,calendar_045,1,0.0,1.0,1.0
deepseek_v4_flash,direct_token_matched,calendar_046,1,0.0,1.0,1.0
deepseek_v4_flash,direct_token_matched,calendar_047,1,0.0,1.0,1.0
deepseek_v4_flash,direct_token_matched,calendar_048,1,0.0,1.0,1.0
deepseek_v4_flash,direct_token_matched,calendar_049,1,0.0,1.0,1.0
deepseek_v4_flash,direct_token_matched,calendar_050,1,1.0,1.0,1.0
deepseek_v4_flash,direct_token_matched,calendar_051,1,1.0,1.0,1.0
deepseek_v4_flash,direct_token_matched,calendar_052,1,0.0,1.0,1.0
deepseek_v4_flash,direct_token_matched,calendar_053,1,0.0,1.0,1.0
deepseek_v4_flash,direct_token_matched,calendar_054,1,1.0,1.0,1.0
deepseek_v4_flash,direct_token_matched,calendar_055,1,1.0,1.0,1.0
deepseek_v4_flash,direct_token_matched,calendar_056,1,0.0,1.0,1.0
deepseek_v4_flash,direct_token_matched,calendar_057,1,0.0,1.0,1.0
