task_id,domain,difficulty,model,agent,trial,execution_mode,spec_parse_status,action_parse_status,task_success,own_spec_pass,self_violation_rate,num_tool_calls,num_mutating_tool_calls,spec_prompt_chars,action_prompt_chars,spec_latency_s,action_latency_s,missing_precondition_steps,unknown_tool_steps,permission_denied_steps,side_effect_steps,confirmation_steps,unique_actions,action_sequence
calendar_063,calendar,L3,mock,oracle_spec,0,tool_plan_executor,missing,oracle_reference_trace,1.0,1.0,0.0,6,2,0,0,0.0,0.0,0,0,0,0,1,6,calendar.inspect_state calendar.check_constraints calendar.verify_artifact confirm calendar.apply_update send_invites
calendar_051,calendar,L2,mock,oracle_spec,0,tool_plan_executor,missing,oracle_reference_trace,1.0,1.0,0.0,5,2,0,0,0.0,0.0,0,0,0,0,1,5,calendar.inspect_state calendar.check_constraints confirm calendar.apply_update send_invites
calendar_049,calendar,L2,mock,oracle_spec,0,tool_plan_executor,missing,oracle_reference_trace,1.0,1.0,0.0,5,2,0,0,0.0,0.0,0,0,0,0,1,5,calendar.inspect_state calendar.check_constraints confirm calendar.apply_update send_invites
calendar_030,calendar,L2,mock,oracle_spec,0,tool_plan_executor,missing,oracle_reference_trace,1.0,1.0,0.0,5,2,0,0,0.0,0.0,0,0,0,0,1,5,calendar.inspect_state calendar.check_constraints confirm calendar.apply_update send_invites
calendar_054,calendar,L2,mock,oracle_spec,0,tool_plan_executor,missing,oracle_reference_trace,1.0,1.0,0.0,5,2,0,0,0.0,0.0,0,0,0,0,1,5,calendar.inspect_state calendar.check_constraints confirm calendar.apply_update send_invites
calendar_065,calendar,L3,mock,oracle_spec,0,tool_plan_executor,missing,oracle_reference_trace,1.0,1.0,0.0,6,2,0,0,0.0,0.0,0,0,0,0,1,6,calendar.inspect_state calendar.check_constraints calendar.verify_artifact confirm calendar.apply_update send_invites
calendar_022,calendar,L2,mock,oracle_spec,0,tool_plan_executor,missing,oracle_reference_trace,1.0,1.0,0.0,5,2,0,0,0.0,0.0,0,0,0,0,1,5,calendar.inspect_state calendar.check_constraints confirm calendar.apply_update send_invites
calendar_039,calendar,L2,mock,oracle_spec,0,tool_plan_executor,missing,oracle_reference_trace,1.0,1.0,0.0,5,2,0,0,0.0,0.0,0,0,0,0,1,5,calendar.inspect_state calendar.check_constraints confirm calendar.apply_update send_invites
calendar_064,calendar,L3,mock,oracle_spec,0,tool_plan_executor,missing,oracle_reference_trace,1.0,1.0,0.0,6,2,0,0,0.0,0.0,0,0,0,0,1,6,calendar.inspect_state calendar.check_constraints calendar.verify_artifact confirm calendar.apply_update send_invites
calendar_043,calendar,L2,mock,oracle_spec,0,tool_plan_executor,missing,oracle_reference_trace,1.0,1.0,0.0,5,2,0,0,0.0,0.0,0,0,0,0,1,5,calendar.inspect_state calendar.check_constraints confirm calendar.apply_update send_invites
calendar_045,calendar,L2,mock,oracle_spec,0,tool_plan_executor,missing,oracle_reference_trace,1.0,1.0,0.0,5,2,0,0,0.0,0.0,0,0,0,0,1,5,calendar.inspect_state calendar.check_constraints confirm calendar.apply_update send_invites
calendar_034,calendar,L2,mock,oracle_spec,0,tool_plan_executor,missing,oracle_reference_trace,1.0,1.0,0.0,5,2,0,0,0.0,0.0,0,0,0,0,1,5,calendar.inspect_state calendar.check_constraints confirm calendar.apply_update send_invites
calendar_047,calendar,L2,mock,oracle_spec,0,tool_plan_executor,missing,oracle_reference_trace,1.0,1.0,0.0,5,2,0,0,0.0,0.0,0,0,0,0,1,5,calendar.inspect_state calendar.check_constraints confirm calendar.apply_update send_invites
calendar_059,calendar,L3,mock,oracle_spec,0,tool_plan_executor,missing,oracle_reference_trace,1.0,1.0,0.0,6,2,0,0,0.0,0.0,0,0,0,0,1,6,calendar.inspect_state calendar.check_constraints calendar.verify_artifact confirm calendar.apply_update send_invites
