model,provider_model,agent,input_tokens,output_tokens,latency_s,attempts,token_estimated,estimated_cost_usd
mock,mock,oracle_spec,465,1200,0.0,1,True,0.0
mock,mock,oracle_spec,454,1200,0.0,1,True,0.0
mock,mock,oracle_spec,468,1200,0.0,1,True,0.0
mock,mock,oracle_spec,465,1200,0.0,1,True,0.0
mock,mock,oracle_spec,458,1200,0.0,1,True,0.0
mock,mock,oracle_spec,475,1200,0.0,1,True,0.0
mock,mock,oracle_spec,463,1200,0.0,1,True,0.0
mock,mock,oracle_spec,466,1200,0.0,1,True,0.0
mock,mock,oracle_spec,466,1200,0.0,1,True,0.0
mock,mock,oracle_spec,457,1200,0.0,1,True,0.0
mock,mock,oracle_spec,461,1200,0.0,1,True,0.0
mock,mock,oracle_spec,466,1200,0.0,1,True,0.0
mock,mock,oracle_spec,462,1200,0.0,1,True,0.0
mock,mock,oracle_spec,469,1200,0.0,1,True,0.0
mock,mock,oracle_spec,472,1200,0.0,1,True,0.0
mock,mock,oracle_spec,471,1200,0.0,1,True,0.0
mock,mock,oracle_spec,460,1200,0.0,1,True,0.0
mock,mock,oracle_spec,466,1200,0.0,1,True,0.0
mock,mock,oracle_spec,460,1200,0.0,1,True,0.0
mock,mock,oracle_spec,470,1200,0.0,1,True,0.0
mock,mock,oracle_spec,467,1200,0.0,1,True,0.0
mock,mock,oracle_spec,461,1200,0.0,1,True,0.0
mock,mock,oracle_spec,459,1200,0.0,1,True,0.0
mock,mock,oracle_spec,466,1200,0.0,1,True,0.0
mock,mock,oracle_spec,464,1200,0.0,1,True,0.0
mock,mock,oracle_spec,461,1200,0.0,1,True,0.0
mock,mock,oracle_spec,464,1200,0.0,1,True,0.0
mock,mock,oracle_spec,468,1200,0.0,1,True,0.0
mock,mock,oracle_spec,460,1200,0.0,1,True,0.0
mock,mock,oracle_spec,463,1200,0.0,1,True,0.0
mock,mock,oracle_spec,460,1200,0.0,1,True,0.0
mock,mock,oracle_spec,465,1200,0.0,1,True,0.0
mock,mock,oracle_spec,473,1200,0.0,1,True,0.0
mock,mock,oracle_spec,466,1200,0.0,1,True,0.0
mock,mock,oracle_spec,464,1200,0.0,1,True,0.0
mock,mock,oracle_spec,461,1200,0.0,1,True,0.0
