task_id,domain,difficulty,agent,model,trial,cc_precision,cc_recall,cc_f1,success_f1,failure_f1,required_observation_recall,overconstraint_rate,underspecification_rate,donespec_valid,near_miss_detection_rate,near_miss_false_accept_rate,valid_accept_rate,verifier_robustness_balanced_accuracy,task_success,own_spec_pass,spec_action_consistency,self_violation_rate,quadrant,mutation_id,mutation_class,mutation_taxon,failure_mode,violated_criteria,failure_family
calendar_063,calendar,L3,oracle_spec,mock,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,good_spec_good_execution,unrelated_side_effect,side-effect violation,unrelated_side_effect,collateral_change,calendar_063_failure_002,side_effect
calendar_051,calendar,L2,oracle_spec,mock,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,good_spec_good_execution,unrelated_side_effect,side-effect violation,unrelated_side_effect,collateral_change,calendar_051_failure_002,side_effect
calendar_049,calendar,L2,oracle_spec,mock,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,good_spec_good_execution,unrelated_side_effect,side-effect violation,unrelated_side_effect,collateral_change,calendar_049_failure_002,side_effect
calendar_030,calendar,L2,oracle_spec,mock,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,good_spec_good_execution,unrelated_side_effect,side-effect violation,unrelated_side_effect,collateral_change,calendar_030_failure_002,side_effect
calendar_054,calendar,L2,oracle_spec,mock,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,good_spec_good_execution,unrelated_side_effect,side-effect violation,unrelated_side_effect,collateral_change,calendar_054_failure_002,side_effect
calendar_065,calendar,L3,oracle_spec,mock,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,good_spec_good_execution,unrelated_side_effect,side-effect violation,unrelated_side_effect,collateral_change,calendar_065_failure_002,side_effect
calendar_022,calendar,L2,oracle_spec,mock,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,good_spec_good_execution,unrelated_side_effect,side-effect violation,unrelated_side_effect,collateral_change,calendar_022_failure_002,side_effect
calendar_039,calendar,L2,oracle_spec,mock,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,good_spec_good_execution,unrelated_side_effect,side-effect violation,unrelated_side_effect,collateral_change,calendar_039_failure_002,side_effect
calendar_064,calendar,L3,oracle_spec,mock,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,good_spec_good_execution,unrelated_side_effect,side-effect violation,unrelated_side_effect,collateral_change,calendar_064_failure_002,side_effect
calendar_043,calendar,L2,oracle_spec,mock,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,good_spec_good_execution,unrelated_side_effect,side-effect violation,unrelated_side_effect,collateral_change,calendar_043_failure_002,side_effect
