task_id,domain,difficulty,model,agent,provider,provider_model,parse_status,json_repair_strategy,json_repair_attempts,llm_error,parsed,fallback,attempts,latency_s,prompt_chars,raw_output_chars,prompt_tokens,completion_tokens,total_tokens
calendar_063,calendar,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_051,calendar,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_049,calendar,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_030,calendar,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_054,calendar,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_065,calendar,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_022,calendar,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_039,calendar,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_064,calendar,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_043,calendar,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_045,calendar,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_034,calendar,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_047,calendar,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_059,calendar,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_038,calendar,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_056,calendar,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_036,calendar,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_040,calendar,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_025,calendar,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_050,calendar,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_033,calendar,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_055,calendar,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_027,calendar,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_041,calendar,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_048,calendar,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_023,calendar,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_021,calendar,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_061,calendar,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_044,calendar,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_035,calendar,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_024,calendar,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_042,calendar,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_058,calendar,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_029,calendar,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_046,calendar,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_028,calendar,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_032,calendar,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_062,calendar,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_031,calendar,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_037,calendar,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_053,calendar,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_060,calendar,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_026,calendar,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_057,calendar,L3,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
calendar_052,calendar,L2,mock,oracle_spec,mock,mock,missing,,0,,False,False,,,,,,,
