model,agent,task_id,k,task_success_pass_at_k,donespec_valid_pass_at_k,all_trials_consistent_success
mock,oracle_spec,calendar_021,1,1.0,1.0,1.0
mock,oracle_spec,calendar_022,1,1.0,1.0,1.0
mock,oracle_spec,calendar_023,1,1.0,1.0,1.0
mock,oracle_spec,calendar_024,1,1.0,1.0,1.0
mock,oracle_spec,calendar_025,1,1.0,1.0,1.0
mock,oracle_spec,calendar_026,1,1.0,1.0,1.0
mock,oracle_spec,calendar_027,1,1.0,1.0,1.0
mock,oracle_spec,calendar_028,1,1.0,1.0,1.0
mock,oracle_spec,calendar_029,1,1.0,1.0,1.0
mock,oracle_spec,calendar_030,1,1.0,1.0,1.0
mock,oracle_spec,calendar_031,1,1.0,1.0,1.0
mock,oracle_spec,calendar_032,1,1.0,1.0,1.0
mock,oracle_spec,calendar_033,1,1.0,1.0,1.0
mock,oracle_spec,calendar_034,1,1.0,1.0,1.0
mock,oracle_spec,calendar_035,1,1.0,1.0,1.0
mock,oracle_spec,calendar_036,1,1.0,1.0,1.0
mock,oracle_spec,calendar_037,1,1.0,1.0,1.0
mock,oracle_spec,calendar_038,1,1.0,1.0,1.0
mock,oracle_spec,calendar_039,1,1.0,1.0,1.0
mock,oracle_spec,calendar_040,1,1.0,1.0,1.0
mock,oracle_spec,calendar_041,1,1.0,1.0,1.0
mock,oracle_spec,calendar_042,1,1.0,1.0,1.0
mock,oracle_spec,calendar_043,1,1.0,1.0,1.0
mock,oracle_spec,calendar_044,1,1.0,1.0,1.0
mock,oracle_spec,calendar_045,1,1.0,1.0,1.0
mock,oracle_spec,calendar_046,1,1.0,1.0,1.0
mock,oracle_spec,calendar_047,1,1.0,1.0,1.0
mock,oracle_spec,calendar_048,1,1.0,1.0,1.0
mock,oracle_spec,calendar_049,1,1.0,1.0,1.0
mock,oracle_spec,calendar_050,1,1.0,1.0,1.0
mock,oracle_spec,calendar_051,1,1.0,1.0,1.0
mock,oracle_spec,calendar_052,1,1.0,1.0,1.0
mock,oracle_spec,calendar_053,1,1.0,1.0,1.0
mock,oracle_spec,calendar_054,1,1.0,1.0,1.0
mock,oracle_spec,calendar_055,1,1.0,1.0,1.0
mock,oracle_spec,calendar_056,1,1.0,1.0,1.0
mock,oracle_spec,calendar_057,1,1.0,1.0,1.0
mock,oracle_spec,calendar_058,1,1.0,1.0,1.0
mock,oracle_spec,calendar_059,1,1.0,1.0,1.0
mock,oracle_spec,calendar_060,1,1.0,1.0,1.0
mock,oracle_spec,calendar_061,1,1.0,1.0,1.0
mock,oracle_spec,calendar_062,1,1.0,1.0,1.0
mock,oracle_spec,calendar_063,1,1.0,1.0,1.0
mock,oracle_spec,calendar_064,1,1.0,1.0,1.0
mock,oracle_spec,calendar_065,1,1.0,1.0,1.0
mock,oracle_spec,calendar_066,1,1.0,1.0,1.0
mock,oracle_spec,calendar_067,1,1.0,1.0,1.0
