task_id,domain,difficulty,task_pattern,annotator_a_decision,annotator_b_decision,needs_adjudication,final_decision,disagreement_category
calendar_021,calendar,L2,calendar_focus_block,,,False,,
calendar_022,calendar,L2,calendar_schedule_sync,,,False,,
calendar_023,calendar,L2,calendar_reschedule_review,,,False,,
calendar_024,calendar,L2,calendar_focus_block,,,False,,
calendar_025,calendar,L2,calendar_schedule_sync,,,False,,
calendar_026,calendar,L2,calendar_reschedule_review,,,False,,
calendar_027,calendar,L2,calendar_focus_block,,,False,,
calendar_028,calendar,L2,calendar_schedule_sync,,,False,,
calendar_029,calendar,L2,calendar_reschedule_review,,,False,,
calendar_030,calendar,L2,calendar_focus_block,,,False,,
calendar_031,calendar,L2,calendar_schedule_sync,,,False,,
calendar_032,calendar,L2,calendar_reschedule_review,,,False,,
calendar_033,calendar,L2,calendar_focus_block,,,False,,
calendar_034,calendar,L2,calendar_schedule_sync,,,False,,
calendar_035,calendar,L2,calendar_reschedule_review,,,False,,
calendar_036,calendar,L2,calendar_focus_block,,,False,,
calendar_037,calendar,L2,calendar_schedule_sync,,,False,,
calendar_038,calendar,L2,calendar_reschedule_review,,,False,,
calendar_039,calendar,L2,calendar_focus_block,,,False,,
calendar_040,calendar,L2,calendar_schedule_sync,,,False,,
crm_workflow_021,crm_workflow,L2,crm_reopen_sla,,,False,,
crm_workflow_022,crm_workflow,L2,crm_close_escalation,,,False,,
crm_workflow_023,crm_workflow,L2,crm_route_refund,,,False,,
crm_workflow_024,crm_workflow,L2,crm_reopen_sla,,,False,,
crm_workflow_025,crm_workflow,L2,crm_close_escalation,,,False,,
crm_workflow_026,crm_workflow,L2,crm_route_refund,,,False,,
crm_workflow_027,crm_workflow,L2,crm_reopen_sla,,,False,,
crm_workflow_028,crm_workflow,L2,crm_close_escalation,,,False,,
crm_workflow_029,crm_workflow,L2,crm_route_refund,,,False,,
crm_workflow_030,crm_workflow,L2,crm_reopen_sla,,,False,,
crm_workflow_031,crm_workflow,L2,crm_close_escalation,,,False,,
crm_workflow_032,crm_workflow,L2,crm_route_refund,,,False,,
crm_workflow_033,crm_workflow,L2,crm_reopen_sla,,,False,,
crm_workflow_034,crm_workflow,L2,crm_close_escalation,,,False,,
crm_workflow_035,crm_workflow,L2,crm_route_refund,,,False,,
crm_workflow_036,crm_workflow,L2,crm_reopen_sla,,,False,,
crm_workflow_037,crm_workflow,L2,crm_close_escalation,,,False,,
crm_workflow_038,crm_workflow,L2,crm_route_refund,,,False,,
crm_workflow_039,crm_workflow,L2,crm_reopen_sla,,,False,,
crm_workflow_040,crm_workflow,L2,crm_close_escalation,,,False,,
email_021,email,L2,email_forward_digest,,,False,,
email_022,email,L2,email_weekly_summary,,,False,,
email_023,email,L2,email_customer_reply,,,False,,
email_024,email,L2,email_forward_digest,,,False,,
email_025,email,L2,email_weekly_summary,,,False,,
email_026,email,L2,email_customer_reply,,,False,,
email_027,email,L2,email_forward_digest,,,False,,
email_028,email,L2,email_weekly_summary,,,False,,
email_029,email,L2,email_customer_reply,,,False,,
email_030,email,L2,email_forward_digest,,,False,,
email_031,email,L2,email_weekly_summary,,,False,,
email_032,email,L2,email_customer_reply,,,False,,
email_033,email,L2,email_forward_digest,,,False,,
email_034,email,L2,email_weekly_summary,,,False,,
email_035,email,L2,email_customer_reply,,,False,,
email_036,email,L2,email_forward_digest,,,False,,
email_037,email,L2,email_weekly_summary,,,False,,
email_038,email,L2,email_customer_reply,,,False,,
email_039,email,L2,email_forward_digest,,,False,,
email_040,email,L2,email_weekly_summary,,,False,,
file_doc_021,file_doc,L2,file_share_packet,,,False,,
file_doc_022,file_doc,L2,file_revise_document,,,False,,
file_doc_023,file_doc,L2,file_archive_contract,,,False,,
file_doc_024,file_doc,L2,file_share_packet,,,False,,
file_doc_025,file_doc,L2,file_revise_document,,,False,,
file_doc_026,file_doc,L2,file_archive_contract,,,False,,
file_doc_027,file_doc,L2,file_share_packet,,,False,,
file_doc_028,file_doc,L2,file_revise_document,,,False,,
file_doc_029,file_doc,L2,file_archive_contract,,,False,,
file_doc_030,file_doc,L2,file_share_packet,,,False,,
file_doc_031,file_doc,L2,file_revise_document,,,False,,
file_doc_032,file_doc,L2,file_archive_contract,,,False,,
file_doc_033,file_doc,L2,file_share_packet,,,False,,
file_doc_034,file_doc,L2,file_revise_document,,,False,,
file_doc_035,file_doc,L2,file_archive_contract,,,False,,
file_doc_036,file_doc,L2,file_share_packet,,,False,,
file_doc_037,file_doc,L2,file_revise_document,,,False,,
file_doc_038,file_doc,L2,file_archive_contract,,,False,,
file_doc_039,file_doc,L2,file_share_packet,,,False,,
file_doc_040,file_doc,L2,file_revise_document,,,False,,
sheet_db_021,sheet_db,L2,sheet_append_forecast,,,False,,
sheet_db_022,sheet_db,L2,sheet_update_account,,,False,,
sheet_db_023,sheet_db,L2,sheet_dedupe_contact,,,False,,
sheet_db_024,sheet_db,L2,sheet_append_forecast,,,False,,
sheet_db_025,sheet_db,L2,sheet_update_account,,,False,,
sheet_db_026,sheet_db,L2,sheet_dedupe_contact,,,False,,
sheet_db_027,sheet_db,L2,sheet_append_forecast,,,False,,
sheet_db_028,sheet_db,L2,sheet_update_account,,,False,,
sheet_db_029,sheet_db,L2,sheet_dedupe_contact,,,False,,
sheet_db_030,sheet_db,L2,sheet_append_forecast,,,False,,
sheet_db_031,sheet_db,L2,sheet_update_account,,,False,,
sheet_db_032,sheet_db,L2,sheet_dedupe_contact,,,False,,
sheet_db_033,sheet_db,L2,sheet_append_forecast,,,False,,
sheet_db_034,sheet_db,L2,sheet_update_account,,,False,,
sheet_db_035,sheet_db,L2,sheet_dedupe_contact,,,False,,
sheet_db_036,sheet_db,L2,sheet_append_forecast,,,False,,
sheet_db_037,sheet_db,L2,sheet_update_account,,,False,,
sheet_db_038,sheet_db,L2,sheet_dedupe_contact,,,False,,
sheet_db_039,sheet_db,L2,sheet_append_forecast,,,False,,
sheet_db_040,sheet_db,L2,sheet_update_account,,,False,,
