model,provider_model,agent,input_tokens,output_tokens,latency_s,attempts,token_estimated,estimated_cost_usd
deepseek_v4_flash,deepseek-v4-flash,direct,600,1200,0.0,1,True,0.00042000000000000007
deepseek_v4_flash,deepseek-v4-flash,direct,604,1200,0.0,1,True,0.00042056000000000005
deepseek_v4_flash,deepseek-v4-flash,direct,612,1200,0.0,1,True,0.00042168000000000007
deepseek_v4_flash,deepseek-v4-flash,direct,609,1200,0.0,1,True,0.00042126000000000007
deepseek_v4_flash,deepseek-v4-flash,direct,614,1200,0.0,1,True,0.00042196000000000003
deepseek_v4_flash,deepseek-v4-flash,direct,611,1200,0.0,1,True,0.0004215400000000001
deepseek_v4_flash,deepseek-v4-flash,direct,610,1200,0.0,1,True,0.0004214000000000001
deepseek_v4_flash,deepseek-v4-flash,direct,602,1200,0.0,1,True,0.0004202800000000001
deepseek_v4_flash,deepseek-v4-flash,direct,607,1200,0.0,1,True,0.00042098000000000005
deepseek_v4_flash,deepseek-v4-flash,direct,609,1200,0.0,1,True,0.00042126000000000007
deepseek_v4_flash,deepseek-v4-flash,direct,611,1200,0.0,1,True,0.0004215400000000001
deepseek_v4_flash,deepseek-v4-flash,direct,613,1200,0.0,1,True,0.00042182000000000005
deepseek_v4_flash,deepseek-v4-flash,direct,611,1200,0.0,1,True,0.0004215400000000001
deepseek_v4_flash,deepseek-v4-flash,direct,607,1200,0.0,1,True,0.00042098000000000005
deepseek_v4_flash,deepseek-v4-flash,direct,600,1200,0.0,1,True,0.00042000000000000007
deepseek_v4_flash,deepseek-v4-flash,direct,603,1200,0.0,1,True,0.00042042000000000007
deepseek_v4_flash,deepseek-v4-flash,direct,625,1200,0.0,1,True,0.00042350000000000005
deepseek_v4_flash,deepseek-v4-flash,direct,598,1200,0.0,1,True,0.0004197200000000001
deepseek_v4_flash,deepseek-v4-flash,direct,632,1200,0.0,1,True,0.0004244800000000001
deepseek_v4_flash,deepseek-v4-flash,direct,630,1200,0.0,1,True,0.00042420000000000007
deepseek_v4_flash,deepseek-v4-flash,direct,636,1200,0.0,1,True,0.00042504000000000006
deepseek_v4_flash,deepseek-v4-flash,direct,634,1200,0.0,1,True,0.00042476000000000005
deepseek_v4_flash,deepseek-v4-flash,direct,640,1200,0.0,1,True,0.0004256000000000001
deepseek_v4_flash,deepseek-v4-flash,direct,635,1200,0.0,1,True,0.0004249000000000001
deepseek_v4_flash,deepseek-v4-flash,direct,635,1200,0.0,1,True,0.0004249000000000001
deepseek_v4_flash,deepseek-v4-flash,direct,632,1200,0.0,1,True,0.0004244800000000001
deepseek_v4_flash,deepseek-v4-flash,direct,642,1200,0.0,1,True,0.00042588000000000006
deepseek_v4_flash,deepseek-v4-flash,direct,645,1200,0.0,1,True,0.00042630000000000006
deepseek_v4_flash,deepseek-v4-flash,direct,639,1200,0.0,1,True,0.00042546000000000006
deepseek_v4_flash,deepseek-v4-flash,direct,644,1200,0.0,1,True,0.0004261600000000001
deepseek_v4_flash,deepseek-v4-flash,direct,635,1200,0.0,1,True,0.0004249000000000001
deepseek_v4_flash,deepseek-v4-flash,direct,642,1200,0.0,1,True,0.00042588000000000006
deepseek_v4_flash,deepseek-v4-flash,direct,640,1200,0.0,1,True,0.0004256000000000001
deepseek_v4_flash,deepseek-v4-flash,direct,641,1200,0.0,1,True,0.0004257400000000001
deepseek_v4_flash,deepseek-v4-flash,direct,645,1200,0.0,1,True,0.00042630000000000006
deepseek_v4_flash,deepseek-v4-flash,direct,633,1200,0.0,1,True,0.00042462000000000006
deepseek_v4_flash,deepseek-v4-flash,direct,630,1200,0.0,1,True,0.00042420000000000007
deepseek_v4_flash,deepseek-v4-flash,direct,632,1200,0.0,1,True,0.0004244800000000001
deepseek_v4_flash,deepseek-v4-flash,direct,660,1200,0.0,1,True,0.0004284000000000001
deepseek_v4_flash,deepseek-v4-flash,direct,662,1200,0.0,1,True,0.0004286800000000001
deepseek_v4_flash,deepseek-v4-flash,direct,648,1200,0.0,1,True,0.00042672000000000006
deepseek_v4_flash,deepseek-v4-flash,direct,657,1200,0.0,1,True,0.00042798000000000006
deepseek_v4_flash,deepseek-v4-flash,direct,657,1200,0.0,1,True,0.00042798000000000006
deepseek_v4_flash,deepseek-v4-flash,direct,654,1200,0.0,1,True,0.00042756000000000006
deepseek_v4_flash,deepseek-v4-flash,direct,657,1200,0.0,1,True,0.00042798000000000006
deepseek_v4_flash,deepseek-v4-flash,direct,655,1200,0.0,1,True,0.00042770000000000004
deepseek_v4_flash,deepseek-v4-flash,direct,664,1200,0.0,1,True,0.00042896000000000004
deepseek_v4_flash,deepseek-v4-flash,direct,661,1200,0.0,1,True,0.0004285400000000001
deepseek_v4_flash,deepseek-v4-flash,direct,662,1200,0.0,1,True,0.0004286800000000001
deepseek_v4_flash,deepseek-v4-flash,direct,659,1200,0.0,1,True,0.00042826
deepseek_v4_pro,deepseek-v4-pro,direct,600,1200,0.0,1,True,0.001305
deepseek_v4_pro,deepseek-v4-pro,direct,604,1200,0.0,1,True,0.00130674
deepseek_v4_pro,deepseek-v4-pro,direct,612,1200,0.0,1,True,0.00131022
deepseek_v4_pro,deepseek-v4-pro,direct,614,1200,0.0,1,True,0.00131109
deepseek_v4_pro,deepseek-v4-pro,direct,602,1200,0.0,1,True,0.00130587
deepseek_v4_pro,deepseek-v4-pro,direct,609,1200,0.0,1,True,0.001308915
deepseek_v4_pro,deepseek-v4-pro,direct,610,1200,0.0,1,True,0.00130935
deepseek_v4_pro,deepseek-v4-pro,direct,611,1200,0.0,1,True,0.0013097850000000002
deepseek_v4_pro,deepseek-v4-pro,direct,607,1200,0.0,1,True,0.001308045
deepseek_v4_pro,deepseek-v4-pro,direct,609,1200,0.0,1,True,0.001308915
deepseek_v4_pro,deepseek-v4-pro,direct,613,1200,0.0,1,True,0.001310655
deepseek_v4_pro,deepseek-v4-pro,direct,607,1200,0.0,1,True,0.001308045
deepseek_v4_pro,deepseek-v4-pro,direct,611,1200,0.0,1,True,0.0013097850000000002
deepseek_v4_pro,deepseek-v4-pro,direct,611,1200,0.0,1,True,0.0013097850000000002
deepseek_v4_pro,deepseek-v4-pro,direct,600,1200,0.0,1,True,0.001305
deepseek_v4_pro,deepseek-v4-pro,direct,603,1200,0.0,1,True,0.001306305
deepseek_v4_pro,deepseek-v4-pro,direct,625,1200,0.0,1,True,0.001315875
deepseek_v4_pro,deepseek-v4-pro,direct,598,1200,0.0,1,True,0.0013041300000000001
deepseek_v4_pro,deepseek-v4-pro,direct,632,1200,0.0,1,True,0.0013189200000000001
deepseek_v4_pro,deepseek-v4-pro,direct,630,1200,0.0,1,True,0.0013180499999999999
deepseek_v4_pro,deepseek-v4-pro,direct,636,1200,0.0,1,True,0.00132066
deepseek_v4_pro,deepseek-v4-pro,direct,634,1200,0.0,1,True,0.00131979
deepseek_v4_pro,deepseek-v4-pro,direct,640,1200,0.0,1,True,0.0013224
deepseek_v4_pro,deepseek-v4-pro,direct,635,1200,0.0,1,True,0.001320225
deepseek_v4_pro,deepseek-v4-pro,direct,635,1200,0.0,1,True,0.001320225
deepseek_v4_pro,deepseek-v4-pro,direct,642,1200,0.0,1,True,0.00132327
deepseek_v4_pro,deepseek-v4-pro,direct,632,1200,0.0,1,True,0.0013189200000000001
deepseek_v4_pro,deepseek-v4-pro,direct,645,1200,0.0,1,True,0.0013245750000000001
deepseek_v4_pro,deepseek-v4-pro,direct,639,1200,0.0,1,True,0.0013219649999999998
deepseek_v4_pro,deepseek-v4-pro,direct,644,1200,0.0,1,True,0.00132414
deepseek_v4_pro,deepseek-v4-pro,direct,635,1200,0.0,1,True,0.001320225
deepseek_v4_pro,deepseek-v4-pro,direct,640,1200,0.0,1,True,0.0013224
deepseek_v4_pro,deepseek-v4-pro,direct,641,1200,0.0,1,True,0.001322835
deepseek_v4_pro,deepseek-v4-pro,direct,633,1200,0.0,1,True,0.001319355
deepseek_v4_pro,deepseek-v4-pro,direct,642,1200,0.0,1,True,0.00132327
deepseek_v4_pro,deepseek-v4-pro,direct,645,1200,0.0,1,True,0.0013245750000000001
deepseek_v4_pro,deepseek-v4-pro,direct,632,1200,0.0,1,True,0.0013189200000000001
deepseek_v4_pro,deepseek-v4-pro,direct,630,1200,0.0,1,True,0.0013180499999999999
deepseek_v4_pro,deepseek-v4-pro,direct,660,1200,0.0,1,True,0.0013311
deepseek_v4_pro,deepseek-v4-pro,direct,654,1200,0.0,1,True,0.00132849
deepseek_v4_pro,deepseek-v4-pro,direct,657,1200,0.0,1,True,0.0013297950000000002
deepseek_v4_pro,deepseek-v4-pro,direct,648,1200,0.0,1,True,0.0013258800000000002
deepseek_v4_pro,deepseek-v4-pro,direct,657,1200,0.0,1,True,0.0013297950000000002
deepseek_v4_pro,deepseek-v4-pro,direct,662,1200,0.0,1,True,0.00133197
deepseek_v4_pro,deepseek-v4-pro,direct,655,1200,0.0,1,True,0.001328925
deepseek_v4_pro,deepseek-v4-pro,direct,662,1200,0.0,1,True,0.00133197
deepseek_v4_pro,deepseek-v4-pro,direct,661,1200,0.0,1,True,0.001331535
deepseek_v4_pro,deepseek-v4-pro,direct,657,1200,0.0,1,True,0.0013297950000000002
deepseek_v4_pro,deepseek-v4-pro,direct,664,1200,0.0,1,True,0.0013328399999999998
deepseek_v4_pro,deepseek-v4-pro,direct,659,1200,0.0,1,True,0.001330665
deepseek_v4_flash,deepseek-v4-flash,plan_first,608,1200,0.0,1,True,0.0004211200000000001
deepseek_v4_flash,deepseek-v4-flash,plan_first,605,1200,0.0,1,True,0.00042070000000000003
deepseek_v4_flash,deepseek-v4-flash,plan_first,617,1200,0.0,1,True,0.00042238000000000003
deepseek_v4_flash,deepseek-v4-flash,plan_first,619,1200,0.0,1,True,0.0004226600000000001
deepseek_v4_flash,deepseek-v4-flash,plan_first,614,1200,0.0,1,True,0.00042196000000000003
deepseek_v4_flash,deepseek-v4-flash,plan_first,616,1200,0.0,1,True,0.00042224000000000005
deepseek_v4_flash,deepseek-v4-flash,plan_first,607,1200,0.0,1,True,0.00042098000000000005
deepseek_v4_flash,deepseek-v4-flash,plan_first,612,1200,0.0,1,True,0.00042168000000000007
deepseek_v4_flash,deepseek-v4-flash,plan_first,614,1200,0.0,1,True,0.00042196000000000003
deepseek_v4_flash,deepseek-v4-flash,plan_first,618,1200,0.0,1,True,0.0004225200000000001
deepseek_v4_flash,deepseek-v4-flash,plan_first,615,1200,0.0,1,True,0.00042210000000000007
deepseek_v4_flash,deepseek-v4-flash,plan_first,616,1200,0.0,1,True,0.00042224000000000005
deepseek_v4_flash,deepseek-v4-flash,plan_first,605,1200,0.0,1,True,0.00042070000000000003
deepseek_v4_flash,deepseek-v4-flash,plan_first,616,1200,0.0,1,True,0.00042224000000000005
deepseek_v4_flash,deepseek-v4-flash,plan_first,630,1200,0.0,1,True,0.00042420000000000007
deepseek_v4_flash,deepseek-v4-flash,plan_first,608,1200,0.0,1,True,0.0004211200000000001
deepseek_v4_flash,deepseek-v4-flash,plan_first,612,1200,0.0,1,True,0.00042168000000000007
deepseek_v4_flash,deepseek-v4-flash,plan_first,641,1200,0.0,1,True,0.0004257400000000001
deepseek_v4_flash,deepseek-v4-flash,plan_first,639,1200,0.0,1,True,0.00042546000000000006
deepseek_v4_flash,deepseek-v4-flash,plan_first,637,1200,0.0,1,True,0.00042518000000000005
deepseek_v4_flash,deepseek-v4-flash,plan_first,602,1200,0.0,1,True,0.0004202800000000001
deepseek_v4_flash,deepseek-v4-flash,plan_first,640,1200,0.0,1,True,0.0004256000000000001
deepseek_v4_flash,deepseek-v4-flash,plan_first,644,1200,0.0,1,True,0.0004261600000000001
deepseek_v4_flash,deepseek-v4-flash,plan_first,646,1200,0.0,1,True,0.00042644000000000004
deepseek_v4_flash,deepseek-v4-flash,plan_first,635,1200,0.0,1,True,0.0004249000000000001
deepseek_v4_flash,deepseek-v4-flash,plan_first,644,1200,0.0,1,True,0.0004261600000000001
deepseek_v4_flash,deepseek-v4-flash,plan_first,636,1200,0.0,1,True,0.00042504000000000006
deepseek_v4_flash,deepseek-v4-flash,plan_first,650,1200,0.0,1,True,0.0004270000000000001
deepseek_v4_flash,deepseek-v4-flash,plan_first,640,1200,0.0,1,True,0.0004256000000000001
deepseek_v4_flash,deepseek-v4-flash,plan_first,649,1200,0.0,1,True,0.0004268600000000001
deepseek_v4_flash,deepseek-v4-flash,plan_first,645,1200,0.0,1,True,0.00042630000000000006
deepseek_v4_flash,deepseek-v4-flash,plan_first,647,1200,0.0,1,True,0.00042658
deepseek_v4_flash,deepseek-v4-flash,plan_first,637,1200,0.0,1,True,0.00042518000000000005
deepseek_v4_flash,deepseek-v4-flash,plan_first,640,1200,0.0,1,True,0.0004256000000000001
deepseek_v4_flash,deepseek-v4-flash,plan_first,646,1200,0.0,1,True,0.00042644000000000004
deepseek_v4_flash,deepseek-v4-flash,plan_first,667,1200,0.0,1,True,0.00042938000000000004
deepseek_v4_flash,deepseek-v4-flash,plan_first,635,1200,0.0,1,True,0.0004249000000000001
deepseek_v4_flash,deepseek-v4-flash,plan_first,662,1200,0.0,1,True,0.0004286800000000001
deepseek_v4_flash,deepseek-v4-flash,plan_first,664,1200,0.0,1,True,0.00042896000000000004
deepseek_v4_flash,deepseek-v4-flash,plan_first,653,1200,0.0,1,True,0.0004274200000000001
deepseek_v4_flash,deepseek-v4-flash,plan_first,650,1200,0.0,1,True,0.0004270000000000001
deepseek_v4_flash,deepseek-v4-flash,plan_first,659,1200,0.0,1,True,0.00042826
deepseek_v4_flash,deepseek-v4-flash,plan_first,638,1200,0.0,1,True,0.00042532000000000003
deepseek_v4_flash,deepseek-v4-flash,plan_first,662,1200,0.0,1,True,0.0004286800000000001
deepseek_v4_flash,deepseek-v4-flash,plan_first,662,1200,0.0,1,True,0.0004286800000000001
deepseek_v4_flash,deepseek-v4-flash,plan_first,667,1200,0.0,1,True,0.00042938000000000004
deepseek_v4_flash,deepseek-v4-flash,plan_first,669,1200,0.0,1,True,0.00042966000000000006
deepseek_v4_flash,deepseek-v4-flash,plan_first,666,1200,0.0,1,True,0.00042924000000000006
deepseek_v4_flash,deepseek-v4-flash,plan_first,660,1200,0.0,1,True,0.0004284000000000001
deepseek_v4_flash,deepseek-v4-flash,plan_first,664,1200,0.0,1,True,0.00042896000000000004
deepseek_v4_pro,deepseek-v4-pro,plan_first,605,1200,0.0,1,True,0.001307175
deepseek_v4_pro,deepseek-v4-pro,plan_first,617,1200,0.0,1,True,0.001312395
deepseek_v4_pro,deepseek-v4-pro,plan_first,614,1200,0.0,1,True,0.00131109
deepseek_v4_pro,deepseek-v4-pro,plan_first,619,1200,0.0,1,True,0.0013132649999999999
deepseek_v4_pro,deepseek-v4-pro,plan_first,614,1200,0.0,1,True,0.00131109
deepseek_v4_pro,deepseek-v4-pro,plan_first,608,1200,0.0,1,True,0.00130848
deepseek_v4_pro,deepseek-v4-pro,plan_first,615,1200,0.0,1,True,0.001311525
deepseek_v4_pro,deepseek-v4-pro,plan_first,612,1200,0.0,1,True,0.00131022
deepseek_v4_pro,deepseek-v4-pro,plan_first,607,1200,0.0,1,True,0.001308045
deepseek_v4_pro,deepseek-v4-pro,plan_first,616,1200,0.0,1,True,0.00131196
deepseek_v4_pro,deepseek-v4-pro,plan_first,618,1200,0.0,1,True,0.0013128299999999999
deepseek_v4_pro,deepseek-v4-pro,plan_first,616,1200,0.0,1,True,0.00131196
deepseek_v4_pro,deepseek-v4-pro,plan_first,605,1200,0.0,1,True,0.001307175
deepseek_v4_pro,deepseek-v4-pro,plan_first,630,1200,0.0,1,True,0.0013180499999999999
deepseek_v4_pro,deepseek-v4-pro,plan_first,608,1200,0.0,1,True,0.00130848
deepseek_v4_pro,deepseek-v4-pro,plan_first,616,1200,0.0,1,True,0.00131196
deepseek_v4_pro,deepseek-v4-pro,plan_first,602,1200,0.0,1,True,0.00130587
deepseek_v4_pro,deepseek-v4-pro,plan_first,612,1200,0.0,1,True,0.00131022
deepseek_v4_pro,deepseek-v4-pro,plan_first,637,1200,0.0,1,True,0.001321095
deepseek_v4_pro,deepseek-v4-pro,plan_first,639,1200,0.0,1,True,0.0013219649999999998
deepseek_v4_pro,deepseek-v4-pro,plan_first,640,1200,0.0,1,True,0.0013224
deepseek_v4_pro,deepseek-v4-pro,plan_first,636,1200,0.0,1,True,0.00132066
deepseek_v4_pro,deepseek-v4-pro,plan_first,644,1200,0.0,1,True,0.00132414
deepseek_v4_pro,deepseek-v4-pro,plan_first,641,1200,0.0,1,True,0.001322835
deepseek_v4_pro,deepseek-v4-pro,plan_first,644,1200,0.0,1,True,0.00132414
deepseek_v4_pro,deepseek-v4-pro,plan_first,646,1200,0.0,1,True,0.00132501
deepseek_v4_pro,deepseek-v4-pro,plan_first,635,1200,0.0,1,True,0.001320225
deepseek_v4_pro,deepseek-v4-pro,plan_first,650,1200,0.0,1,True,0.00132675
deepseek_v4_pro,deepseek-v4-pro,plan_first,640,1200,0.0,1,True,0.0013224
deepseek_v4_pro,deepseek-v4-pro,plan_first,640,1200,0.0,1,True,0.0013224
deepseek_v4_pro,deepseek-v4-pro,plan_first,647,1200,0.0,1,True,0.001325445
deepseek_v4_pro,deepseek-v4-pro,plan_first,649,1200,0.0,1,True,0.001326315
deepseek_v4_pro,deepseek-v4-pro,plan_first,637,1200,0.0,1,True,0.001321095
deepseek_v4_pro,deepseek-v4-pro,plan_first,645,1200,0.0,1,True,0.0013245750000000001
deepseek_v4_pro,deepseek-v4-pro,plan_first,646,1200,0.0,1,True,0.00132501
deepseek_v4_pro,deepseek-v4-pro,plan_first,664,1200,0.0,1,True,0.0013328399999999998
deepseek_v4_pro,deepseek-v4-pro,plan_first,635,1200,0.0,1,True,0.001320225
deepseek_v4_pro,deepseek-v4-pro,plan_first,667,1200,0.0,1,True,0.001334145
deepseek_v4_pro,deepseek-v4-pro,plan_first,650,1200,0.0,1,True,0.00132675
deepseek_v4_pro,deepseek-v4-pro,plan_first,666,1200,0.0,1,True,0.00133371
deepseek_v4_pro,deepseek-v4-pro,plan_first,662,1200,0.0,1,True,0.00133197
deepseek_v4_pro,deepseek-v4-pro,plan_first,660,1200,0.0,1,True,0.0013311
deepseek_v4_pro,deepseek-v4-pro,plan_first,638,1200,0.0,1,True,0.00132153
deepseek_v4_pro,deepseek-v4-pro,plan_first,653,1200,0.0,1,True,0.001328055
deepseek_v4_pro,deepseek-v4-pro,plan_first,659,1200,0.0,1,True,0.001330665
deepseek_v4_pro,deepseek-v4-pro,plan_first,662,1200,0.0,1,True,0.00133197
deepseek_v4_pro,deepseek-v4-pro,plan_first,662,1200,0.0,1,True,0.00133197
deepseek_v4_pro,deepseek-v4-pro,plan_first,669,1200,0.0,1,True,0.001335015
deepseek_v4_pro,deepseek-v4-pro,plan_first,667,1200,0.0,1,True,0.001334145
deepseek_v4_pro,deepseek-v4-pro,plan_first,664,1200,0.0,1,True,0.0013328399999999998
deepseek_v4_flash,deepseek-v4-flash,spec_first,574,1200,0.0,1,True,0.00041636000000000006
deepseek_v4_flash,deepseek-v4-flash,spec_first,562,1200,0.0,1,True,0.00041468000000000006
deepseek_v4_flash,deepseek-v4-flash,spec_first,571,1200,0.0,1,True,0.00041594000000000006
deepseek_v4_flash,deepseek-v4-flash,spec_first,566,1200,0.0,1,True,0.00041524000000000004
deepseek_v4_flash,deepseek-v4-flash,spec_first,576,1200,0.0,1,True,0.0004166400000000001
deepseek_v4_flash,deepseek-v4-flash,spec_first,570,1200,0.0,1,True,0.0004158000000000001
deepseek_v4_flash,deepseek-v4-flash,spec_first,573,1200,0.0,1,True,0.0004162200000000001
deepseek_v4_flash,deepseek-v4-flash,spec_first,574,1200,0.0,1,True,0.00041636000000000006
deepseek_v4_flash,deepseek-v4-flash,spec_first,564,1200,0.0,1,True,0.00041496
deepseek_v4_flash,deepseek-v4-flash,spec_first,569,1200,0.0,1,True,0.0004156600000000001
deepseek_v4_flash,deepseek-v4-flash,spec_first,575,1200,0.0,1,True,0.00041650000000000004
deepseek_v4_flash,deepseek-v4-flash,spec_first,572,1200,0.0,1,True,0.00041608000000000004
deepseek_v4_flash,deepseek-v4-flash,spec_first,573,1200,0.0,1,True,0.0004162200000000001
deepseek_v4_flash,deepseek-v4-flash,spec_first,562,1200,0.0,1,True,0.00041468000000000006
deepseek_v4_flash,deepseek-v4-flash,spec_first,565,1200,0.0,1,True,0.00041510000000000006
deepseek_v4_flash,deepseek-v4-flash,spec_first,587,1200,0.0,1,True,0.00041818000000000004
deepseek_v4_flash,deepseek-v4-flash,spec_first,571,1200,0.0,1,True,0.00041594000000000006
deepseek_v4_flash,deepseek-v4-flash,spec_first,595,1200,0.0,1,True,0.00041930000000000005
deepseek_v4_flash,deepseek-v4-flash,spec_first,560,1200,0.0,1,True,0.0004144000000000001
deepseek_v4_flash,deepseek-v4-flash,spec_first,593,1200,0.0,1,True,0.0004190200000000001
deepseek_v4_flash,deepseek-v4-flash,spec_first,594,1200,0.0,1,True,0.00041916000000000007
deepseek_v4_flash,deepseek-v4-flash,spec_first,598,1200,0.0,1,True,0.0004197200000000001
deepseek_v4_flash,deepseek-v4-flash,spec_first,597,1200,0.0,1,True,0.00041958
deepseek_v4_flash,deepseek-v4-flash,spec_first,598,1200,0.0,1,True,0.0004197200000000001
deepseek_v4_flash,deepseek-v4-flash,spec_first,604,1200,0.0,1,True,0.00042056000000000005
deepseek_v4_flash,deepseek-v4-flash,spec_first,596,1200,0.0,1,True,0.00041944000000000004
deepseek_v4_flash,deepseek-v4-flash,spec_first,602,1200,0.0,1,True,0.0004202800000000001
deepseek_v4_flash,deepseek-v4-flash,spec_first,601,1200,0.0,1,True,0.0004201400000000001
deepseek_v4_flash,deepseek-v4-flash,spec_first,602,1200,0.0,1,True,0.0004202800000000001
deepseek_v4_flash,deepseek-v4-flash,spec_first,597,1200,0.0,1,True,0.00041958
deepseek_v4_flash,deepseek-v4-flash,spec_first,604,1200,0.0,1,True,0.00042056000000000005
deepseek_v4_flash,deepseek-v4-flash,spec_first,607,1200,0.0,1,True,0.00042098000000000005
deepseek_v4_flash,deepseek-v4-flash,spec_first,606,1200,0.0,1,True,0.00042084
deepseek_v4_flash,deepseek-v4-flash,spec_first,605,1200,0.0,1,True,0.00042070000000000003
deepseek_v4_flash,deepseek-v4-flash,spec_first,607,1200,0.0,1,True,0.00042098000000000005
deepseek_v4_flash,deepseek-v4-flash,spec_first,595,1200,0.0,1,True,0.00041930000000000005
deepseek_v4_flash,deepseek-v4-flash,spec_first,622,1200,0.0,1,True,0.00042308000000000005
deepseek_v4_flash,deepseek-v4-flash,spec_first,595,1200,0.0,1,True,0.00041930000000000005
deepseek_v4_flash,deepseek-v4-flash,spec_first,592,1200,0.0,1,True,0.00041888000000000006
deepseek_v4_flash,deepseek-v4-flash,spec_first,617,1200,0.0,1,True,0.00042238000000000003
deepseek_v4_flash,deepseek-v4-flash,spec_first,619,1200,0.0,1,True,0.0004226600000000001
deepseek_v4_flash,deepseek-v4-flash,spec_first,610,1200,0.0,1,True,0.0004214000000000001
deepseek_v4_flash,deepseek-v4-flash,spec_first,619,1200,0.0,1,True,0.0004226600000000001
deepseek_v4_flash,deepseek-v4-flash,spec_first,624,1200,0.0,1,True,0.00042336000000000007
deepseek_v4_flash,deepseek-v4-flash,spec_first,618,1200,0.0,1,True,0.0004225200000000001
deepseek_v4_flash,deepseek-v4-flash,spec_first,623,1200,0.0,1,True,0.0004232200000000001
deepseek_v4_flash,deepseek-v4-flash,spec_first,625,1200,0.0,1,True,0.00042350000000000005
deepseek_v4_flash,deepseek-v4-flash,spec_first,626,1200,0.0,1,True,0.0004236400000000001
deepseek_v4_flash,deepseek-v4-flash,spec_first,620,1200,0.0,1,True,0.0004228000000000001
deepseek_v4_flash,deepseek-v4-flash,spec_first,621,1200,0.0,1,True,0.00042294000000000007
deepseek_v4_pro,deepseek-v4-pro,spec_first,566,1200,0.0,1,True,0.00129021
deepseek_v4_pro,deepseek-v4-pro,spec_first,562,1200,0.0,1,True,0.0012884700000000001
deepseek_v4_pro,deepseek-v4-pro,spec_first,571,1200,0.0,1,True,0.001292385
deepseek_v4_pro,deepseek-v4-pro,spec_first,574,1200,0.0,1,True,0.0012936900000000001
deepseek_v4_pro,deepseek-v4-pro,spec_first,573,1200,0.0,1,True,0.001293255
deepseek_v4_pro,deepseek-v4-pro,spec_first,571,1200,0.0,1,True,0.001292385
deepseek_v4_pro,deepseek-v4-pro,spec_first,570,1200,0.0,1,True,0.00129195
deepseek_v4_pro,deepseek-v4-pro,spec_first,576,1200,0.0,1,True,0.00129456
deepseek_v4_pro,deepseek-v4-pro,spec_first,564,1200,0.0,1,True,0.00128934
deepseek_v4_pro,deepseek-v4-pro,spec_first,572,1200,0.0,1,True,0.0012928199999999999
deepseek_v4_pro,deepseek-v4-pro,spec_first,575,1200,0.0,1,True,0.001294125
deepseek_v4_pro,deepseek-v4-pro,spec_first,574,1200,0.0,1,True,0.0012936900000000001
deepseek_v4_pro,deepseek-v4-pro,spec_first,562,1200,0.0,1,True,0.0012884700000000001
deepseek_v4_pro,deepseek-v4-pro,spec_first,573,1200,0.0,1,True,0.001293255
deepseek_v4_pro,deepseek-v4-pro,spec_first,565,1200,0.0,1,True,0.0012897750000000002
deepseek_v4_pro,deepseek-v4-pro,spec_first,569,1200,0.0,1,True,0.0012915149999999998
deepseek_v4_pro,deepseek-v4-pro,spec_first,560,1200,0.0,1,True,0.0012875999999999999
deepseek_v4_pro,deepseek-v4-pro,spec_first,593,1200,0.0,1,True,0.0013019549999999998
deepseek_v4_pro,deepseek-v4-pro,spec_first,595,1200,0.0,1,True,0.001302825
deepseek_v4_pro,deepseek-v4-pro,spec_first,587,1200,0.0,1,True,0.001299345
deepseek_v4_pro,deepseek-v4-pro,spec_first,596,1200,0.0,1,True,0.00130326
deepseek_v4_pro,deepseek-v4-pro,spec_first,602,1200,0.0,1,True,0.00130587
deepseek_v4_pro,deepseek-v4-pro,spec_first,604,1200,0.0,1,True,0.00130674
deepseek_v4_pro,deepseek-v4-pro,spec_first,598,1200,0.0,1,True,0.0013041300000000001
deepseek_v4_pro,deepseek-v4-pro,spec_first,601,1200,0.0,1,True,0.001305435
deepseek_v4_pro,deepseek-v4-pro,spec_first,597,1200,0.0,1,True,0.001303695
deepseek_v4_pro,deepseek-v4-pro,spec_first,597,1200,0.0,1,True,0.001303695
deepseek_v4_pro,deepseek-v4-pro,spec_first,605,1200,0.0,1,True,0.001307175
deepseek_v4_pro,deepseek-v4-pro,spec_first,606,1200,0.0,1,True,0.00130761
deepseek_v4_pro,deepseek-v4-pro,spec_first,607,1200,0.0,1,True,0.001308045
deepseek_v4_pro,deepseek-v4-pro,spec_first,594,1200,0.0,1,True,0.0013023899999999998
deepseek_v4_pro,deepseek-v4-pro,spec_first,595,1200,0.0,1,True,0.001302825
deepseek_v4_pro,deepseek-v4-pro,spec_first,598,1200,0.0,1,True,0.0013041300000000001
deepseek_v4_pro,deepseek-v4-pro,spec_first,604,1200,0.0,1,True,0.00130674
deepseek_v4_pro,deepseek-v4-pro,spec_first,602,1200,0.0,1,True,0.00130587
deepseek_v4_pro,deepseek-v4-pro,spec_first,607,1200,0.0,1,True,0.001308045
deepseek_v4_pro,deepseek-v4-pro,spec_first,595,1200,0.0,1,True,0.001302825
deepseek_v4_pro,deepseek-v4-pro,spec_first,592,1200,0.0,1,True,0.00130152
