model,provider_model,agent,input_tokens,output_tokens,latency_s,attempts,token_estimated,estimated_cost_usd
deepseek_v4_flash,deepseek-v4-flash,direct,454,401,9.640401299999212,1,False,0.00017584000000000002
deepseek_v4_flash,deepseek-v4-flash,direct,458,541,11.001962000009371,1,False,0.0002156
deepseek_v4_flash,deepseek-v4-flash,direct,448,569,11.793499299994437,1,False,0.00022204
deepseek_v4_flash,deepseek-v4-flash,direct,459,647,12.203430999987177,1,False,0.00024542
deepseek_v4_flash,deepseek-v4-flash,direct,456,599,12.542102899999009,1,False,0.00023156000000000004
deepseek_v4_flash,deepseek-v4-flash,direct,456,598,12.716871900003753,1,False,0.00023128000000000002
deepseek_v4_flash,deepseek-v4-flash,direct,455,711,13.37054750000243,1,False,0.00026278000000000006
deepseek_v4_flash,deepseek-v4-flash,direct,449,621,13.701489400002174,1,False,0.00023674000000000004
deepseek_v4_flash,deepseek-v4-flash,direct,455,715,13.943881799990777,1,False,0.0002639
deepseek_v4_flash,deepseek-v4-flash,direct,460,688,13.959158599987859,1,False,0.00025704000000000005
deepseek_v4_flash,deepseek-v4-flash,direct,455,719,13.974749899993185,1,False,0.00026502000000000003
deepseek_v4_flash,deepseek-v4-flash,direct,458,697,13.982819700002437,1,False,0.00025928
deepseek_v4_flash,deepseek-v4-flash,direct,449,735,14.092086200005724,1,False,0.00026866000000000005
deepseek_v4_flash,deepseek-v4-flash,direct,449,716,14.108426899998449,1,False,0.00026334000000000004
deepseek_v4_flash,deepseek-v4-flash,direct,461,742,14.203068999995594,1,False,0.0002723
deepseek_v4_flash,deepseek-v4-flash,direct,451,709,14.32003529999929,1,False,0.00026166000000000004
deepseek_v4_flash,deepseek-v4-flash,direct,454,774,14.847537499997998,1,False,0.00028028000000000005
deepseek_v4_flash,deepseek-v4-flash,direct,447,704,14.982861299999058,1,False,0.00025969999999999997
deepseek_v4_flash,deepseek-v4-flash,direct,454,766,15.10017869999865,1,False,0.00027804
deepseek_v4_flash,deepseek-v4-flash,direct,456,740,15.218405800012988,1,False,0.00027104
deepseek_v4_flash,deepseek-v4-flash,direct,452,773,15.26624539999466,1,False,0.00027972
deepseek_v4_flash,deepseek-v4-flash,direct,459,747,15.70180789999722,1,False,0.00027342
deepseek_v4_flash,deepseek-v4-flash,direct,449,777,15.855937000000267,1,False,0.00028042000000000003
deepseek_v4_flash,deepseek-v4-flash,direct,463,794,15.979990899999393,1,False,0.00028714
deepseek_v4_flash,deepseek-v4-flash,direct,457,797,16.521552899997914,1,False,0.00028714
deepseek_v4_flash,deepseek-v4-flash,direct,453,801,16.75212289999763,1,False,0.00028770000000000005
deepseek_v4_flash,deepseek-v4-flash,direct,448,949,17.34249280000222,1,False,0.00032844000000000005
deepseek_v4_flash,deepseek-v4-flash,direct,451,890,17.74143670000194,1,False,0.00031234000000000004
deepseek_v4_flash,deepseek-v4-flash,direct,454,878,17.81285270000808,1,False,0.00030940000000000004
deepseek_v4_flash,deepseek-v4-flash,direct,457,940,17.860769599996274,1,False,0.00032718000000000005
deepseek_v4_flash,deepseek-v4-flash,direct,450,863,18.107294200002798,1,False,0.00030464000000000006
deepseek_v4_flash,deepseek-v4-flash,direct,455,913,18.6067836000002,1,False,0.00031934000000000004
deepseek_v4_flash,deepseek-v4-flash,direct,457,941,18.652906100003747,1,False,0.00032746
deepseek_v4_flash,deepseek-v4-flash,direct,456,960,18.732303599987063,1,False,0.00033264
deepseek_v4_flash,deepseek-v4-flash,direct,463,944,18.75714230000449,1,False,0.00032914000000000006
