task_id,domain,difficulty,agent,model,trial,cc_precision,cc_recall,cc_f1,success_f1,failure_f1,required_observation_recall,overconstraint_rate,underspecification_rate,donespec_valid,near_miss_detection_rate,near_miss_false_accept_rate,valid_accept_rate,verifier_robustness_balanced_accuracy,task_success,own_spec_pass,spec_action_consistency,self_violation_rate,quadrant
calendar_039,calendar,L2,direct,deepseek_v4_flash,0,1.0,0.6363636363636364,0.7777777777777778,0.7272727272727273,0.6666666666666666,1.0,0.0,0.36363636363636365,1.0,0.6,0.4,1.0,0.8,0.0,0.0,0.5,0.5,good_spec_bad_execution
calendar_071,calendar,L3,direct,deepseek_v4_flash,0,1.0,0.8461538461538461,0.9166666666666666,1.0,0.5,1.0,0.0,0.15384615384615385,1.0,0.6,0.4,1.0,0.8,0.0,0.0,0.5,0.5,good_spec_bad_execution
crm_workflow_038,crm_workflow,L2,direct,deepseek_v4_flash,0,1.0,0.6363636363636364,0.7777777777777778,0.7272727272727273,0.6666666666666666,1.0,0.0,0.36363636363636365,1.0,0.6,0.4,1.0,0.8,0.0,0.0,0.5,0.5,good_spec_bad_execution
email_036,email,L2,direct,deepseek_v4_flash,0,1.0,0.6363636363636364,0.7777777777777778,0.7272727272727273,0.6666666666666666,1.0,0.0,0.36363636363636365,1.0,0.6,0.4,1.0,0.8,0.0,0.0,0.5,0.5,good_spec_bad_execution
crm_workflow_062,crm_workflow,L3,direct,deepseek_v4_flash,0,1.0,0.8461538461538461,0.9166666666666666,1.0,0.5,1.0,0.0,0.15384615384615385,1.0,0.6,0.4,1.0,0.8,0.0,0.0,0.5,0.5,good_spec_bad_execution
email_098,email,L4,direct,deepseek_v4_flash,0,1.0,0.6428571428571429,0.782608695652174,0.8,0.5,1.0,0.0,0.35714285714285715,1.0,0.6,0.4,1.0,0.8,0.0,0.0,0.5,0.5,good_spec_bad_execution
file_doc_115,file_doc,L4,direct,deepseek_v4_flash,0,1.0,0.7142857142857143,0.8333333333333333,0.8750000000000001,0.8,0.5,0.0,0.2857142857142857,1.0,0.6,0.4,1.0,0.8,0.0,0.0,0.5,0.5,good_spec_bad_execution
file_doc_064,file_doc,L3,direct,deepseek_v4_flash,0,1.0,0.8461538461538461,0.9166666666666666,1.0,0.5,1.0,0.0,0.15384615384615385,1.0,0.6,0.4,1.0,0.8,0.0,0.0,0.5,0.5,good_spec_bad_execution
file_doc_110,file_doc,L4,direct,deepseek_v4_flash,0,1.0,0.6428571428571429,0.782608695652174,0.8750000000000001,0.5,0.5,0.0,0.35714285714285715,1.0,0.6,0.4,1.0,0.8,0.0,0.0,0.5,0.5,good_spec_bad_execution
sheet_db_025,sheet_db,L2,direct,deepseek_v4_flash,0,1.0,0.9090909090909091,0.9523809523809523,1.0,0.6666666666666666,1.0,0.0,0.09090909090909091,1.0,0.6,0.4,1.0,0.8,0.0,0.0,0.5,0.5,good_spec_bad_execution
sheet_db_080,sheet_db,L3,direct,deepseek_v4_flash,0,1.0,0.6153846153846154,0.761904761904762,0.6666666666666666,0.8,1.0,0.0,0.38461538461538464,1.0,0.6,0.4,1.0,0.8,0.0,0.0,0.5,0.5,good_spec_bad_execution
calendar_055,calendar,L3,direct,deepseek_v4_pro,0,1.0,0.6923076923076923,0.8181818181818181,0.8571428571428571,0.5,1.0,0.0,0.3076923076923077,1.0,0.6,0.4,1.0,0.8,0.0,0.0,0.5,0.5,good_spec_bad_execution
calendar_038,calendar,L2,direct,deepseek_v4_pro,0,1.0,0.6363636363636364,0.7777777777777778,0.7272727272727273,0.6666666666666666,1.0,0.0,0.36363636363636365,1.0,0.6,0.4,1.0,0.8,0.0,0.0,0.5,0.5,good_spec_bad_execution
calendar_079,calendar,L3,direct,deepseek_v4_pro,0,1.0,0.6153846153846154,0.761904761904762,0.8571428571428571,0.5,0.5,0.0,0.38461538461538464,1.0,0.6,0.4,1.0,0.8,0.0,0.0,0.5,0.5,good_spec_bad_execution
calendar_032,calendar,L2,direct,deepseek_v4_pro,0,1.0,0.9090909090909091,0.9523809523809523,1.0,0.6666666666666666,1.0,0.0,0.09090909090909091,1.0,0.6,0.4,1.0,0.8,0.0,0.0,0.5,0.5,good_spec_bad_execution
calendar_034,calendar,L2,direct,deepseek_v4_pro,0,1.0,0.9090909090909091,0.9523809523809523,1.0,0.6666666666666666,1.0,0.0,0.09090909090909091,1.0,0.6,0.4,1.0,0.8,0.0,0.0,0.5,0.5,good_spec_bad_execution
calendar_035,calendar,L2,direct,deepseek_v4_pro,0,1.0,0.9090909090909091,0.9523809523809523,1.0,0.6666666666666666,1.0,0.0,0.09090909090909091,1.0,0.6,0.4,1.0,0.8,0.0,0.0,0.5,0.5,good_spec_bad_execution
