task_id,domain,difficulty,agent,model,trial,cc_precision,cc_recall,cc_f1,success_f1,failure_f1,required_observation_recall,overconstraint_rate,underspecification_rate,donespec_valid,near_miss_detection_rate,near_miss_false_accept_rate,valid_accept_rate,verifier_robustness_balanced_accuracy,task_success,own_spec_pass,spec_action_consistency,self_violation_rate,quadrant,invalid_taxon,invalid_taxon_description
file_doc_086,file_doc,L3,plan_first,deepseek_v4_pro,0,1.0,0.07692307692307693,0.14285714285714288,0.0,0.0,0.5,0.0,0.9230769230769231,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,invalid_execution_exception,DoneSpec raises during evaluation or cannot be executed.
file_doc_093,file_doc,L3,plan_first,deepseek_v4_pro,0,1.0,0.07692307692307693,0.14285714285714288,0.0,0.0,0.5,0.0,0.9230769230769231,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,invalid_execution_exception,DoneSpec raises during evaluation or cannot be executed.
calendar_028,calendar,L2,plan_first,deepseek_v4_pro,0,1.0,0.09090909090909091,0.16666666666666669,0.0,0.6666666666666666,0.0,0.0,0.9090909090909091,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,invalid_execution_exception,DoneSpec raises during evaluation or cannot be executed.
email_037,email,L2,spec_first,deepseek_v4_pro,0,1.0,0.09090909090909091,0.16666666666666669,0.0,0.0,0.5,0.0,0.9090909090909091,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,invalid_execution_exception,DoneSpec raises during evaluation or cannot be executed.
email_098,email,L4,spec_first,deepseek_v4_pro,0,1.0,0.14285714285714285,0.25,0.19999999999999998,0.5,0.0,0.0,0.8571428571428571,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,invalid_execution_exception,DoneSpec raises during evaluation or cannot be executed.
calendar_079,calendar,L3,plan_first,deepseek_v4_pro,0,1.0,0.15384615384615385,0.2666666666666667,0.0,0.5,0.5,0.0,0.8461538461538461,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,invalid_execution_exception,DoneSpec raises during evaluation or cannot be executed.
calendar_084,calendar,L3,spec_first,deepseek_v4_flash,0,1.0,0.15384615384615385,0.2666666666666667,0.0,0.5,0.5,0.0,0.8461538461538461,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,invalid_execution_exception,DoneSpec raises during evaluation or cannot be executed.
email_089,email,L3,spec_first,deepseek_v4_flash,0,1.0,0.15384615384615385,0.2666666666666667,0.2222222222222222,0.5,0.0,0.0,0.8461538461538461,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,invalid_execution_exception,DoneSpec raises during evaluation or cannot be executed.
file_doc_064,file_doc,L3,spec_first,deepseek_v4_flash,0,1.0,0.15384615384615385,0.2666666666666667,0.0,0.5,0.5,0.0,0.8461538461538461,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,invalid_execution_exception,DoneSpec raises during evaluation or cannot be executed.
file_doc_089,file_doc,L3,spec_first,deepseek_v4_flash,0,1.0,0.15384615384615385,0.2666666666666667,0.4,0.0,0.0,0.0,0.8461538461538461,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,invalid_execution_exception,DoneSpec raises during evaluation or cannot be executed.
sheet_db_083,sheet_db,L3,spec_first,deepseek_v4_pro,0,1.0,0.15384615384615385,0.2666666666666667,0.2222222222222222,0.0,0.5,0.0,0.8461538461538461,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,invalid_execution_exception,DoneSpec raises during evaluation or cannot be executed.
calendar_039,calendar,L2,direct,deepseek_v4_pro,0,1.0,0.18181818181818182,0.3076923076923077,0.0,0.6666666666666666,0.5,0.0,0.8181818181818182,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,invalid_execution_exception,DoneSpec raises during evaluation or cannot be executed.
calendar_047,calendar,L2,plan_first,deepseek_v4_pro,0,1.0,0.18181818181818182,0.3076923076923077,0.0,0.6666666666666666,0.5,0.0,0.8181818181818182,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,invalid_execution_exception,DoneSpec raises during evaluation or cannot be executed.
calendar_029,calendar,L2,plan_first,deepseek_v4_pro,0,1.0,0.18181818181818182,0.3076923076923077,0.0,0.6666666666666666,0.5,0.0,0.8181818181818182,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,invalid_execution_exception,DoneSpec raises during evaluation or cannot be executed.
calendar_047,calendar,L2,spec_first,deepseek_v4_flash,0,1.0,0.18181818181818182,0.3076923076923077,0.0,0.6666666666666666,0.5,0.0,0.8181818181818182,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,invalid_execution_exception,DoneSpec raises during evaluation or cannot be executed.
crm_workflow_047,crm_workflow,L2,spec_first,deepseek_v4_flash,0,1.0,0.18181818181818182,0.3076923076923077,0.25,0.0,0.5,0.0,0.8181818181818182,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,invalid_execution_exception,DoneSpec raises during evaluation or cannot be executed.
email_041,email,L2,spec_first,deepseek_v4_flash,0,1.0,0.18181818181818182,0.3076923076923077,0.0,0.6666666666666666,0.5,0.0,0.8181818181818182,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,invalid_execution_exception,DoneSpec raises during evaluation or cannot be executed.
calendar_026,calendar,L2,spec_first,deepseek_v4_pro,0,1.0,0.18181818181818182,0.3076923076923077,0.0,0.6666666666666666,0.5,0.0,0.8181818181818182,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,bad_spec_good_execution,invalid_execution_exception,DoneSpec raises during evaluation or cannot be executed.
file_doc_029,file_doc,L2,spec_first,deepseek_v4_pro,0,1.0,0.18181818181818182,0.3076923076923077,0.4444444444444445,0.0,0.0,0.0,0.8181818181818182,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,invalid_execution_exception,DoneSpec raises during evaluation or cannot be executed.
calendar_106,calendar,L4,spec_first,deepseek_v4_flash,0,1.0,0.21428571428571427,0.35294117647058826,0.3636363636363636,0.5,0.0,0.0,0.7857142857142857,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,invalid_execution_exception,DoneSpec raises during evaluation or cannot be executed.
calendar_119,calendar,L4,spec_first,deepseek_v4_flash,0,1.0,0.21428571428571427,0.35294117647058826,0.19999999999999998,0.5,0.5,0.0,0.7857142857142857,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,invalid_execution_exception,DoneSpec raises during evaluation or cannot be executed.
calendar_057,calendar,L3,direct,deepseek_v4_pro,0,1.0,0.23076923076923078,0.375,0.2222222222222222,0.5,0.5,0.0,0.7692307692307693,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,invalid_execution_exception,DoneSpec raises during evaluation or cannot be executed.
