model,agent,n,tool_plan_rate,task_success,own_spec_pass,mean_self_violation_rate,mean_tool_calls,mean_mutating_tool_calls,mean_missing_precondition_steps,mean_unknown_tool_steps,mean_permission_denied_steps,mean_side_effect_steps,mean_confirmation_steps,mean_spec_prompt_chars,mean_action_prompt_chars
deepseek_chat,direct,1500,1.0,0.0,0.0,1.0,3.42,0.7826666666666666,0.0,0.0,0.0,0.0,0.3546666666666667,1971.144,3143.1986666666667
deepseek_chat,plan_first,1500,1.0,0.0,0.0,1.0,1.6573333333333333,0.024,0.0,0.0,0.0,0.0,0.009333333333333334,1990.144,3412.294
deepseek_chat,spec_first,1500,1.0,0.0,0.0,0.9971904761904762,1.6653333333333333,0.04466666666666667,0.018,0.0,0.0,0.0,0.018666666666666668,1999.144,4801.1686666666665
deepseek_reasoner,direct,1500,1.0,0.0,0.0,0.999,1.922,0.688,0.0,0.0,0.0,0.0,0.3253333333333333,1898.1713333333332,3015.4126666666666
deepseek_reasoner,plan_first,1500,1.0,0.0,0.0,0.9996666666666667,1.4313333333333333,0.4246666666666667,0.0,0.0,0.0,0.0,0.20066666666666666,1990.144,3375.462666666667
deepseek_reasoner,spec_first,1500,1.0,0.052,0.094,0.8232764550264551,1.7226666666666666,0.526,0.0,0.0,0.0,0.0,0.24466666666666667,1999.144,4908.419333333333
deepseek_v4_flash,direct,1500,1.0,0.0,0.0,1.0,2.1173333333333333,0.762,0.0,0.0,0.0,0.0,0.3546666666666667,1971.144,3134.5106666666666
deepseek_v4_flash,plan_first,1500,1.0,0.0,0.0,1.0,1.4133333333333333,0.4266666666666667,0.0,0.0,0.0,0.0,0.19866666666666666,1990.144,3377.9073333333336
deepseek_v4_flash,spec_first,1500,1.0,0.06,0.10866666666666666,0.8084113756613756,1.776,0.5466666666666666,0.0,0.0,0.0,0.0,0.26,1999.144,4917.774666666666
deepseek_v4_pro,direct,1500,1.0,0.0,0.0,1.0,1.2173333333333334,0.426,0.0006666666666666666,0.0,0.0,0.0,0.20133333333333334,1971.144,3197.7206666666666
deepseek_v4_pro,plan_first,1500,1.0,0.0,0.0,0.9996666666666667,0.8586666666666667,0.25133333333333335,0.0,0.0,0.0,0.0,0.12,1990.144,3515.541333333333
deepseek_v4_pro,spec_first,1500,1.0,0.04466666666666667,0.086,0.8530158730158731,1.484,0.43466666666666665,0.0006666666666666666,0.0,0.0,0.0,0.20666666666666667,1999.144,4735.7
