model,agent,execution_mode,spec_parse_status,action_parse_status,n
deepseek_chat,direct,tool_plan_executor,parsed,parsed,1500
deepseek_chat,plan_first,tool_plan_executor,parsed,parsed,1500
deepseek_chat,spec_first,tool_plan_executor,parsed,parsed,1500
deepseek_reasoner,direct,tool_plan_executor,fallback,invalid_no_fallback,54
deepseek_reasoner,direct,tool_plan_executor,fallback,parsed,11
deepseek_reasoner,direct,tool_plan_executor,parsed,invalid_no_fallback,818
deepseek_reasoner,direct,tool_plan_executor,parsed,parsed,617
deepseek_reasoner,plan_first,tool_plan_executor,fallback,invalid_no_fallback,13
deepseek_reasoner,plan_first,tool_plan_executor,fallback,parsed,10
deepseek_reasoner,plan_first,tool_plan_executor,parsed,invalid_no_fallback,790
deepseek_reasoner,plan_first,tool_plan_executor,parsed,parsed,687
deepseek_reasoner,spec_first,tool_plan_executor,fallback,invalid_no_fallback,22
deepseek_reasoner,spec_first,tool_plan_executor,fallback,parsed,54
deepseek_reasoner,spec_first,tool_plan_executor,parsed,invalid_no_fallback,636
deepseek_reasoner,spec_first,tool_plan_executor,parsed,parsed,788
deepseek_v4_flash,direct,tool_plan_executor,fallback,invalid_no_fallback,12
deepseek_v4_flash,direct,tool_plan_executor,fallback,parsed,4
deepseek_v4_flash,direct,tool_plan_executor,parsed,invalid_no_fallback,809
deepseek_v4_flash,direct,tool_plan_executor,parsed,parsed,675
deepseek_v4_flash,plan_first,tool_plan_executor,fallback,invalid_no_fallback,17
deepseek_v4_flash,plan_first,tool_plan_executor,fallback,parsed,10
deepseek_v4_flash,plan_first,tool_plan_executor,parsed,invalid_no_fallback,799
deepseek_v4_flash,plan_first,tool_plan_executor,parsed,parsed,674
deepseek_v4_flash,spec_first,tool_plan_executor,fallback,invalid_no_fallback,19
deepseek_v4_flash,spec_first,tool_plan_executor,fallback,parsed,58
deepseek_v4_flash,spec_first,tool_plan_executor,parsed,invalid_no_fallback,632
deepseek_v4_flash,spec_first,tool_plan_executor,parsed,parsed,791
deepseek_v4_pro,direct,tool_plan_executor,fallback,invalid_no_fallback,85
deepseek_v4_pro,direct,tool_plan_executor,fallback,parsed,37
deepseek_v4_pro,direct,tool_plan_executor,parsed,invalid_no_fallback,1015
deepseek_v4_pro,direct,tool_plan_executor,parsed,parsed,363
deepseek_v4_pro,plan_first,tool_plan_executor,fallback,invalid_no_fallback,65
deepseek_v4_pro,plan_first,tool_plan_executor,fallback,parsed,28
deepseek_v4_pro,plan_first,tool_plan_executor,parsed,invalid_no_fallback,1051
deepseek_v4_pro,plan_first,tool_plan_executor,parsed,parsed,356
deepseek_v4_pro,spec_first,tool_plan_executor,fallback,invalid_no_fallback,128
deepseek_v4_pro,spec_first,tool_plan_executor,fallback,parsed,293
deepseek_v4_pro,spec_first,tool_plan_executor,parsed,invalid_no_fallback,694
deepseek_v4_pro,spec_first,tool_plan_executor,parsed,parsed,385
