task_id,domain,difficulty,model,agent,trial,execution_mode,spec_parse_status,action_parse_status,task_success,own_spec_pass,self_violation_rate,num_tool_calls,num_mutating_tool_calls,spec_prompt_chars,action_prompt_chars,spec_latency_s,action_latency_s,missing_precondition_steps,unknown_tool_steps,permission_denied_steps,side_effect_steps,confirmation_steps,unique_actions,action_sequence
calendar_026,calendar,L2,deepseek_v4_flash,direct,0,tool_plan_executor,parsed,parsed,0.0,0.0,1.0,5,2,2016,2978,12.884231500000169,32.943807699997706,0,0,0,0,1,5,calendar.inspect_state calendar.check_constraints confirm calendar.apply_update send_invites
calendar_048,calendar,L2,deepseek_v4_flash,direct,0,tool_plan_executor,parsed,parsed,0.0,0.0,1.0,5,2,2006,2936,11.466265600000042,34.72459389999858,0,0,0,0,1,5,calendar.inspect_state calendar.check_constraints confirm calendar.apply_update send_invites
calendar_056,calendar,L3,deepseek_v4_flash,direct,0,tool_plan_executor,parsed,parsed,0.0,0.0,1.0,1,0,2033,3261,22.502798199999233,24.05613749999975,0,0,0,0,0,1,calendar.inspect_state
calendar_065,calendar,L3,deepseek_v4_flash,direct,0,tool_plan_executor,parsed,parsed,0.0,0.0,1.0,5,2,2050,3290,10.85640820000117,35.91748359999838,0,0,0,0,1,5,calendar.inspect_state calendar.check_constraints confirm calendar.apply_update send_invites
calendar_044,calendar,L2,deepseek_v4_flash,direct,0,tool_plan_executor,parsed,parsed,0.0,0.0,1.0,5,2,1988,3045,17.58080770000015,29.84799159999966,0,0,0,0,1,5,calendar.inspect_state calendar.check_constraints confirm calendar.apply_update send_invites
calendar_045,calendar,L2,deepseek_v4_flash,direct,0,tool_plan_executor,parsed,parsed,0.0,0.0,1.0,5,2,1993,3054,16.393099099997926,32.01417919999949,0,0,0,0,1,5,calendar.inspect_state calendar.check_constraints confirm calendar.apply_update send_invites
calendar_050,calendar,L2,deepseek_v4_flash,direct,0,tool_plan_executor,parsed,invalid_no_fallback,0.0,0.0,1.0,0,0,2029,3001,11.176922200000263,39.242978300000686,0,0,0,0,0,0,
calendar_084,calendar,L3,deepseek_v4_flash,direct,0,tool_plan_executor,parsed,invalid_no_fallback,0.0,0.0,1.0,0,0,1980,3152,12.102744599997095,39.71257879999757,0,0,0,0,0,0,
calendar_078,calendar,L3,deepseek_v4_flash,direct,0,tool_plan_executor,parsed,invalid_no_fallback,0.0,0.0,1.0,0,0,2033,3235,12.494352400000935,39.34188030000223,0,0,0,0,0,0,
calendar_054,calendar,L2,deepseek_v4_flash,direct,0,tool_plan_executor,parsed,invalid_no_fallback,0.0,0.0,1.0,0,0,1981,3011,10.56233290000091,41.82868640000015,0,0,0,0,0,0,
calendar_041,calendar,L2,deepseek_v4_flash,direct,0,tool_plan_executor,parsed,invalid_no_fallback,0.0,0.0,1.0,0,0,2014,3051,13.9948973999999,39.40301219999674,0,0,0,0,0,0,
calendar_031,calendar,L2,deepseek_v4_flash,direct,0,tool_plan_executor,parsed,invalid_no_fallback,0.0,0.0,1.0,0,0,1983,2934,14.433764199999132,39.304319200000464,0,0,0,0,0,0,
calendar_069,calendar,L3,deepseek_v4_flash,direct,0,tool_plan_executor,parsed,invalid_no_fallback,0.0,0.0,1.0,0,0,2080,3293,14.494186300002184,39.314178399999946,0,0,0,0,0,0,
calendar_081,calendar,L3,deepseek_v4_flash,direct,0,tool_plan_executor,parsed,parsed,0.0,0.0,1.0,6,2,2000,3163,13.739293099999486,40.08221250000133,0,0,0,0,1,6,calendar.inspect_state calendar.check_constraints calendar.verify_artifact confirm calendar.apply_update send_invites
calendar_080,calendar,L3,deepseek_v4_flash,direct,0,tool_plan_executor,parsed,invalid_no_fallback,0.0,0.0,1.0,0,0,2001,3275,14.451677799999743,39.75908290000007,0,0,0,0,0,0,
calendar_028,calendar,L2,deepseek_v4_flash,direct,0,tool_plan_executor,parsed,invalid_no_fallback,0.0,0.0,1.0,0,0,1994,3009,15.416861899997457,39.38170159999936,0,0,0,0,0,0,
calendar_058,calendar,L3,deepseek_v4_flash,direct,0,tool_plan_executor,parsed,invalid_no_fallback,0.0,0.0,1.0,0,0,2043,3273,15.174864499997057,39.8593022999994,0,0,0,0,0,0,
calendar_024,calendar,L2,deepseek_v4_flash,direct,0,tool_plan_executor,parsed,invalid_no_fallback,0.0,0.0,1.0,0,0,1988,3038,15.348862699996971,39.846575999999914,0,0,0,0,0,0,
calendar_046,calendar,L2,deepseek_v4_flash,direct,0,tool_plan_executor,parsed,parsed,0.0,0.0,1.0,5,2,2008,2999,16.67353860000003,39.07820610000272,0,0,0,0,1,5,calendar.inspect_state calendar.check_constraints confirm calendar.apply_update send_invites
calendar_060,calendar,L3,deepseek_v4_flash,direct,0,tool_plan_executor,parsed,parsed,0.0,0.0,1.0,6,2,2020,3244,18.765703199998825,37.17430329999843,0,0,0,0,1,6,calendar.inspect_state calendar.check_constraints calendar.verify_artifact confirm calendar.apply_update send_invites
calendar_022,calendar,L2,deepseek_v4_flash,direct,0,tool_plan_executor,parsed,invalid_no_fallback,0.0,0.0,1.0,0,0,2002,2950,14.050991000000067,42.67964580000262,0,0,0,0,0,0,
calendar_038,calendar,L2,deepseek_v4_flash,direct,0,tool_plan_executor,parsed,invalid_no_fallback,0.0,0.0,1.0,0,0,2040,3022,17.14797879999969,39.62343949999922,0,0,0,0,0,0,
calendar_057,calendar,L3,deepseek_v4_flash,direct,0,tool_plan_executor,parsed,invalid_no_fallback,0.0,0.0,1.0,0,0,2038,3367,17.186652199998207,39.85418750000099,0,0,0,0,0,0,
calendar_070,calendar,L3,deepseek_v4_flash,direct,0,tool_plan_executor,parsed,invalid_no_fallback,0.0,0.0,1.0,0,0,2067,3245,17.743942700002663,39.66461629999685,0,0,0,0,0,0,
calendar_039,calendar,L2,deepseek_v4_flash,direct,0,tool_plan_executor,parsed,invalid_no_fallback,0.0,0.0,1.0,0,0,2013,2968,17.572894600001746,40.42122939999899,0,0,0,0,0,0,
calendar_068,calendar,L3,deepseek_v4_flash,direct,0,tool_plan_executor,parsed,invalid_no_fallback,0.0,0.0,1.0,0,0,2049,3253,19.042454700000235,39.69495960000131,0,0,0,0,0,0,
calendar_049,calendar,L2,deepseek_v4_flash,direct,0,tool_plan_executor,parsed,parsed,0.0,0.0,1.0,5,2,2020,2990,18.526678500002163,40.26037290000022,0,0,0,0,1,5,calendar.inspect_state calendar.check_constraints confirm calendar.apply_update send_invites
calendar_066,calendar,L3,deepseek_v4_flash,direct,0,tool_plan_executor,parsed,invalid_no_fallback,0.0,0.0,1.0,0,0,2063,3266,17.63651740000205,41.432204400000046,0,0,0,0,0,0,
calendar_027,calendar,L2,deepseek_v4_flash,direct,0,tool_plan_executor,parsed,parsed,0.0,0.0,1.0,5,2,1987,2965,24.703461499997502,34.8591794999993,0,0,0,0,1,5,calendar.inspect_state calendar.check_constraints confirm calendar.apply_update send_invites
calendar_047,calendar,L2,deepseek_v4_flash,direct,0,tool_plan_executor,parsed,invalid_no_fallback,0.0,0.0,1.0,0,0,1999,3007,17.218650500002695,42.60038639999766,0,0,0,0,0,0,
calendar_076,calendar,L3,deepseek_v4_flash,direct,0,tool_plan_executor,parsed,invalid_no_fallback,0.0,0.0,1.0,0,0,2009,3171,17.99331220000022,42.0860199000017,0,0,0,0,0,0,
calendar_051,calendar,L2,deepseek_v4_flash,direct,0,tool_plan_executor,parsed,invalid_no_fallback,0.0,0.0,1.0,0,0,1967,2917,18.17134839999926,41.95684450000044,0,0,0,0,0,0,
calendar_030,calendar,L2,deepseek_v4_flash,direct,0,tool_plan_executor,parsed,invalid_no_fallback,0.0,0.0,1.0,0,0,2009,2928,17.07410610000079,43.222147500000574,0,0,0,0,0,0,
calendar_033,calendar,L2,deepseek_v4_flash,direct,0,tool_plan_executor,parsed,invalid_no_fallback,0.0,0.0,1.0,0,0,2019,3094,21.456033400001616,39.95508079999854,0,0,0,0,0,0,
calendar_075,calendar,L3,deepseek_v4_flash,direct,0,tool_plan_executor,parsed,invalid_no_fallback,0.0,0.0,1.0,0,0,2024,3255,22.75744289999784,39.02006790000087,0,0,0,0,0,0,
calendar_064,calendar,L3,deepseek_v4_flash,direct,0,tool_plan_executor,parsed,parsed,0.0,0.0,1.0,2,0,2013,3187,26.074862600002234,35.738996200001566,0,0,0,0,0,2,calendar.inspect_state calendar.check_constraints
calendar_061,calendar,L3,deepseek_v4_flash,direct,0,tool_plan_executor,parsed,invalid_no_fallback,0.0,0.0,1.0,0,0,2023,3244,19.455709699999716,42.471984100000554,0,0,0,0,0,0,
calendar_036,calendar,L2,deepseek_v4_flash,direct,0,tool_plan_executor,parsed,invalid_no_fallback,0.0,0.0,1.0,0,0,1992,2959,20.966512599999987,41.10332670000207,0,0,0,0,0,0,
calendar_083,calendar,L3,deepseek_v4_flash,direct,0,tool_plan_executor,parsed,parsed,0.0,0.0,1.0,6,2,1987,3278,29.549606500000664,32.59152509999694,0,0,0,0,1,6,calendar.inspect_state calendar.check_constraints calendar.verify_artifact confirm calendar.apply_update send_invites
calendar_042,calendar,L2,deepseek_v4_flash,direct,0,tool_plan_executor,parsed,invalid_no_fallback,0.0,0.0,1.0,0,0,2011,2980,21.21757030000299,40.97719309999957,0,0,0,0,0,0,
calendar_055,calendar,L3,deepseek_v4_flash,direct,0,tool_plan_executor,parsed,invalid_no_fallback,0.0,0.0,1.0,0,0,1995,3192,20.987751600001502,41.630728400003136,0,0,0,0,0,0,
calendar_029,calendar,L2,deepseek_v4_flash,direct,0,tool_plan_executor,parsed,invalid_no_fallback,0.0,0.0,1.0,0,0,2014,3068,20.897672600000078,41.768812599999364,0,0,0,0,0,0,
calendar_032,calendar,L2,deepseek_v4_flash,direct,0,tool_plan_executor,parsed,invalid_no_fallback,0.0,0.0,1.0,0,0,1997,2935,23.7538687999986,39.62651860000187,0,0,0,0,0,0,
calendar_077,calendar,L3,deepseek_v4_flash,direct,0,tool_plan_executor,parsed,invalid_no_fallback,0.0,0.0,1.0,0,0,2031,3252,20.742916300001525,42.84616439999809,0,0,0,0,0,0,
calendar_043,calendar,L2,deepseek_v4_flash,direct,0,tool_plan_executor,parsed,parsed,0.0,0.0,1.0,5,2,1977,2981,29.687418200002867,33.97093980000136,0,0,0,0,1,5,calendar.inspect_state calendar.check_constraints confirm calendar.apply_update send_invites
calendar_059,calendar,L3,deepseek_v4_flash,direct,0,tool_plan_executor,parsed,parsed,0.0,0.0,1.0,6,2,2026,3271,40.78048779999881,23.440056499999628,0,0,0,0,1,6,calendar.inspect_state calendar.check_constraints calendar.verify_artifact confirm calendar.apply_update send_invites
