model,agent,domain,n,mean_cc_f1,mean_task_success,mean_near_miss_detection_rate,mean_self_violation_rate,bad_spec_bad_execution_count,good_spec_bad_execution_count,bad_spec_good_execution_count,good_spec_good_execution_count,bad_spec_bad_execution_rate,good_spec_bad_execution_rate,bad_spec_good_execution_rate,good_spec_good_execution_rate,good_spec_rate,good_execution_rate,spec_exec_gap,dominant_quadrant
deepseek_chat,direct,calendar,300,0.32286505542387894,0.0,0.6,1.0,300,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,bad_spec_bad_execution
deepseek_chat,direct,crm_workflow,300,0.39255245989533916,0.0,0.6,1.0,299,1,0,0,0.9966666666666667,0.0033333333333333335,0.0,0.0,0.0033333333333333335,0.0,0.0033333333333333335,bad_spec_bad_execution
deepseek_chat,direct,email,300,0.4321229185331352,0.0,0.6,1.0,298,2,0,0,0.9933333333333333,0.006666666666666667,0.0,0.0,0.006666666666666667,0.0,0.006666666666666667,bad_spec_bad_execution
deepseek_chat,direct,file_doc,300,0.3575175504177052,0.0,0.6,1.0,299,1,0,0,0.9966666666666667,0.0033333333333333335,0.0,0.0,0.0033333333333333335,0.0,0.0033333333333333335,bad_spec_bad_execution
deepseek_chat,direct,sheet_db,300,0.34762972192925756,0.0,0.6,1.0,300,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,bad_spec_bad_execution
deepseek_chat,plan_first,calendar,300,0.3826729033493739,0.0,0.596,1.0,300,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,bad_spec_bad_execution
deepseek_chat,plan_first,crm_workflow,300,0.46477817360197227,0.0,0.6,1.0,298,2,0,0,0.9933333333333333,0.006666666666666667,0.0,0.0,0.006666666666666667,0.0,0.006666666666666667,bad_spec_bad_execution
deepseek_chat,plan_first,email,300,0.4834952830966763,0.0,0.6,1.0,297,3,0,0,0.99,0.01,0.0,0.0,0.01,0.0,0.01,bad_spec_bad_execution
deepseek_chat,plan_first,file_doc,300,0.4438436858405899,0.0,0.6,1.0,297,3,0,0,0.99,0.01,0.0,0.0,0.01,0.0,0.01,bad_spec_bad_execution
deepseek_chat,plan_first,sheet_db,300,0.41818840201193147,0.0,0.6,1.0,300,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,bad_spec_bad_execution
deepseek_chat,spec_first,calendar,300,0.45088758102922194,0.0,0.076,1.0,299,1,0,0,0.9966666666666667,0.0033333333333333335,0.0,0.0,0.0033333333333333335,0.0,0.0033333333333333335,bad_spec_bad_execution
deepseek_chat,spec_first,crm_workflow,300,0.5447871610063358,0.0,0.146,1.0,297,3,0,0,0.99,0.01,0.0,0.0,0.01,0.0,0.01,bad_spec_bad_execution
deepseek_chat,spec_first,email,300,0.554192773463705,0.0,0.146,0.9859523809523809,267,33,0,0,0.89,0.11,0.0,0.0,0.11,0.0,0.11,bad_spec_bad_execution
deepseek_chat,spec_first,file_doc,300,0.5402813414122608,0.0,0.094,1.0,275,25,0,0,0.9166666666666666,0.08333333333333333,0.0,0.0,0.08333333333333333,0.0,0.08333333333333333,bad_spec_bad_execution
deepseek_chat,spec_first,sheet_db,300,0.5381520631930848,0.0,0.13599999999999998,1.0,299,1,0,0,0.9966666666666667,0.0033333333333333335,0.0,0.0,0.0033333333333333335,0.0,0.0033333333333333335,bad_spec_bad_execution
deepseek_reasoner,direct,calendar,300,0.3590032812045196,0.0,0.6,1.0,297,3,0,0,0.99,0.01,0.0,0.0,0.01,0.0,0.01,bad_spec_bad_execution
deepseek_reasoner,direct,crm_workflow,300,0.4788053737266956,0.0,0.6,0.995,296,4,0,0,0.9866666666666667,0.013333333333333334,0.0,0.0,0.013333333333333334,0.0,0.013333333333333334,bad_spec_bad_execution
deepseek_reasoner,direct,email,300,0.5275468563943796,0.0,0.6,1.0,257,43,0,0,0.8566666666666667,0.14333333333333334,0.0,0.0,0.14333333333333334,0.0,0.14333333333333334,bad_spec_bad_execution
deepseek_reasoner,direct,file_doc,300,0.4621623501944878,0.0,0.6,1.0,271,29,0,0,0.9033333333333333,0.09666666666666666,0.0,0.0,0.09666666666666666,0.0,0.09666666666666666,bad_spec_bad_execution
deepseek_reasoner,direct,sheet_db,300,0.4582877788705962,0.0,0.6,1.0,297,3,0,0,0.99,0.01,0.0,0.0,0.01,0.0,0.01,bad_spec_bad_execution
deepseek_reasoner,plan_first,calendar,300,0.3930856958945194,0.0,0.594,1.0,296,4,0,0,0.9866666666666667,0.013333333333333334,0.0,0.0,0.013333333333333334,0.0,0.013333333333333334,bad_spec_bad_execution
deepseek_reasoner,plan_first,crm_workflow,300,0.5294409423777441,0.0,0.592,0.9983333333333333,286,14,0,0,0.9533333333333334,0.04666666666666667,0.0,0.0,0.04666666666666667,0.0,0.04666666666666667,bad_spec_bad_execution
deepseek_reasoner,plan_first,email,300,0.481216439555718,0.0,0.6,1.0,291,9,0,0,0.97,0.03,0.0,0.0,0.03,0.0,0.03,bad_spec_bad_execution
deepseek_reasoner,plan_first,file_doc,300,0.4851149258415714,0.0,0.596,1.0,280,20,0,0,0.9333333333333333,0.06666666666666667,0.0,0.0,0.06666666666666667,0.0,0.06666666666666667,bad_spec_bad_execution
deepseek_reasoner,plan_first,sheet_db,300,0.474842999761091,0.0,0.596,1.0,292,8,0,0,0.9733333333333334,0.02666666666666667,0.0,0.0,0.02666666666666667,0.0,0.02666666666666667,bad_spec_bad_execution
deepseek_reasoner,spec_first,calendar,300,0.49601483111918565,0.013333333333333334,0.508,0.9527579365079365,263,33,3,1,0.8766666666666667,0.11,0.01,0.0033333333333333335,0.11333333333333333,0.013333333333333334,0.09999999999999999,bad_spec_bad_execution
