model,agent,fine_failure_family,n_trials,n_tasks,mean_near_miss_detection_rate,mean_false_accept_rate,mean_donespec_valid,mean_task_success,mean_cc_f1,alignment_gap
deepseek_chat,direct,artifact_content,1200,400,0.6,0.4,1.0,0.0,0.3824556626938593,-0.6
deepseek_chat,direct,conflict,1500,500,0.6,0.4,1.0,0.0,0.3705375412398632,-0.6
deepseek_chat,direct,other,1500,500,0.6,0.4,1.0,0.0,0.3705375412398632,-0.6
deepseek_chat,direct,policy_confirmation,1500,500,0.6,0.4,1.0,0.0,0.3705375412398632,-0.6
deepseek_chat,direct,recipient_permission,600,200,0.6,0.4,1.0,0.0,0.3948202344754202,-0.6
deepseek_chat,direct,side_effect,1500,500,0.6,0.4,1.0,0.0,0.3705375412398632,-0.6
deepseek_chat,direct,state_integrity,300,100,0.6,0.4,1.0,0.0,0.3476297219292575,-0.6
deepseek_chat,direct,temporal,600,100,0.6,0.4,1.0,0.0,0.3228650554238789,-0.6
deepseek_chat,direct,terminal_state,1500,500,0.6,0.4,1.0,0.0,0.3705375412398632,-0.6
deepseek_chat,direct,workflow_ownership,300,100,0.6,0.4,1.0,0.0,0.3925524598953391,-0.6
deepseek_chat,plan_first,artifact_content,1200,400,0.6,0.4,1.0,0.0,0.4525763861377925,-0.6
deepseek_chat,plan_first,conflict,1500,500,0.5992,0.4008,0.9986666666666668,0.0,0.4385956895801087,-0.5992
deepseek_chat,plan_first,other,1500,500,0.5992,0.4008,0.9986666666666668,0.0,0.4385956895801087,-0.5992
deepseek_chat,plan_first,policy_confirmation,1500,500,0.5992,0.4008,0.9986666666666668,0.0,0.4385956895801087,-0.5992
deepseek_chat,plan_first,recipient_permission,600,200,0.6,0.4,1.0,0.0,0.4636694844686331,-0.6
deepseek_chat,plan_first,side_effect,1500,500,0.5992,0.4008,0.9986666666666668,0.0,0.4385956895801087,-0.5992
deepseek_chat,plan_first,state_integrity,300,100,0.6,0.4,1.0,0.0,0.4181884020119314,-0.6
deepseek_chat,plan_first,temporal,600,100,0.596,0.404,0.9933333333333332,0.0,0.3826729033493739,-0.596
deepseek_chat,plan_first,terminal_state,1500,500,0.5992,0.4008,0.9986666666666668,0.0,0.4385956895801087,-0.5992
deepseek_chat,plan_first,workflow_ownership,300,100,0.6,0.4,1.0,0.0,0.4647781736019722,-0.6
deepseek_chat,spec_first,artifact_content,1200,400,0.1305,0.8695,0.2175,0.0,0.5443533347688466,-0.1305
deepseek_chat,spec_first,conflict,1500,500,0.1196,0.8804,0.1993333333333333,0.0,0.5256601840209216,-0.1196
deepseek_chat,spec_first,other,1500,500,0.1196,0.8804,0.1993333333333333,0.0,0.5256601840209216,-0.1196
deepseek_chat,spec_first,policy_confirmation,1500,500,0.1196,0.8804,0.1993333333333333,0.0,0.5256601840209216,-0.1196
deepseek_chat,spec_first,recipient_permission,600,200,0.12,0.88,0.2,0.0,0.5472370574379828,-0.12
deepseek_chat,spec_first,side_effect,1500,500,0.1196,0.8804,0.1993333333333333,0.0,0.5256601840209216,-0.1196
deepseek_chat,spec_first,state_integrity,300,100,0.1359999999999999,0.864,0.2266666666666666,0.0,0.5381520631930848,-0.1359999999999999
deepseek_chat,spec_first,temporal,600,100,0.076,0.924,0.1266666666666666,0.0,0.4508875810292219,-0.076
deepseek_chat,spec_first,terminal_state,1500,500,0.1196,0.8804,0.1993333333333333,0.0,0.5256601840209216,-0.1196
deepseek_chat,spec_first,workflow_ownership,300,100,0.146,0.854,0.2433333333333333,0.0,0.5447871610063358,-0.146
deepseek_reasoner,direct,artifact_content,1200,400,0.6,0.4,1.0,0.0,0.4817005897965398,-0.6
deepseek_reasoner,direct,conflict,1500,500,0.6,0.4,1.0,0.0,0.4571611280781358,-0.6
deepseek_reasoner,direct,other,1500,500,0.6,0.4,1.0,0.0,0.4571611280781358,-0.6
deepseek_reasoner,direct,policy_confirmation,1500,500,0.6,0.4,1.0,0.0,0.4571611280781358,-0.6
deepseek_reasoner,direct,recipient_permission,600,200,0.6,0.4,1.0,0.0,0.4948546032944336,-0.6
deepseek_reasoner,direct,side_effect,1500,500,0.6,0.4,1.0,0.0,0.4571611280781358,-0.6
deepseek_reasoner,direct,state_integrity,300,100,0.6,0.4,1.0,0.0,0.4582877788705962,-0.6
deepseek_reasoner,direct,temporal,600,100,0.6,0.4,1.0,0.0,0.3590032812045196,-0.6
deepseek_reasoner,direct,terminal_state,1500,500,0.6,0.4,1.0,0.0,0.4571611280781358,-0.6
deepseek_reasoner,direct,workflow_ownership,300,100,0.6,0.4,1.0,0.0,0.4788053737266956,-0.6
deepseek_reasoner,plan_first,artifact_content,1200,400,0.596,0.404,0.9933333333333332,0.0,0.4926538268840311,-0.596
deepseek_reasoner,plan_first,conflict,1500,500,0.5956,0.4044,0.9926666666666668,0.0,0.4727402006861288,-0.5956
deepseek_reasoner,plan_first,other,1500,500,0.5956,0.4044,0.9926666666666668,0.0,0.4727402006861288,-0.5956
deepseek_reasoner,plan_first,policy_confirmation,1500,500,0.5956,0.4044,0.9926666666666668,0.0,0.4727402006861288,-0.5956
deepseek_reasoner,plan_first,recipient_permission,600,200,0.598,0.402,0.9966666666666668,0.0,0.4831656826986447,-0.598
deepseek_reasoner,plan_first,side_effect,1500,500,0.5956,0.4044,0.9926666666666668,0.0,0.4727402006861288,-0.5956
deepseek_reasoner,plan_first,state_integrity,300,100,0.596,0.404,0.9933333333333332,0.0,0.474842999761091,-0.596
deepseek_reasoner,plan_first,temporal,600,100,0.594,0.406,0.99,0.0,0.3930856958945194,-0.594
deepseek_reasoner,plan_first,terminal_state,1500,500,0.5956,0.4044,0.9926666666666668,0.0,0.4727402006861288,-0.5956
deepseek_reasoner,plan_first,workflow_ownership,300,100,0.592,0.408,0.9866666666666668,0.0,0.5294409423777441,-0.592
deepseek_reasoner,spec_first,artifact_content,1200,400,0.4945,0.5055000000000001,0.8241666666666667,0.0616666666666666,0.5814776715294249,-0.4328333333333334
deepseek_reasoner,spec_first,conflict,1500,500,0.4972,0.5028,0.8286666666666667,0.052,0.5643851034473769,-0.4452
deepseek_reasoner,spec_first,other,1500,500,0.4972,0.5028,0.8286666666666667,0.052,0.5643851034473769,-0.4452
deepseek_reasoner,spec_first,policy_confirmation,1500,500,0.4972,0.5028,0.8286666666666667,0.052,0.5643851034473769,-0.4452
deepseek_reasoner,spec_first,recipient_permission,600,200,0.492,0.508,0.82,0.0566666666666666,0.5686473753669642,-0.4353333333333334
deepseek_reasoner,spec_first,side_effect,1500,500,0.4972,0.5028,0.8286666666666667,0.052,0.5643851034473769,-0.4452
deepseek_reasoner,spec_first,state_integrity,300,100,0.5159999999999999,0.484,0.86,0.0,0.59032068423891,-0.5159999999999999
deepseek_reasoner,spec_first,temporal,600,100,0.508,0.492,0.8466666666666667,0.0133333333333333,0.4960148311191856,-0.4946666666666667
deepseek_reasoner,spec_first,terminal_state,1500,500,0.4972,0.5028,0.8286666666666667,0.052,0.5643851034473769,-0.4452
