task_id,domain,difficulty,agent,model,trial,cc_precision,cc_recall,cc_f1,success_f1,failure_f1,required_observation_recall,overconstraint_rate,underspecification_rate,donespec_valid,near_miss_detection_rate,near_miss_false_accept_rate,valid_accept_rate,verifier_robustness_balanced_accuracy,task_success,own_spec_pass,spec_action_consistency,self_violation_rate,quadrant
calendar_048,calendar,L2,spec_first,deepseek_v4_flash,0,1.0,0.18181818181818182,0.3076923076923077,0.0,0.6666666666666666,0.5,0.0,0.8181818181818182,1.0,0.6,0.4,1.0,0.8,1.0,1.0,1.0,0.0,bad_spec_good_execution
calendar_047,calendar,L2,spec_first,deepseek_v4_flash,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6,0.4,1.0,0.8,1.0,1.0,1.0,0.0,bad_spec_good_execution
crm_workflow_027,crm_workflow,L2,spec_first,deepseek_v4_flash,0,1.0,0.36363636363636365,0.5333333333333333,0.4444444444444445,0.6666666666666666,0.5,0.0,0.6363636363636364,1.0,0.6,0.4,1.0,0.8,1.0,1.0,1.0,0.0,bad_spec_good_execution
crm_workflow_035,crm_workflow,L2,spec_first,deepseek_v4_flash,0,1.0,0.45454545454545453,0.625,0.6,0.6666666666666666,0.5,0.0,0.5454545454545454,1.0,0.6,0.4,1.0,0.8,1.0,1.0,1.0,0.0,bad_spec_good_execution
crm_workflow_052,crm_workflow,L2,spec_first,deepseek_v4_flash,0,1.0,0.45454545454545453,0.625,0.4444444444444445,0.6666666666666666,1.0,0.0,0.5454545454545454,1.0,0.6,0.4,1.0,0.8,1.0,1.0,1.0,0.0,bad_spec_good_execution
crm_workflow_066,crm_workflow,L3,spec_first,deepseek_v4_flash,0,1.0,0.46153846153846156,0.631578947368421,0.6666666666666666,0.5,0.5,0.0,0.5384615384615384,1.0,0.6,0.4,1.0,0.8,1.0,1.0,1.0,0.0,bad_spec_good_execution
crm_workflow_084,crm_workflow,L3,spec_first,deepseek_v4_flash,0,1.0,0.46153846153846156,0.631578947368421,0.5454545454545454,0.5,1.0,0.0,0.5384615384615384,1.0,0.6,0.4,1.0,0.8,1.0,1.0,1.0,0.0,bad_spec_good_execution
crm_workflow_072,crm_workflow,L3,spec_first,deepseek_v4_flash,0,1.0,0.15384615384615385,0.2666666666666667,0.0,0.5,0.5,0.0,0.8461538461538461,1.0,0.6,0.4,1.0,0.8,1.0,1.0,1.0,0.0,bad_spec_good_execution
crm_workflow_096,crm_workflow,L3,spec_first,deepseek_v4_flash,0,1.0,0.23076923076923078,0.375,0.2222222222222222,0.0,1.0,0.0,0.7692307692307693,1.0,0.6,0.4,1.0,0.8,1.0,1.0,1.0,0.0,bad_spec_good_execution
crm_workflow_082,crm_workflow,L3,spec_first,deepseek_v4_flash,0,1.0,0.38461538461538464,0.5555555555555556,0.5454545454545454,0.5,0.5,0.0,0.6153846153846154,1.0,0.6,0.4,1.0,0.8,1.0,1.0,1.0,0.0,bad_spec_good_execution
crm_workflow_095,crm_workflow,L3,spec_first,deepseek_v4_flash,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6,0.4,1.0,0.8,1.0,1.0,1.0,0.0,bad_spec_good_execution
email_024,email,L2,spec_first,deepseek_v4_flash,0,1.0,0.45454545454545453,0.625,0.4444444444444445,0.6666666666666666,1.0,0.0,0.5454545454545454,1.0,0.6,0.4,1.0,0.8,1.0,1.0,1.0,0.0,bad_spec_good_execution
email_029,email,L2,spec_first,deepseek_v4_flash,0,1.0,0.18181818181818182,0.3076923076923077,0.25,0.6666666666666666,0.0,0.0,0.8181818181818182,1.0,0.6,0.4,1.0,0.8,1.0,1.0,1.0,0.0,bad_spec_good_execution
email_039,email,L2,spec_first,deepseek_v4_flash,0,1.0,0.45454545454545453,0.625,0.4444444444444445,0.6666666666666666,1.0,0.0,0.5454545454545454,1.0,0.6,0.4,1.0,0.8,1.0,1.0,1.0,0.0,bad_spec_good_execution
email_028,email,L2,spec_first,deepseek_v4_flash,0,1.0,0.45454545454545453,0.625,0.6,0.6666666666666666,0.5,0.0,0.5454545454545454,1.0,0.6,0.4,1.0,0.8,1.0,1.0,1.0,0.0,bad_spec_good_execution
email_038,email,L2,spec_first,deepseek_v4_flash,0,1.0,0.2727272727272727,0.42857142857142855,0.0,0.6666666666666666,1.0,0.0,0.7272727272727273,1.0,0.6,0.4,1.0,0.8,1.0,1.0,1.0,0.0,bad_spec_good_execution
email_053,email,L2,spec_first,deepseek_v4_flash,0,1.0,0.45454545454545453,0.625,0.4444444444444445,0.6666666666666666,1.0,0.0,0.5454545454545454,1.0,0.6,0.4,1.0,0.8,1.0,1.0,1.0,0.0,bad_spec_good_execution
email_048,email,L2,spec_first,deepseek_v4_flash,0,1.0,0.36363636363636365,0.5333333333333333,0.4444444444444445,0.6666666666666666,0.5,0.0,0.6363636363636364,1.0,0.6,0.4,1.0,0.8,1.0,1.0,1.0,0.0,bad_spec_good_execution
email_042,email,L2,spec_first,deepseek_v4_flash,0,1.0,0.5454545454545454,0.7058823529411764,0.6,0.6666666666666666,1.0,0.0,0.45454545454545453,1.0,0.6,0.4,1.0,0.8,1.0,1.0,1.0,0.0,bad_spec_good_execution
email_050,email,L2,spec_first,deepseek_v4_flash,0,1.0,0.2727272727272727,0.42857142857142855,0.0,0.6666666666666666,1.0,0.0,0.7272727272727273,1.0,0.6,0.4,1.0,0.8,1.0,1.0,1.0,0.0,bad_spec_good_execution
