task_id,domain,difficulty,agent,model,trial,cc_precision,cc_recall,cc_f1,success_f1,failure_f1,required_observation_recall,overconstraint_rate,underspecification_rate,donespec_valid,near_miss_detection_rate,near_miss_false_accept_rate,valid_accept_rate,verifier_robustness_balanced_accuracy,task_success,own_spec_pass,spec_action_consistency,self_violation_rate,quadrant
calendar_067,calendar,L3,direct,deepseek_v4_flash,0,1.0,0.8461538461538461,0.9166666666666666,1.0,0.5,1.0,0.0,0.15384615384615385,1.0,0.6,0.4,1.0,0.8,0.0,0.0,0.0,1.0,good_spec_bad_execution
calendar_021,calendar,L2,direct,deepseek_v4_flash,0,1.0,0.9090909090909091,0.9523809523809523,1.0,0.6666666666666666,1.0,0.0,0.09090909090909091,1.0,0.6,0.4,1.0,0.8,0.0,0.0,0.0,1.0,good_spec_bad_execution
crm_workflow_064,crm_workflow,L3,direct,deepseek_v4_flash,0,1.0,0.8461538461538461,0.9166666666666666,1.0,0.5,1.0,0.0,0.15384615384615385,1.0,0.6,0.4,1.0,0.8,0.0,0.0,0.0,1.0,good_spec_bad_execution
crm_workflow_110,crm_workflow,L4,direct,deepseek_v4_flash,0,1.0,0.6428571428571429,0.782608695652174,0.8,0.5,1.0,0.0,0.35714285714285715,1.0,0.6,0.4,1.0,0.8,0.0,0.0,0.0,1.0,good_spec_bad_execution
crm_workflow_101,crm_workflow,L4,direct,deepseek_v4_flash,0,1.0,0.8571428571428571,0.923076923076923,1.0,0.5,1.0,0.0,0.14285714285714285,1.0,0.6,0.4,1.0,0.8,0.0,0.0,0.0,1.0,good_spec_bad_execution
crm_workflow_102,crm_workflow,L4,direct,deepseek_v4_flash,0,1.0,0.8571428571428571,0.923076923076923,1.0,0.5,1.0,0.0,0.14285714285714285,1.0,0.6,0.4,1.0,0.8,0.0,0.0,0.0,1.0,good_spec_bad_execution
crm_workflow_105,crm_workflow,L4,direct,deepseek_v4_flash,0,1.0,0.8571428571428571,0.923076923076923,1.0,0.5,1.0,0.0,0.14285714285714285,1.0,0.6,0.4,1.0,0.8,0.0,0.0,0.0,1.0,good_spec_bad_execution
email_083,email,L3,direct,deepseek_v4_flash,0,1.0,0.6153846153846154,0.761904761904762,0.7692307692307693,0.5,1.0,0.0,0.38461538461538464,1.0,0.6,0.4,1.0,0.8,0.0,0.0,0.0,1.0,good_spec_bad_execution
file_doc_068,file_doc,L3,direct,deepseek_v4_flash,0,1.0,0.6153846153846154,0.761904761904762,0.7692307692307693,0.5,1.0,0.0,0.38461538461538464,1.0,0.6,0.4,1.0,0.8,0.0,0.0,0.0,1.0,good_spec_bad_execution
file_doc_075,file_doc,L3,direct,deepseek_v4_flash,0,1.0,0.6153846153846154,0.761904761904762,0.8571428571428571,0.5,0.5,0.0,0.38461538461538464,1.0,0.6,0.4,1.0,0.8,0.0,0.0,0.0,1.0,good_spec_bad_execution
file_doc_062,file_doc,L3,direct,deepseek_v4_flash,0,1.0,0.8461538461538461,0.9166666666666666,1.0,0.5,1.0,0.0,0.15384615384615385,1.0,0.6,0.4,1.0,0.8,0.0,0.0,0.0,1.0,good_spec_bad_execution
file_doc_104,file_doc,L4,direct,deepseek_v4_flash,0,1.0,0.6428571428571429,0.782608695652174,0.8,0.5,1.0,0.0,0.35714285714285715,1.0,0.6,0.4,1.0,0.8,0.0,0.0,0.0,1.0,good_spec_bad_execution
sheet_db_037,sheet_db,L2,direct,deepseek_v4_flash,0,1.0,0.6363636363636364,0.7777777777777778,0.7272727272727273,0.6666666666666666,1.0,0.0,0.36363636363636365,1.0,0.6,0.4,1.0,0.8,0.0,0.0,0.0,1.0,good_spec_bad_execution
calendar_080,calendar,L3,direct,deepseek_v4_flash,1,1.0,0.8461538461538461,0.9166666666666666,1.0,0.5,1.0,0.0,0.15384615384615385,1.0,0.6,0.4,1.0,0.8,0.0,0.0,0.0,1.0,good_spec_bad_execution
calendar_103,calendar,L4,direct,deepseek_v4_flash,1,1.0,0.8571428571428571,0.923076923076923,1.0,0.5,1.0,0.0,0.14285714285714285,1.0,0.6,0.4,1.0,0.8,0.0,0.0,0.0,1.0,good_spec_bad_execution
crm_workflow_025,crm_workflow,L2,direct,deepseek_v4_flash,1,1.0,0.9090909090909091,0.9523809523809523,1.0,0.6666666666666666,1.0,0.0,0.09090909090909091,1.0,0.6,0.4,1.0,0.8,0.0,0.0,0.0,1.0,good_spec_bad_execution
email_092,email,L3,direct,deepseek_v4_flash,1,1.0,0.6153846153846154,0.761904761904762,0.7692307692307693,0.5,1.0,0.0,0.38461538461538464,1.0,0.6,0.4,1.0,0.8,0.0,0.0,0.0,1.0,good_spec_bad_execution
email_100,email,L4,direct,deepseek_v4_flash,1,1.0,0.6428571428571429,0.782608695652174,0.7142857142857143,0.8,1.0,0.0,0.35714285714285715,1.0,0.6,0.4,1.0,0.8,0.0,0.0,0.0,1.0,good_spec_bad_execution
email_115,email,L4,direct,deepseek_v4_flash,1,1.0,0.6428571428571429,0.782608695652174,0.8,0.5,1.0,0.0,0.35714285714285715,1.0,0.6,0.4,1.0,0.8,0.0,0.0,0.0,1.0,good_spec_bad_execution
