task_id,domain,difficulty,agent,model,trial,cc_precision,cc_recall,cc_f1,success_f1,failure_f1,required_observation_recall,overconstraint_rate,underspecification_rate,donespec_valid,near_miss_detection_rate,near_miss_false_accept_rate,valid_accept_rate,verifier_robustness_balanced_accuracy,task_success,own_spec_pass,spec_action_consistency,self_violation_rate,quadrant,invalid_taxon,invalid_taxon_description
calendar_115,calendar,L4,plan_first,deepseek_reasoner,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,invalid_empty_or_missing,DoneSpec is absent or effectively empty.
calendar_041,calendar,L2,spec_first,deepseek_v4_flash,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,invalid_empty_or_missing,DoneSpec is absent or effectively empty.
file_doc_097,file_doc,L4,spec_first,deepseek_v4_pro,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,invalid_empty_or_missing,DoneSpec is absent or effectively empty.
file_doc_046,file_doc,L2,spec_first,deepseek_chat,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,invalid_empty_or_missing,DoneSpec is absent or effectively empty.
calendar_098,calendar,L4,spec_first,deepseek_chat,0,1.0,0.07142857142857142,0.13333333333333333,0.0,0.0,0.5,0.0,0.9285714285714286,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,invalid_execution_exception,DoneSpec raises during evaluation or cannot be executed.
crm_workflow_088,crm_workflow,L3,direct,deepseek_v4_flash,1,1.0,0.07692307692307693,0.14285714285714288,0.0,0.0,0.5,0.0,0.9230769230769231,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,invalid_execution_exception,DoneSpec raises during evaluation or cannot be executed.
sheet_db_082,sheet_db,L3,plan_first,deepseek_reasoner,1,1.0,0.07692307692307693,0.14285714285714288,0.0,0.0,0.5,0.0,0.9230769230769231,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,invalid_execution_exception,DoneSpec raises during evaluation or cannot be executed.
email_077,email,L3,spec_first,deepseek_v4_flash,1,1.0,0.07692307692307693,0.14285714285714288,0.0,0.0,0.5,0.0,0.9230769230769231,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,invalid_execution_exception,DoneSpec raises during evaluation or cannot be executed.
calendar_095,calendar,L3,spec_first,deepseek_v4_flash,2,1.0,0.07692307692307693,0.14285714285714288,0.0,0.0,0.5,0.0,0.9230769230769231,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,invalid_execution_exception,DoneSpec raises during evaluation or cannot be executed.
email_095,email,L3,spec_first,deepseek_v4_pro,0,1.0,0.07692307692307693,0.14285714285714288,0.2222222222222222,0.0,0.0,0.0,0.9230769230769231,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,invalid_execution_exception,DoneSpec raises during evaluation or cannot be executed.
email_080,email,L3,spec_first,deepseek_v4_pro,1,1.0,0.07692307692307693,0.14285714285714288,0.0,0.0,0.5,0.0,0.9230769230769231,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,invalid_execution_exception,DoneSpec raises during evaluation or cannot be executed.
file_doc_057,file_doc,L3,spec_first,deepseek_v4_pro,1,1.0,0.07692307692307693,0.14285714285714288,0.0,0.0,0.5,0.0,0.9230769230769231,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,invalid_execution_exception,DoneSpec raises during evaluation or cannot be executed.
