task_id,domain,difficulty,agent,model,trial,cc_precision,cc_recall,cc_f1,success_f1,failure_f1,required_observation_recall,overconstraint_rate,underspecification_rate,donespec_valid,near_miss_detection_rate,near_miss_false_accept_rate,valid_accept_rate,verifier_robustness_balanced_accuracy,task_success,own_spec_pass,spec_action_consistency,self_violation_rate,quadrant,mutation_id,mutation_class,mutation_taxon,failure_mode,violated_criteria,failure_family
crm_workflow_088,crm_workflow,L3,direct,deepseek_v4_flash,1,1.0,0.07692307692307693,0.14285714285714288,0.0,0.0,0.5,0.0,0.9230769230769231,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,unrelated_side_effect,side-effect violation,unrelated_side_effect,collateral_change,crm_workflow_088_failure_002,side_effect
calendar_042,calendar,L2,direct,deepseek_v4_pro,0,1.0,0.36363636363636365,0.5333333333333333,0.4444444444444445,0.6666666666666666,0.5,0.0,0.6363636363636364,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,unrelated_side_effect,side-effect violation,unrelated_side_effect,collateral_change,calendar_042_failure_002,side_effect
calendar_063,calendar,L3,direct,deepseek_v4_pro,0,1.0,0.38461538461538464,0.5555555555555556,0.4,0.5,1.0,0.0,0.6153846153846154,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,unrelated_side_effect,side-effect violation,unrelated_side_effect,collateral_change,calendar_063_failure_002,side_effect
calendar_088,calendar,L3,direct,deepseek_v4_pro,0,1.0,0.5384615384615384,0.7000000000000001,0.6666666666666666,0.5,1.0,0.0,0.46153846153846156,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,unrelated_side_effect,side-effect violation,unrelated_side_effect,collateral_change,calendar_088_failure_002,side_effect
calendar_093,calendar,L3,direct,deepseek_v4_pro,0,1.0,0.15384615384615385,0.2666666666666667,0.0,0.5,0.5,0.0,0.8461538461538461,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,unrelated_side_effect,side-effect violation,unrelated_side_effect,collateral_change,calendar_093_failure_002,side_effect
calendar_116,calendar,L4,direct,deepseek_v4_pro,0,1.0,0.42857142857142855,0.6,0.6153846153846153,0.5,0.5,0.0,0.5714285714285714,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,unrelated_side_effect,side-effect violation,unrelated_side_effect,collateral_change,calendar_116_failure_002,side_effect
crm_workflow_048,crm_workflow,L2,direct,deepseek_v4_pro,0,1.0,0.36363636363636365,0.5333333333333333,0.4444444444444445,0.0,1.0,0.0,0.6363636363636364,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,unrelated_side_effect,side-effect violation,unrelated_side_effect,collateral_change,crm_workflow_048_failure_002,side_effect
crm_workflow_061,crm_workflow,L3,direct,deepseek_v4_pro,0,1.0,0.38461538461538464,0.5555555555555556,0.4,0.5,1.0,0.0,0.6153846153846154,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,unrelated_side_effect,side-effect violation,unrelated_side_effect,collateral_change,crm_workflow_061_failure_002,side_effect
crm_workflow_087,crm_workflow,L3,direct,deepseek_v4_pro,0,1.0,0.46153846153846156,0.631578947368421,0.5454545454545454,0.5,1.0,0.0,0.5384615384615384,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,unrelated_side_effect,side-effect violation,unrelated_side_effect,collateral_change,crm_workflow_087_failure_002,side_effect
email_067,email,L3,direct,deepseek_v4_pro,0,1.0,0.5384615384615384,0.7000000000000001,0.7692307692307693,0.5,0.5,0.0,0.46153846153846156,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,unrelated_side_effect,side-effect violation,unrelated_side_effect,collateral_change,email_067_failure_002,side_effect
email_089,email,L3,direct,deepseek_v4_pro,0,1.0,0.46153846153846156,0.631578947368421,0.6666666666666666,0.5,0.5,0.0,0.5384615384615384,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,unrelated_side_effect,side-effect violation,unrelated_side_effect,collateral_change,email_089_failure_002,side_effect
email_087,email,L3,direct,deepseek_v4_pro,0,1.0,0.38461538461538464,0.5555555555555556,0.5454545454545454,0.0,1.0,0.0,0.6153846153846154,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,unrelated_side_effect,side-effect violation,unrelated_side_effect,collateral_change,email_087_failure_002,side_effect
email_092,email,L3,direct,deepseek_v4_pro,0,1.0,0.38461538461538464,0.5555555555555556,0.5454545454545454,0.5,0.5,0.0,0.6153846153846154,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,unrelated_side_effect,side-effect violation,unrelated_side_effect,collateral_change,email_092_failure_002,side_effect
file_doc_072,file_doc,L3,direct,deepseek_v4_pro,0,1.0,0.5384615384615384,0.7000000000000001,0.5454545454545454,0.8,1.0,0.0,0.46153846153846156,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,unrelated_side_effect,side-effect violation,unrelated_side_effect,collateral_change,file_doc_072_failure_002,side_effect
file_doc_086,file_doc,L3,direct,deepseek_v4_pro,0,1.0,0.46153846153846156,0.631578947368421,0.5454545454545454,0.5,1.0,0.0,0.5384615384615384,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,unrelated_side_effect,side-effect violation,unrelated_side_effect,collateral_change,file_doc_086_failure_002,side_effect
sheet_db_064,sheet_db,L3,direct,deepseek_v4_pro,0,1.0,0.6923076923076923,0.8181818181818181,0.7692307692307693,0.8,1.0,0.0,0.3076923076923077,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,good_spec_bad_execution,unrelated_side_effect,side-effect violation,unrelated_side_effect,collateral_change,sheet_db_064_failure_002,side_effect
sheet_db_082,sheet_db,L3,direct,deepseek_v4_pro,0,1.0,0.38461538461538464,0.5555555555555556,0.4,0.5,1.0,0.0,0.6153846153846154,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,unrelated_side_effect,side-effect violation,unrelated_side_effect,collateral_change,sheet_db_082_failure_002,side_effect
sheet_db_094,sheet_db,L3,direct,deepseek_v4_pro,0,1.0,0.23076923076923078,0.375,0.2222222222222222,0.5,0.5,0.0,0.7692307692307693,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,unrelated_side_effect,side-effect violation,unrelated_side_effect,collateral_change,sheet_db_094_failure_002,side_effect
sheet_db_115,sheet_db,L4,direct,deepseek_v4_pro,0,1.0,0.5714285714285714,0.7272727272727273,0.6153846153846153,0.8,1.0,0.0,0.42857142857142855,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,unrelated_side_effect,side-effect violation,unrelated_side_effect,collateral_change,sheet_db_115_failure_002,side_effect
calendar_085,calendar,L3,direct,deepseek_v4_pro,1,1.0,0.38461538461538464,0.5555555555555556,0.4,0.5,1.0,0.0,0.6153846153846154,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,unrelated_side_effect,side-effect violation,unrelated_side_effect,collateral_change,calendar_085_failure_002,side_effect
calendar_101,calendar,L4,direct,deepseek_v4_pro,1,1.0,0.2857142857142857,0.4444444444444445,0.19999999999999998,0.5,1.0,0.0,0.7142857142857143,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,unrelated_side_effect,side-effect violation,unrelated_side_effect,collateral_change,calendar_101_failure_002,side_effect
calendar_109,calendar,L4,direct,deepseek_v4_pro,1,1.0,0.5,0.6666666666666666,0.6153846153846153,0.5,1.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,bad_spec_bad_execution,unrelated_side_effect,side-effect violation,unrelated_side_effect,collateral_change,calendar_109_failure_002,side_effect
