model,agent,domain,fine_failure_family,mutation_taxon,n_trials,n_tasks,mean_near_miss_detection_rate,mean_false_accept_rate,mean_donespec_valid,mean_task_success,mean_cc_f1
deepseek_chat,direct,calendar,conflict,conflict_injection,300,100,0.6,0.4,1.0,0.0,0.32286505542387894
deepseek_chat,direct,calendar,other,participant_omission,300,100,0.6,0.4,1.0,0.0,0.32286505542387894
deepseek_chat,direct,calendar,policy_confirmation,policy_confirmation_missing,300,100,0.6,0.4,1.0,0.0,0.32286505542387894
deepseek_chat,direct,calendar,side_effect,unrelated_side_effect,300,100,0.6,0.4,1.0,0.0,0.32286505542387894
deepseek_chat,direct,calendar,temporal,wrong_duration,300,100,0.6,0.4,1.0,0.0,0.32286505542387894
deepseek_chat,direct,calendar,temporal,wrong_time_window,300,100,0.6,0.4,1.0,0.0,0.32286505542387894
deepseek_chat,direct,calendar,terminal_state,terminal_state_incomplete,300,100,0.6,0.4,1.0,0.0,0.32286505542387894
deepseek_chat,direct,crm_workflow,artifact_content,missing_resolution_artifact,300,100,0.6,0.4,1.0,0.0,0.39255245989533916
deepseek_chat,direct,crm_workflow,conflict,conflict_injection,300,100,0.6,0.4,1.0,0.0,0.39255245989533916
deepseek_chat,direct,crm_workflow,other,participant_omission,300,100,0.6,0.4,1.0,0.0,0.39255245989533916
deepseek_chat,direct,crm_workflow,policy_confirmation,policy_confirmation_missing,300,100,0.6,0.4,1.0,0.0,0.39255245989533916
deepseek_chat,direct,crm_workflow,side_effect,unrelated_side_effect,300,100,0.6,0.4,1.0,0.0,0.39255245989533916
deepseek_chat,direct,crm_workflow,terminal_state,terminal_state_incomplete,300,100,0.6,0.4,1.0,0.0,0.39255245989533916
deepseek_chat,direct,crm_workflow,workflow_ownership,wrong_owner,300,100,0.6,0.4,1.0,0.0,0.39255245989533916
deepseek_chat,direct,email,artifact_content,wrong_attachment,300,100,0.6,0.4,1.0,0.0,0.4321229185331352
deepseek_chat,direct,email,conflict,conflict_injection,300,100,0.6,0.4,1.0,0.0,0.4321229185331352
deepseek_chat,direct,email,other,participant_omission,300,100,0.6,0.4,1.0,0.0,0.4321229185331352
deepseek_chat,direct,email,policy_confirmation,policy_confirmation_missing,300,100,0.6,0.4,1.0,0.0,0.4321229185331352
deepseek_chat,direct,email,recipient_permission,extra_recipient,300,100,0.6,0.4,1.0,0.0,0.4321229185331352
deepseek_chat,direct,email,side_effect,unrelated_side_effect,300,100,0.6,0.4,1.0,0.0,0.4321229185331352
deepseek_chat,direct,email,terminal_state,terminal_state_incomplete,300,100,0.6,0.4,1.0,0.0,0.4321229185331352
deepseek_chat,direct,file_doc,artifact_content,wrong_folder,300,100,0.6,0.4,1.0,0.0,0.3575175504177052
deepseek_chat,direct,file_doc,conflict,conflict_injection,300,100,0.6,0.4,1.0,0.0,0.3575175504177052
deepseek_chat,direct,file_doc,other,participant_omission,300,100,0.6,0.4,1.0,0.0,0.3575175504177052
deepseek_chat,direct,file_doc,policy_confirmation,policy_confirmation_missing,300,100,0.6,0.4,1.0,0.0,0.3575175504177052
deepseek_chat,direct,file_doc,recipient_permission,overbroad_share,300,100,0.6,0.4,1.0,0.0,0.3575175504177052
deepseek_chat,direct,file_doc,side_effect,unrelated_side_effect,300,100,0.6,0.4,1.0,0.0,0.3575175504177052
deepseek_chat,direct,file_doc,terminal_state,terminal_state_incomplete,300,100,0.6,0.4,1.0,0.0,0.3575175504177052
deepseek_chat,direct,sheet_db,artifact_content,wrong_export_asset,300,100,0.6,0.4,1.0,0.0,0.34762972192925756
deepseek_chat,direct,sheet_db,conflict,conflict_injection,300,100,0.6,0.4,1.0,0.0,0.34762972192925756
deepseek_chat,direct,sheet_db,other,participant_omission,300,100,0.6,0.4,1.0,0.0,0.34762972192925756
deepseek_chat,direct,sheet_db,policy_confirmation,policy_confirmation_missing,300,100,0.6,0.4,1.0,0.0,0.34762972192925756
deepseek_chat,direct,sheet_db,side_effect,unrelated_side_effect,300,100,0.6,0.4,1.0,0.0,0.34762972192925756
deepseek_chat,direct,sheet_db,state_integrity,formula_damage,300,100,0.6,0.4,1.0,0.0,0.34762972192925756
deepseek_chat,direct,sheet_db,terminal_state,terminal_state_incomplete,300,100,0.6,0.4,1.0,0.0,0.34762972192925756
deepseek_chat,plan_first,calendar,conflict,conflict_injection,300,100,0.596,0.404,0.9933333333333333,0.0,0.3826729033493739
deepseek_chat,plan_first,calendar,other,participant_omission,300,100,0.596,0.404,0.9933333333333333,0.0,0.3826729033493739
deepseek_chat,plan_first,calendar,policy_confirmation,policy_confirmation_missing,300,100,0.596,0.404,0.9933333333333333,0.0,0.3826729033493739
deepseek_chat,plan_first,calendar,side_effect,unrelated_side_effect,300,100,0.596,0.404,0.9933333333333333,0.0,0.3826729033493739
deepseek_chat,plan_first,calendar,temporal,wrong_duration,300,100,0.596,0.404,0.9933333333333333,0.0,0.3826729033493739
deepseek_chat,plan_first,calendar,temporal,wrong_time_window,300,100,0.596,0.404,0.9933333333333333,0.0,0.3826729033493739
deepseek_chat,plan_first,calendar,terminal_state,terminal_state_incomplete,300,100,0.596,0.404,0.9933333333333333,0.0,0.3826729033493739
deepseek_chat,plan_first,crm_workflow,artifact_content,missing_resolution_artifact,300,100,0.6,0.4,1.0,0.0,0.46477817360197227
deepseek_chat,plan_first,crm_workflow,conflict,conflict_injection,300,100,0.6,0.4,1.0,0.0,0.46477817360197227
deepseek_chat,plan_first,crm_workflow,other,participant_omission,300,100,0.6,0.4,1.0,0.0,0.46477817360197227
deepseek_chat,plan_first,crm_workflow,policy_confirmation,policy_confirmation_missing,300,100,0.6,0.4,1.0,0.0,0.46477817360197227
deepseek_chat,plan_first,crm_workflow,side_effect,unrelated_side_effect,300,100,0.6,0.4,1.0,0.0,0.46477817360197227
deepseek_chat,plan_first,crm_workflow,terminal_state,terminal_state_incomplete,300,100,0.6,0.4,1.0,0.0,0.46477817360197227
deepseek_chat,plan_first,crm_workflow,workflow_ownership,wrong_owner,300,100,0.6,0.4,1.0,0.0,0.46477817360197227
deepseek_chat,plan_first,email,artifact_content,wrong_attachment,300,100,0.6,0.4,1.0,0.0,0.4834952830966763
deepseek_chat,plan_first,email,conflict,conflict_injection,300,100,0.6,0.4,1.0,0.0,0.4834952830966763
deepseek_chat,plan_first,email,other,participant_omission,300,100,0.6,0.4,1.0,0.0,0.4834952830966763
deepseek_chat,plan_first,email,policy_confirmation,policy_confirmation_missing,300,100,0.6,0.4,1.0,0.0,0.4834952830966763
deepseek_chat,plan_first,email,recipient_permission,extra_recipient,300,100,0.6,0.4,1.0,0.0,0.4834952830966763
deepseek_chat,plan_first,email,side_effect,unrelated_side_effect,300,100,0.6,0.4,1.0,0.0,0.4834952830966763
deepseek_chat,plan_first,email,terminal_state,terminal_state_incomplete,300,100,0.6,0.4,1.0,0.0,0.4834952830966763
