domain,model,agent,n,parse_rate,fallback_rate
calendar,deepseek_chat,direct,300,1.0,0.0
calendar,deepseek_chat,plan_first,300,1.0,0.0
calendar,deepseek_chat,spec_first,300,1.0,0.0
calendar,deepseek_reasoner,direct,300,0.99,0.01
calendar,deepseek_reasoner,plan_first,300,0.99,0.01
calendar,deepseek_reasoner,spec_first,300,0.9133333333333333,0.08666666666666667
calendar,deepseek_v4_flash,direct,300,0.9833333333333333,0.016666666666666666
calendar,deepseek_v4_flash,plan_first,300,0.9866666666666667,0.013333333333333334
calendar,deepseek_v4_flash,spec_first,300,0.9433333333333334,0.056666666666666664
calendar,deepseek_v4_pro,direct,300,0.94,0.06
calendar,deepseek_v4_pro,plan_first,300,0.9566666666666667,0.043333333333333335
calendar,deepseek_v4_pro,spec_first,300,0.72,0.28
crm_workflow,deepseek_chat,direct,300,1.0,0.0
crm_workflow,deepseek_chat,plan_first,300,1.0,0.0
crm_workflow,deepseek_chat,spec_first,300,1.0,0.0
crm_workflow,deepseek_reasoner,direct,300,0.9966666666666667,0.0033333333333333335
crm_workflow,deepseek_reasoner,plan_first,300,0.9666666666666667,0.03333333333333333
crm_workflow,deepseek_reasoner,spec_first,300,0.9466666666666667,0.05333333333333334
crm_workflow,deepseek_v4_flash,direct,300,0.9833333333333333,0.016666666666666666
crm_workflow,deepseek_v4_flash,plan_first,300,0.9633333333333334,0.03666666666666667
crm_workflow,deepseek_v4_flash,spec_first,300,0.94,0.06
crm_workflow,deepseek_v4_pro,direct,300,0.94,0.06
crm_workflow,deepseek_v4_pro,plan_first,300,0.9266666666666666,0.07333333333333333
crm_workflow,deepseek_v4_pro,spec_first,300,0.71,0.29
email,deepseek_chat,direct,300,1.0,0.0
email,deepseek_chat,plan_first,300,1.0,0.0
email,deepseek_chat,spec_first,300,1.0,0.0
email,deepseek_reasoner,direct,300,0.8733333333333333,0.12666666666666668
email,deepseek_reasoner,plan_first,300,0.9966666666666667,0.0033333333333333335
email,deepseek_reasoner,spec_first,300,0.98,0.02
email,deepseek_v4_flash,direct,300,1.0,0.0
email,deepseek_v4_flash,plan_first,300,0.9933333333333333,0.006666666666666667
email,deepseek_v4_flash,spec_first,300,0.9733333333333334,0.02666666666666667
email,deepseek_v4_pro,direct,300,0.94,0.06
email,deepseek_v4_pro,plan_first,300,0.9366666666666666,0.06333333333333334
email,deepseek_v4_pro,spec_first,300,0.7633333333333333,0.23666666666666666
file_doc,deepseek_chat,direct,300,1.0,0.0
file_doc,deepseek_chat,plan_first,300,1.0,0.0
file_doc,deepseek_chat,spec_first,300,1.0,0.0
file_doc,deepseek_reasoner,direct,300,0.93,0.07
file_doc,deepseek_reasoner,plan_first,300,0.99,0.01
file_doc,deepseek_reasoner,spec_first,300,0.95,0.05
file_doc,deepseek_v4_flash,direct,300,0.99,0.01
file_doc,deepseek_v4_flash,plan_first,300,0.99,0.01
file_doc,deepseek_v4_flash,spec_first,300,0.9566666666666667,0.043333333333333335
file_doc,deepseek_v4_pro,direct,300,0.9033333333333333,0.09666666666666666
file_doc,deepseek_v4_pro,plan_first,300,0.9433333333333334,0.056666666666666664
file_doc,deepseek_v4_pro,spec_first,300,0.7066666666666667,0.29333333333333333
sheet_db,deepseek_chat,direct,300,1.0,0.0
sheet_db,deepseek_chat,plan_first,300,1.0,0.0
sheet_db,deepseek_chat,spec_first,300,1.0,0.0
sheet_db,deepseek_reasoner,direct,300,0.9933333333333333,0.006666666666666667
sheet_db,deepseek_reasoner,plan_first,300,0.98,0.02
sheet_db,deepseek_reasoner,spec_first,300,0.9566666666666667,0.043333333333333335
sheet_db,deepseek_v4_flash,direct,300,0.99,0.01
sheet_db,deepseek_v4_flash,plan_first,300,0.9766666666666667,0.023333333333333334
sheet_db,deepseek_v4_flash,spec_first,300,0.93,0.07
sheet_db,deepseek_v4_pro,direct,300,0.87,0.13
sheet_db,deepseek_v4_pro,plan_first,300,0.9266666666666666,0.07333333333333333
sheet_db,deepseek_v4_pro,spec_first,300,0.6966666666666667,0.30333333333333334
