model,agent,parse_status,json_repair_strategy,n
deepseek_chat,direct,parsed,fenced_1,6
deepseek_chat,direct,parsed,raw,1494
deepseek_chat,plan_first,parsed,raw,1500
deepseek_chat,spec_first,parsed,raw,1500
deepseek_reasoner,direct,fallback,,65
deepseek_reasoner,direct,parsed,raw,1419
deepseek_reasoner,direct,parsed,raw+repair,16
deepseek_reasoner,plan_first,fallback,,23
deepseek_reasoner,plan_first,parsed,raw,1448
deepseek_reasoner,plan_first,parsed,raw+repair,29
deepseek_reasoner,spec_first,fallback,,76
deepseek_reasoner,spec_first,parsed,outer_slice+repair,2
deepseek_reasoner,spec_first,parsed,raw,1296
deepseek_reasoner,spec_first,parsed,raw+repair,126
deepseek_v4_flash,direct,fallback,,16
deepseek_v4_flash,direct,parsed,outer_slice+repair,2
deepseek_v4_flash,direct,parsed,raw,1465
deepseek_v4_flash,direct,parsed,raw+repair,17
deepseek_v4_flash,plan_first,fallback,,27
deepseek_v4_flash,plan_first,parsed,fenced_1,1
deepseek_v4_flash,plan_first,parsed,outer_slice+repair,1
deepseek_v4_flash,plan_first,parsed,raw,1444
deepseek_v4_flash,plan_first,parsed,raw+repair,27
deepseek_v4_flash,spec_first,fallback,,77
deepseek_v4_flash,spec_first,parsed,outer_slice+repair,7
deepseek_v4_flash,spec_first,parsed,raw,1275
deepseek_v4_flash,spec_first,parsed,raw+repair,141
deepseek_v4_pro,direct,fallback,,122
deepseek_v4_pro,direct,parsed,outer_slice+repair,8
deepseek_v4_pro,direct,parsed,raw,1140
deepseek_v4_pro,direct,parsed,raw+repair,230
deepseek_v4_pro,plan_first,fallback,,93
deepseek_v4_pro,plan_first,parsed,balanced_slice,3
deepseek_v4_pro,plan_first,parsed,outer_slice+repair,6
deepseek_v4_pro,plan_first,parsed,raw,1223
deepseek_v4_pro,plan_first,parsed,raw+repair,175
deepseek_v4_pro,spec_first,fallback,,421
deepseek_v4_pro,spec_first,parsed,fenced_1,1
deepseek_v4_pro,spec_first,parsed,outer_slice+repair,18
deepseek_v4_pro,spec_first,parsed,raw,625
deepseek_v4_pro,spec_first,parsed,raw+repair,435
