model,agent,parse_status,n
deepseek_chat,direct,parsed,1500
deepseek_chat,plan_first,parsed,1500
deepseek_chat,spec_first,parsed,1500
deepseek_reasoner,direct,fallback,65
deepseek_reasoner,direct,parsed,1435
deepseek_reasoner,plan_first,fallback,23
deepseek_reasoner,plan_first,parsed,1477
deepseek_reasoner,spec_first,fallback,76
deepseek_reasoner,spec_first,parsed,1424
deepseek_v4_flash,direct,fallback,16
deepseek_v4_flash,direct,parsed,1484
deepseek_v4_flash,plan_first,fallback,27
deepseek_v4_flash,plan_first,parsed,1473
deepseek_v4_flash,spec_first,fallback,77
deepseek_v4_flash,spec_first,parsed,1423
deepseek_v4_pro,direct,fallback,122
deepseek_v4_pro,direct,parsed,1378
deepseek_v4_pro,plan_first,fallback,93
deepseek_v4_pro,plan_first,parsed,1407
deepseek_v4_pro,spec_first,fallback,421
deepseek_v4_pro,spec_first,parsed,1079
