difficulty,model,agent,n,cc_f1,donespec_valid,near_miss_detection_rate,task_success,self_violation_rate
L2,deepseek_chat,direct,510,0.3749406645513912,1.0,0.5999999999999999,0.0,1.0
L2,deepseek_chat,plan_first,510,0.438458896220233,1.0,0.5999999999999999,0.0,1.0
L2,deepseek_chat,spec_first,510,0.5174055124947494,0.2196078431372549,0.13176470588235292,0.0,1.0
L2,deepseek_reasoner,direct,510,0.45811671828107814,1.0,0.5999999999999999,0.0,1.0
L2,deepseek_reasoner,plan_first,510,0.45553985294469723,0.9941176470588236,0.5964705882352941,0.0,1.0
L2,deepseek_reasoner,spec_first,510,0.5564729412179785,0.8274509803921568,0.4964705882352941,0.11960784313725491,0.7709150326797385
L2,deepseek_v4_flash,direct,510,0.4439487428164354,1.0,0.5999999999999999,0.0,1.0
L2,deepseek_v4_flash,plan_first,510,0.46586038522206796,0.996078431372549,0.5976470588235293,0.0,1.0
L2,deepseek_v4_flash,spec_first,510,0.562444099335376,0.8529411764705882,0.5117647058823529,0.12745098039215685,0.7307189542483661
L2,deepseek_v4_pro,direct,510,0.559467013287811,0.9686274509803922,0.5811764705882353,0.0,1.0
L2,deepseek_v4_pro,plan_first,510,0.5400048043614788,0.9117647058823529,0.5470588235294118,0.0,1.0
L2,deepseek_v4_pro,spec_first,510,0.6509715591139741,0.6823529411764706,0.4094117647058823,0.09411764705882353,0.7911764705882353
L3,deepseek_chat,direct,630,0.3560609506960679,1.0,0.6,0.0,1.0
L3,deepseek_chat,plan_first,630,0.42096887487938645,0.9968253968253968,0.598095238095238,0.0,1.0
L3,deepseek_chat,spec_first,630,0.5118024041705689,0.20317460317460317,0.1219047619047619,0.0,1.0
L3,deepseek_reasoner,direct,630,0.4358415529954672,1.0,0.6,0.0,0.9989417989417988
L3,deepseek_reasoner,plan_first,630,0.4665702351023391,0.9952380952380953,0.5971428571428571,0.0,0.9992063492063492
L3,deepseek_reasoner,spec_first,630,0.5454788341073588,0.8317460317460318,0.499047619047619,0.020634920634920634,0.8350529100529099
L3,deepseek_v4_flash,direct,630,0.43056735417895664,0.9984126984126984,0.599047619047619,0.0,1.0
L3,deepseek_v4_flash,plan_first,630,0.4704793849136323,0.9952380952380953,0.5971428571428571,0.0,1.0
L3,deepseek_v4_flash,spec_first,630,0.5483813993587789,0.8412698412698413,0.5047619047619047,0.03492063492063492,0.8246031746031746
L3,deepseek_v4_pro,direct,630,0.5465123466887467,0.9571428571428572,0.5742857142857142,0.0,1.0
L3,deepseek_v4_pro,plan_first,630,0.5610167598309308,0.9031746031746032,0.5419047619047619,0.0,1.0
L3,deepseek_v4_pro,spec_first,630,0.6347781604994972,0.626984126984127,0.3761904761904762,0.025396825396825397,0.8608465608465607
L4,deepseek_chat,direct,360,0.3896338166668405,1.0,0.5999999999999999,0.0,1.0
L4,deepseek_chat,plan_first,360,0.46963640589953015,1.0,0.5999999999999999,0.0,1.0
L4,deepseek_chat,spec_first,360,0.5616054167544499,0.1638888888888889,0.09833333333333333,0.0,0.9882936507936507
L4,deepseek_reasoner,direct,360,0.49311663168530395,1.0,0.5999999999999999,0.0,0.9976851851851851
L4,deepseek_reasoner,plan_first,360,0.5079047997581223,0.9861111111111112,0.5916666666666666,0.0,1.0
L4,deepseek_reasoner,spec_first,360,0.6086799712840566,0.825,0.495,0.011111111111111112,0.876846340388007
L4,deepseek_v4_flash,direct,360,0.4708038134978728,1.0,0.5999999999999999,0.0,1.0
L4,deepseek_v4_flash,plan_first,360,0.5128601416033103,0.9972222222222222,0.5983333333333332,0.0,1.0
L4,deepseek_v4_flash,spec_first,360,0.6077794951289253,0.8277777777777777,0.49666666666666653,0.008333333333333333,0.890139991181658
L4,deepseek_v4_pro,direct,360,0.6313050375724691,0.9666666666666667,0.5799999999999998,0.0,1.0
L4,deepseek_v4_pro,plan_first,360,0.6127838830374726,0.9305555555555556,0.5583333333333331,0.0,0.9986111111111111
L4,deepseek_v4_pro,spec_first,360,0.6760042459738023,0.6944444444444444,0.4166666666666667,0.008333333333333333,0.9269179894179893
