metric,model_a,model_b,mean_diff_a_minus_b,ci_low,ci_high,n_pairs
cc_f1,deepseek_chat,deepseek_reasoner,-0.05316433912358262,-0.05874293506468811,-0.047700424091556996,4500
donespec_valid,deepseek_chat,deepseek_reasoner,-0.20777777777777778,-0.22044444444444444,-0.19466111111111112,4500
near_miss_detection_rate,deepseek_chat,deepseek_reasoner,-0.12466666666666666,-0.13226666666666664,-0.11679666666666665,4500
task_success,deepseek_chat,deepseek_reasoner,-0.017333333333333333,-0.021333333333333333,-0.013777777777777778,4500
self_violation_rate,deepseek_chat,deepseek_reasoner,0.0584157848324515,0.05217217813051146,0.0647204475308642,4500
cc_f1,deepseek_chat,deepseek_v4_flash,-0.05215964289034195,-0.05758951045059338,-0.04681190656409975,4500
donespec_valid,deepseek_chat,deepseek_v4_flash,-0.2131111111111111,-0.2262222222222222,-0.19955555555555557,4500
near_miss_detection_rate,deepseek_chat,deepseek_v4_flash,-0.12786666666666666,-0.13573333333333332,-0.11973333333333332,4500
task_success,deepseek_chat,deepseek_v4_flash,-0.02,-0.02422222222222222,-0.016,4500
self_violation_rate,deepseek_chat,deepseek_v4_flash,0.06292636684303352,0.056486155202821874,0.06927706128747795,4500
cc_f1,deepseek_chat,deepseek_v4_pro,-0.15098291512892265,-0.15795725561579366,-0.14428891141742484,4500
donespec_valid,deepseek_chat,deepseek_v4_pro,-0.11333333333333333,-0.12711666666666668,-0.09976666666666668,4500
near_miss_detection_rate,deepseek_chat,deepseek_v4_pro,-0.068,-0.07626999999999999,-0.05986,4500
task_success,deepseek_chat,deepseek_v4_pro,-0.014888888888888889,-0.018444444444444444,-0.011777777777777778,4500
self_violation_rate,deepseek_chat,deepseek_v4_pro,0.04816931216931217,0.04255271164021164,0.05394054232804233,4500
cc_f1,deepseek_reasoner,deepseek_v4_flash,0.0010046962332406764,-0.005197388453091722,0.007645464854761056,4500
donespec_valid,deepseek_reasoner,deepseek_v4_flash,-0.005333333333333333,-0.013777777777777778,0.0035555555555555557,4500
near_miss_detection_rate,deepseek_reasoner,deepseek_v4_flash,-0.0032000000000000006,-0.008266666666666665,0.002133333333333333,4500
task_success,deepseek_reasoner,deepseek_v4_flash,-0.0026666666666666666,-0.007555555555555556,0.0022222222222222222,4500
self_violation_rate,deepseek_reasoner,deepseek_v4_flash,0.004510582010582011,-0.003918364197530864,0.012432958553791883,4500
cc_f1,deepseek_reasoner,deepseek_v4_pro,-0.09781857600534002,-0.1055945339050147,-0.09069014509959629,4500
donespec_valid,deepseek_reasoner,deepseek_v4_pro,0.09444444444444444,0.08310555555555556,0.10578333333333333,4500
near_miss_detection_rate,deepseek_reasoner,deepseek_v4_pro,0.056666666666666664,0.04986333333333333,0.06347,4500
task_success,deepseek_reasoner,deepseek_v4_pro,0.0024444444444444444,-0.0022222222222222222,0.006888888888888889,4500
self_violation_rate,deepseek_reasoner,deepseek_v4_pro,-0.010246472663139331,-0.017926829805996473,-0.002335141093474428,4500
cc_f1,deepseek_v4_flash,deepseek_v4_pro,-0.09882327223858071,-0.1064966734973986,-0.09126166883506813,4500
donespec_valid,deepseek_v4_flash,deepseek_v4_pro,0.09977777777777778,0.0884388888888889,0.11155555555555556,4500
near_miss_detection_rate,deepseek_v4_flash,deepseek_v4_pro,0.05986666666666666,0.05306333333333333,0.06693333333333333,4500
task_success,deepseek_v4_flash,deepseek_v4_pro,0.005111111111111111,0.00021666666666666698,0.009783333333333328,4500
self_violation_rate,deepseek_v4_flash,deepseek_v4_pro,-0.01475705467372134,-0.02188507495590829,-0.007023423721340391,4500
