model,agent,task_id,k,task_success_pass_at_k,donespec_valid_pass_at_k,all_trials_consistent_success
deepseek_chat,direct,calendar_021,3,0.0,1.0,1.0
deepseek_chat,direct,calendar_022,3,0.0,1.0,1.0
deepseek_chat,direct,calendar_023,3,0.0,1.0,1.0
deepseek_chat,direct,calendar_024,3,0.0,1.0,1.0
deepseek_chat,direct,calendar_025,3,0.0,1.0,1.0
deepseek_chat,direct,calendar_026,3,0.0,1.0,1.0
deepseek_chat,direct,calendar_027,3,0.0,1.0,1.0
deepseek_chat,direct,calendar_028,3,0.0,1.0,1.0
deepseek_chat,direct,calendar_029,3,0.0,1.0,1.0
deepseek_chat,direct,calendar_030,3,0.0,1.0,1.0
deepseek_chat,direct,calendar_031,3,0.0,1.0,1.0
deepseek_chat,direct,calendar_032,3,0.0,1.0,1.0
deepseek_chat,direct,calendar_033,3,0.0,1.0,1.0
deepseek_chat,direct,calendar_034,3,0.0,1.0,1.0
deepseek_chat,direct,calendar_035,3,0.0,1.0,1.0
deepseek_chat,direct,calendar_036,3,0.0,1.0,1.0
deepseek_chat,direct,calendar_037,3,0.0,1.0,1.0
deepseek_chat,direct,calendar_038,3,0.0,1.0,1.0
deepseek_chat,direct,calendar_039,3,0.0,1.0,1.0
deepseek_chat,direct,calendar_040,3,0.0,1.0,1.0
deepseek_chat,direct,calendar_041,3,0.0,1.0,1.0
deepseek_chat,direct,calendar_042,3,0.0,1.0,1.0
deepseek_chat,direct,calendar_043,3,0.0,1.0,1.0
deepseek_chat,direct,calendar_044,3,0.0,1.0,1.0
deepseek_chat,direct,calendar_045,3,0.0,1.0,1.0
deepseek_chat,direct,calendar_046,3,0.0,1.0,1.0
deepseek_chat,direct,calendar_047,3,0.0,1.0,1.0
deepseek_chat,direct,calendar_048,3,0.0,1.0,1.0
deepseek_chat,direct,calendar_049,3,0.0,1.0,1.0
deepseek_chat,direct,calendar_050,3,0.0,1.0,1.0
deepseek_chat,direct,calendar_051,3,0.0,1.0,1.0
deepseek_chat,direct,calendar_052,3,0.0,1.0,1.0
deepseek_chat,direct,calendar_053,3,0.0,1.0,1.0
deepseek_chat,direct,calendar_054,3,0.0,1.0,1.0
deepseek_chat,direct,calendar_055,3,0.0,1.0,1.0
deepseek_chat,direct,calendar_056,3,0.0,1.0,1.0
deepseek_chat,direct,calendar_057,3,0.0,1.0,1.0
deepseek_chat,direct,calendar_058,3,0.0,1.0,1.0
deepseek_chat,direct,calendar_059,3,0.0,1.0,1.0
deepseek_chat,direct,calendar_060,3,0.0,1.0,1.0
deepseek_chat,direct,calendar_061,3,0.0,1.0,1.0
deepseek_chat,direct,calendar_062,3,0.0,1.0,1.0
deepseek_chat,direct,calendar_063,3,0.0,1.0,1.0
deepseek_chat,direct,calendar_064,3,0.0,1.0,1.0
deepseek_chat,direct,calendar_065,3,0.0,1.0,1.0
deepseek_chat,direct,calendar_066,3,0.0,1.0,1.0
deepseek_chat,direct,calendar_067,3,0.0,1.0,1.0
deepseek_chat,direct,calendar_068,3,0.0,1.0,1.0
deepseek_chat,direct,calendar_069,3,0.0,1.0,1.0
deepseek_chat,direct,calendar_070,3,0.0,1.0,1.0
deepseek_chat,direct,calendar_071,3,0.0,1.0,1.0
deepseek_chat,direct,calendar_072,3,0.0,1.0,1.0
deepseek_chat,direct,calendar_073,3,0.0,1.0,1.0
deepseek_chat,direct,calendar_074,3,0.0,1.0,1.0
deepseek_chat,direct,calendar_075,3,0.0,1.0,1.0
deepseek_chat,direct,calendar_076,3,0.0,1.0,1.0
deepseek_chat,direct,calendar_077,3,0.0,1.0,1.0
deepseek_chat,direct,calendar_078,3,0.0,1.0,1.0
deepseek_chat,direct,calendar_079,3,0.0,1.0,1.0
deepseek_chat,direct,calendar_080,3,0.0,1.0,1.0
deepseek_chat,direct,calendar_081,3,0.0,1.0,1.0
deepseek_chat,direct,calendar_082,3,0.0,1.0,1.0
deepseek_chat,direct,calendar_083,3,0.0,1.0,1.0
deepseek_chat,direct,calendar_084,3,0.0,1.0,1.0
deepseek_chat,direct,calendar_085,3,0.0,1.0,1.0
deepseek_chat,direct,calendar_086,3,0.0,1.0,1.0
deepseek_chat,direct,calendar_087,3,0.0,1.0,1.0
deepseek_chat,direct,calendar_088,3,0.0,1.0,1.0
deepseek_chat,direct,calendar_089,3,0.0,1.0,1.0
deepseek_chat,direct,calendar_090,3,0.0,1.0,1.0
deepseek_chat,direct,calendar_091,3,0.0,1.0,1.0
deepseek_chat,direct,calendar_092,3,0.0,1.0,1.0
deepseek_chat,direct,calendar_093,3,0.0,1.0,1.0
deepseek_chat,direct,calendar_094,3,0.0,1.0,1.0
deepseek_chat,direct,calendar_095,3,0.0,1.0,1.0
deepseek_chat,direct,calendar_096,3,0.0,1.0,1.0
deepseek_chat,direct,calendar_097,3,0.0,1.0,1.0
deepseek_chat,direct,calendar_098,3,0.0,1.0,1.0
deepseek_chat,direct,calendar_099,3,0.0,1.0,1.0
deepseek_chat,direct,calendar_100,3,0.0,1.0,1.0
deepseek_chat,direct,calendar_101,3,0.0,1.0,1.0
deepseek_chat,direct,calendar_102,3,0.0,1.0,1.0
deepseek_chat,direct,calendar_103,3,0.0,1.0,1.0
deepseek_chat,direct,calendar_104,3,0.0,1.0,1.0
deepseek_chat,direct,calendar_105,3,0.0,1.0,1.0
deepseek_chat,direct,calendar_106,3,0.0,1.0,1.0
