model,agent,n,cc_f1_mean,cc_f1_ci_low,cc_f1_ci_high,donespec_valid_mean,donespec_valid_ci_low,donespec_valid_ci_high,near_miss_detection_rate_mean,near_miss_detection_rate_ci_low,near_miss_detection_rate_ci_high,task_success_mean,task_success_ci_low,task_success_ci_high,self_violation_rate_mean,self_violation_rate_ci_low,self_violation_rate_ci_high
deepseek_chat,direct,1500,0.37053754123986316,0.3640920735785828,0.37764200152459054,1.0,1.0,1.0,0.5999999999999999,0.5999999999999999,0.5999999999999999,0.0,0.0,0.0,1.0,1.0,1.0
deepseek_chat,plan_first,1500,0.4385956895801087,0.4314849419921199,0.4456013722230281,0.9986666666666667,0.9966666666666667,1.0,0.5991999999999998,0.5979999999999999,0.5999999999999999,0.0,0.0,0.0,1.0,1.0,1.0
deepseek_chat,spec_first,1500,0.5256601840209217,0.5191584002508686,0.5329580233047216,0.19933333333333333,0.18,0.21933333333333332,0.11959999999999998,0.108,0.1316,0.0,0.0,0.0,0.9971904761904762,0.9943809523809523,0.9994289682539683
deepseek_reasoner,direct,1500,0.4571611280781358,0.4479964053779549,0.46534743607304163,1.0,1.0,1.0,0.5999999999999999,0.5999999999999999,0.5999999999999999,0.0,0.0,0.0,0.999,0.9973333333333333,1.0
deepseek_reasoner,plan_first,1500,0.47274020068612876,0.4646772315032786,0.48105440835204516,0.9926666666666667,0.988,0.9966666666666667,0.5955999999999999,0.5927999999999999,0.5979999999999999,0.0,0.0,0.0,0.9996666666666667,0.999,1.0
deepseek_reasoner,spec_first,1500,0.564385103447377,0.5559395554171391,0.573375228650955,0.8286666666666667,0.8093333333333333,0.846,0.4972,0.4856,0.5075999999999999,0.052,0.04066666666666666,0.064,0.8232764550264551,0.8067057539682538,0.8409792328042328
deepseek_v4_flash,direct,1500,0.44477377655223926,0.43620365727708055,0.453317689267958,0.9993333333333333,0.998,1.0,0.5995999999999999,0.5987999999999999,0.5999999999999999,0.0,0.0,0.0,1.0,1.0,1.0
deepseek_v4_flash,plan_first,1500,0.4790803066240232,0.4707596463705028,0.4879681154781203,0.996,0.9926666666666667,0.9986666666666667,0.5975999999999999,0.5955999999999999,0.5991999999999998,0.0,0.0,0.0,1.0,1.0,1.0
deepseek_v4_flash,spec_first,1500,0.5674182603356571,0.5581895280607105,0.5762770332679651,0.842,0.8213333333333334,0.8593333333333333,0.5052,0.49279999999999996,0.5156,0.06,0.04933333333333333,0.07333333333333333,0.8084113756613758,0.7905059523809524,0.8251870701058202
deepseek_v4_pro,direct,1500,0.571267179144522,0.5612260837392243,0.5809483835940323,0.9633333333333334,0.954,0.9726833333333333,0.5779999999999998,0.5723999999999999,0.5836099999999999,0.0,0.0,0.0,1.0,1.0,1.0
deepseek_v4_pro,plan_first,1500,0.5662968045408872,0.556943955665469,0.5753163040203293,0.9126666666666666,0.898,0.9266666666666666,0.5475999999999999,0.5387999999999998,0.5559999999999999,0.0,0.0,0.0,0.9996666666666667,0.999,1.0
deepseek_v4_pro,spec_first,1500,0.6501781765422524,0.6385262810284308,0.6619256391119015,0.662,0.6373333333333333,0.6866666666666666,0.39719999999999994,0.3824,0.412,0.04466666666666667,0.03465,0.05534999999999998,0.8530158730158731,0.8353724206349207,0.8692553571428571
