domain,model,agent,n,parse_rate,fallback_rate
calendar,deepseek_v4_flash,direct,100,0.99,0.01
calendar,deepseek_v4_flash,plan_first,100,0.96,0.04
calendar,deepseek_v4_flash,spec_first,100,0.92,0.08
calendar,deepseek_v4_pro,direct,100,0.92,0.08
calendar,deepseek_v4_pro,plan_first,100,0.96,0.04
calendar,deepseek_v4_pro,spec_first,100,0.65,0.35
crm_workflow,deepseek_v4_flash,direct,100,0.99,0.01
crm_workflow,deepseek_v4_flash,plan_first,100,0.95,0.05
crm_workflow,deepseek_v4_flash,spec_first,100,0.94,0.06
crm_workflow,deepseek_v4_pro,direct,100,0.86,0.14
crm_workflow,deepseek_v4_pro,plan_first,100,0.98,0.02
crm_workflow,deepseek_v4_pro,spec_first,100,0.67,0.33
email,deepseek_v4_flash,direct,100,1.0,0.0
email,deepseek_v4_flash,plan_first,100,1.0,0.0
email,deepseek_v4_flash,spec_first,100,0.96,0.04
email,deepseek_v4_pro,direct,100,0.96,0.04
email,deepseek_v4_pro,plan_first,100,0.95,0.05
email,deepseek_v4_pro,spec_first,100,0.67,0.33
file_doc,deepseek_v4_flash,direct,100,0.99,0.01
file_doc,deepseek_v4_flash,plan_first,100,0.99,0.01
file_doc,deepseek_v4_flash,spec_first,100,0.97,0.03
file_doc,deepseek_v4_pro,direct,100,0.82,0.18
file_doc,deepseek_v4_pro,plan_first,100,0.91,0.09
file_doc,deepseek_v4_pro,spec_first,100,0.58,0.42
sheet_db,deepseek_v4_flash,direct,100,0.99,0.01
sheet_db,deepseek_v4_flash,plan_first,100,0.97,0.03
sheet_db,deepseek_v4_flash,spec_first,100,0.93,0.07
sheet_db,deepseek_v4_pro,direct,100,0.88,0.12
sheet_db,deepseek_v4_pro,plan_first,100,0.95,0.05
sheet_db,deepseek_v4_pro,spec_first,100,0.61,0.39
