task_id,domain,difficulty,model,agent,provider,provider_model,parse_status,parsed,fallback,attempts,latency_s,prompt_chars,raw_output_chars,prompt_tokens,completion_tokens,total_tokens
calendar_025,calendar,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,9.640401299999212,1989.0,995.0,454.0,401.0,855.0
calendar_073,calendar,L3,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,11.001962000009371,2052.0,1466.0,458.0,541.0,999.0
calendar_055,calendar,L3,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,11.793499299994437,1995.0,1302.0,448.0,569.0,1017.0
calendar_074,calendar,L3,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,12.203430999987177,2060.0,1429.0,459.0,647.0,1106.0
calendar_044,calendar,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,12.542102899999009,1988.0,1338.0,456.0,599.0,1055.0
calendar_077,calendar,L3,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,12.716871900003753,2031.0,1233.0,456.0,598.0,1054.0
calendar_078,calendar,L3,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,13.37054750000243,2033.0,1496.0,455.0,711.0,1166.0
calendar_082,calendar,L3,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,13.701489400002174,2000.0,1182.0,449.0,621.0,1070.0
calendar_080,calendar,L3,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,13.943881799990777,2001.0,1352.0,455.0,715.0,1170.0
calendar_061,calendar,L3,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,13.959158599987859,2023.0,1520.0,460.0,688.0,1148.0
calendar_041,calendar,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,13.974749899993185,2014.0,1505.0,455.0,719.0,1174.0
calendar_048,calendar,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,13.982819700002437,2006.0,1176.0,458.0,697.0,1155.0
