field,value,num_tasks,splits,num_domains,example_task_ids,leaks_across_dev_test
task_pattern,calendar_focus_block,40,dev|test,1,calendar_003|calendar_006|calendar_009|calendar_012|calendar_015|calendar_018|calendar_021|calendar_024,True
task_pattern,calendar_reschedule_review,40,dev|test,1,calendar_002|calendar_005|calendar_008|calendar_011|calendar_014|calendar_017|calendar_020|calendar_023,True
task_pattern,calendar_schedule_sync,40,dev|test,1,calendar_001|calendar_004|calendar_007|calendar_010|calendar_013|calendar_016|calendar_019|calendar_022,True
task_pattern,crm_close_escalation,40,dev|test,1,crm_workflow_001|crm_workflow_004|crm_workflow_007|crm_workflow_010|crm_workflow_013|crm_workflow_016|crm_workflow_019|crm_workflow_022,True
task_pattern,crm_reopen_sla,40,dev|test,1,crm_workflow_003|crm_workflow_006|crm_workflow_009|crm_workflow_012|crm_workflow_015|crm_workflow_018|crm_workflow_021|crm_workflow_024,True
task_pattern,crm_route_refund,40,dev|test,1,crm_workflow_002|crm_workflow_005|crm_workflow_008|crm_workflow_011|crm_workflow_014|crm_workflow_017|crm_workflow_020|crm_workflow_023,True
task_pattern,email_customer_reply,40,dev|test,1,email_002|email_005|email_008|email_011|email_014|email_017|email_020|email_023,True
task_pattern,email_forward_digest,40,dev|test,1,email_003|email_006|email_009|email_012|email_015|email_018|email_021|email_024,True
task_pattern,email_weekly_summary,40,dev|test,1,email_001|email_004|email_007|email_010|email_013|email_016|email_019|email_022,True
task_pattern,file_archive_contract,40,dev|test,1,file_doc_002|file_doc_005|file_doc_008|file_doc_011|file_doc_014|file_doc_017|file_doc_020|file_doc_023,True
task_pattern,file_revise_document,40,dev|test,1,file_doc_001|file_doc_004|file_doc_007|file_doc_010|file_doc_013|file_doc_016|file_doc_019|file_doc_022,True
task_pattern,file_share_packet,40,dev|test,1,file_doc_003|file_doc_006|file_doc_009|file_doc_012|file_doc_015|file_doc_018|file_doc_021|file_doc_024,True
task_pattern,sheet_append_forecast,40,dev|test,1,sheet_db_003|sheet_db_006|sheet_db_009|sheet_db_012|sheet_db_015|sheet_db_018|sheet_db_021|sheet_db_024,True
task_pattern,sheet_dedupe_contact,40,dev|test,1,sheet_db_002|sheet_db_005|sheet_db_008|sheet_db_011|sheet_db_014|sheet_db_017|sheet_db_020|sheet_db_023,True
task_pattern,sheet_update_account,40,dev|test,1,sheet_db_001|sheet_db_004|sheet_db_007|sheet_db_010|sheet_db_013|sheet_db_016|sheet_db_019|sheet_db_022,True
scenario_id,aurora_rollout,30,dev|test,5,calendar_001|calendar_002|calendar_003|calendar_079|calendar_080|calendar_081|crm_workflow_001|crm_workflow_002,True
scenario_id,beacon_renewal,30,dev|test,5,calendar_004|calendar_005|calendar_006|calendar_082|calendar_083|calendar_084|crm_workflow_004|crm_workflow_005,True
scenario_id,cedar_migration,30,dev|test,5,calendar_007|calendar_008|calendar_009|calendar_085|calendar_086|calendar_087|crm_workflow_007|crm_workflow_008,True
scenario_id,delta_pricing,30,dev|test,5,calendar_010|calendar_011|calendar_012|calendar_088|calendar_089|calendar_090|crm_workflow_010|crm_workflow_011,True
scenario_id,ember_followup,30,dev|test,5,calendar_013|calendar_014|calendar_015|calendar_091|calendar_092|calendar_093|crm_workflow_013|crm_workflow_014,True
scenario_id,fjord_launch,30,dev|test,5,calendar_016|calendar_017|calendar_018|calendar_094|calendar_095|calendar_096|crm_workflow_016|crm_workflow_017,True
scenario_id,granite_compliance,30,dev|test,5,calendar_019|calendar_020|calendar_021|calendar_097|calendar_098|calendar_099|crm_workflow_019|crm_workflow_020,True
scenario_id,harbor_onboarding,30,test,5,calendar_022|calendar_023|calendar_024|calendar_100|calendar_101|calendar_102|crm_workflow_022|crm_workflow_023,False
scenario_id,iris_qbr,30,test,5,calendar_025|calendar_026|calendar_027|calendar_103|calendar_104|calendar_105|crm_workflow_025|crm_workflow_026,False
scenario_id,juniper_vendor,30,test,5,calendar_028|calendar_029|calendar_030|calendar_106|calendar_107|calendar_108|crm_workflow_028|crm_workflow_029,False
scenario_id,keystone_billing,30,test,5,calendar_031|calendar_032|calendar_033|calendar_109|calendar_110|calendar_111|crm_workflow_031|crm_workflow_032,False
scenario_id,lumen_pilot,30,test,5,calendar_034|calendar_035|calendar_036|calendar_112|calendar_113|calendar_114|crm_workflow_034|crm_workflow_035,False
scenario_id,meridian_hiring,30,test,5,calendar_037|calendar_038|calendar_039|calendar_115|calendar_116|calendar_117|crm_workflow_037|crm_workflow_038,False
scenario_id,nimbus_security,30,test,5,calendar_040|calendar_041|calendar_042|calendar_118|calendar_119|calendar_120|crm_workflow_040|crm_workflow_041,False
scenario_id,orchard_campaign,15,test,5,calendar_043|calendar_044|calendar_045|crm_workflow_043|crm_workflow_044|crm_workflow_045|email_043|email_044,False
scenario_id,prairie_refresh,15,test,5,calendar_046|calendar_047|calendar_048|crm_workflow_046|crm_workflow_047|crm_workflow_048|email_046|email_047,False
scenario_id,quartz_roadmap,15,test,5,calendar_049|calendar_050|calendar_051|crm_workflow_049|crm_workflow_050|crm_workflow_051|email_049|email_050,False
scenario_id,ridge_budget,15,test,5,calendar_052|calendar_053|calendar_054|crm_workflow_052|crm_workflow_053|crm_workflow_054|email_052|email_053,False
scenario_id,summit_training,15,test,5,calendar_055|calendar_056|calendar_057|crm_workflow_055|crm_workflow_056|crm_workflow_057|email_055|email_056,False
scenario_id,tidal_procurement,15,test,5,calendar_058|calendar_059|calendar_060|crm_workflow_058|crm_workflow_059|crm_workflow_060|email_058|email_059,False
scenario_id,umbra_privacy,15,test,5,calendar_061|calendar_062|calendar_063|crm_workflow_061|crm_workflow_062|crm_workflow_063|email_061|email_062,False
scenario_id,vector_enablement,15,test,5,calendar_064|calendar_065|calendar_066|crm_workflow_064|crm_workflow_065|crm_workflow_066|email_064|email_065,False
scenario_id,willow_support,15,test,5,calendar_067|calendar_068|calendar_069|crm_workflow_067|crm_workflow_068|crm_workflow_069|email_067|email_068,False
scenario_id,xenon_incident,15,test,5,calendar_070|calendar_071|calendar_072|crm_workflow_070|crm_workflow_071|crm_workflow_072|email_070|email_071,False
scenario_id,yarrow_forecast,15,test,5,calendar_073|calendar_074|calendar_075|crm_workflow_073|crm_workflow_074|crm_workflow_075|email_073|email_074,False
scenario_id,zenith_contract,15,test,5,calendar_076|calendar_077|calendar_078|crm_workflow_076|crm_workflow_077|crm_workflow_078|email_076|email_077,False
criterion_signature,"[[""success"", ""state"", ""exists"", ""calendar.inspect_state""], [""success"", ""communication"", ""contains"", ""calendar.check_constraints""], [""success"", ""state"", ""equals"", ""calendar.inspect_state""], [""success"", ""state"", ""equals"", ""calendar.check_cons",24,test,1,calendar_097|calendar_098|calendar_099|calendar_100|calendar_101|calendar_102|calendar_103|calendar_104,False
criterion_signature,"[[""success"", ""state"", ""exists"", ""calendar.inspect_state""], [""success"", ""communication"", ""contains"", ""calendar.check_constraints""], [""success"", ""state"", ""equals"", ""calendar.inspect_state""], [""success"", ""state"", ""equals"", ""calendar.check_cons",42,test,1,calendar_055|calendar_056|calendar_057|calendar_058|calendar_059|calendar_060|calendar_061|calendar_062,False
criterion_signature,"[[""success"", ""state"", ""exists"", ""calendar.inspect_state""], [""success"", ""communication"", ""contains"", ""calendar.check_constraints""], [""success"", ""state"", ""equals"", ""calendar.inspect_state""], [""success"", ""state"", ""equals"", ""calendar.check_cons",36,dev|test,1,calendar_019|calendar_020|calendar_021|calendar_022|calendar_023|calendar_024|calendar_025|calendar_026,True
criterion_signature,"[[""success"", ""state"", ""exists"", ""calendar.inspect_state""], [""success"", ""communication"", ""contains"", ""calendar.check_constraints""], [""success"", ""state"", ""equals"", ""calendar.inspect_state""], [""success"", ""state"", ""equals"", ""calendar.check_cons",18,dev,1,calendar_001|calendar_002|calendar_003|calendar_004|calendar_005|calendar_006|calendar_007|calendar_008,False
criterion_signature,"[[""success"", ""state"", ""exists"", ""crm.inspect_state""], [""success"", ""communication"", ""contains"", ""crm.check_constraints""], [""success"", ""state"", ""equals"", ""crm.inspect_state""], [""success"", ""state"", ""equals"", ""crm.check_constraints""], [""success",24,test,1,crm_workflow_097|crm_workflow_098|crm_workflow_099|crm_workflow_100|crm_workflow_101|crm_workflow_102|crm_workflow_103|crm_workflow_104,False
criterion_signature,"[[""success"", ""state"", ""exists"", ""crm.inspect_state""], [""success"", ""communication"", ""contains"", ""crm.check_constraints""], [""success"", ""state"", ""equals"", ""crm.inspect_state""], [""success"", ""state"", ""equals"", ""crm.check_constraints""], [""success",42,test,1,crm_workflow_055|crm_workflow_056|crm_workflow_057|crm_workflow_058|crm_workflow_059|crm_workflow_060|crm_workflow_061|crm_workflow_062,False
criterion_signature,"[[""success"", ""state"", ""exists"", ""crm.inspect_state""], [""success"", ""communication"", ""contains"", ""crm.check_constraints""], [""success"", ""state"", ""equals"", ""crm.inspect_state""], [""success"", ""state"", ""equals"", ""crm.check_constraints""], [""success",36,dev|test,1,crm_workflow_019|crm_workflow_020|crm_workflow_021|crm_workflow_022|crm_workflow_023|crm_workflow_024|crm_workflow_025|crm_workflow_026,True
criterion_signature,"[[""success"", ""state"", ""exists"", ""crm.inspect_state""], [""success"", ""communication"", ""contains"", ""crm.check_constraints""], [""success"", ""state"", ""equals"", ""crm.inspect_state""], [""success"", ""state"", ""equals"", ""crm.check_constraints""], [""success",18,dev,1,crm_workflow_001|crm_workflow_002|crm_workflow_003|crm_workflow_004|crm_workflow_005|crm_workflow_006|crm_workflow_007|crm_workflow_008,False
