task_pattern,split,size
calendar_focus_block,dev,3
calendar_focus_block,test,17
calendar_reschedule_review,dev,3
calendar_reschedule_review,test,17
calendar_schedule_sync,dev,4
calendar_schedule_sync,test,16
crm_close_escalation,dev,4
crm_close_escalation,test,16
crm_reopen_sla,dev,3
crm_reopen_sla,test,17
crm_route_refund,dev,3
crm_route_refund,test,17
email_customer_reply,dev,3
email_customer_reply,test,17
email_forward_digest,dev,3
email_forward_digest,test,17
email_weekly_summary,dev,4
email_weekly_summary,test,16
file_archive_contract,dev,3
file_archive_contract,test,17
file_revise_document,dev,4
file_revise_document,test,16
file_share_packet,dev,3
file_share_packet,test,17
sheet_append_forecast,dev,3
sheet_append_forecast,test,17
sheet_dedupe_contact,dev,3
sheet_dedupe_contact,test,17
sheet_update_account,dev,4
sheet_update_account,test,16
