task_id,domain,difficulty,split,task_pattern,goal_chars,num_hard_atoms,num_failure_atoms,num_required_observations,num_near_misses,mutation_taxa
calendar_001,calendar,L1,dev,calendar_schedule_sync,206,9,2,2,5,conflict_injection|participant_omission|policy_confirmation_missing|terminal_state_incomplete|unrelated_side_effect
calendar_002,calendar,L1,dev,calendar_reschedule_review,215,9,2,2,5,conflict_injection|participant_omission|policy_confirmation_missing|terminal_state_incomplete|unrelated_side_effect
calendar_003,calendar,L1,dev,calendar_focus_block,195,9,2,2,5,conflict_injection|participant_omission|policy_confirmation_missing|terminal_state_incomplete|unrelated_side_effect
calendar_004,calendar,L1,dev,calendar_schedule_sync,184,9,2,2,5,conflict_injection|participant_omission|policy_confirmation_missing|terminal_state_incomplete|unrelated_side_effect
calendar_005,calendar,L1,dev,calendar_reschedule_review,217,9,2,2,5,conflict_injection|participant_omission|policy_confirmation_missing|terminal_state_incomplete|unrelated_side_effect
calendar_006,calendar,L1,dev,calendar_focus_block,212,9,2,2,5,conflict_injection|participant_omission|policy_confirmation_missing|terminal_state_incomplete|unrelated_side_effect
calendar_007,calendar,L1,dev,calendar_schedule_sync,191,9,2,2,5,conflict_injection|participant_omission|policy_confirmation_missing|terminal_state_incomplete|unrelated_side_effect
calendar_008,calendar,L1,dev,calendar_reschedule_review,200,9,2,2,5,conflict_injection|participant_omission|policy_confirmation_missing|terminal_state_incomplete|unrelated_side_effect
calendar_009,calendar,L1,dev,calendar_focus_block,212,9,2,2,5,conflict_injection|participant_omission|policy_confirmation_missing|terminal_state_incomplete|unrelated_side_effect
calendar_010,calendar,L2,dev,calendar_schedule_sync,215,10,2,2,5,conflict_injection|participant_omission|policy_confirmation_missing|terminal_state_incomplete|unrelated_side_effect
calendar_011,calendar,L2,test,calendar_reschedule_review,212,10,2,2,5,conflict_injection|participant_omission|policy_confirmation_missing|terminal_state_incomplete|unrelated_side_effect
calendar_012,calendar,L2,test,calendar_focus_block,200,10,2,2,5,conflict_injection|participant_omission|policy_confirmation_missing|terminal_state_incomplete|unrelated_side_effect
calendar_013,calendar,L2,test,calendar_schedule_sync,225,10,2,2,5,conflict_injection|participant_omission|policy_confirmation_missing|terminal_state_incomplete|unrelated_side_effect
calendar_014,calendar,L2,test,calendar_reschedule_review,231,10,2,2,5,conflict_injection|participant_omission|policy_confirmation_missing|terminal_state_incomplete|unrelated_side_effect
calendar_015,calendar,L2,test,calendar_focus_block,211,10,2,2,5,conflict_injection|participant_omission|policy_confirmation_missing|terminal_state_incomplete|unrelated_side_effect
calendar_016,calendar,L2,test,calendar_schedule_sync,195,10,2,2,5,conflict_injection|participant_omission|policy_confirmation_missing|terminal_state_incomplete|unrelated_side_effect
calendar_017,calendar,L2,test,calendar_reschedule_review,228,10,2,2,5,conflict_injection|participant_omission|policy_confirmation_missing|terminal_state_incomplete|unrelated_side_effect
calendar_018,calendar,L2,test,calendar_focus_block,226,10,2,2,5,conflict_injection|participant_omission|policy_confirmation_missing|terminal_state_incomplete|unrelated_side_effect
calendar_019,calendar,L2,test,calendar_schedule_sync,204,10,2,2,5,conflict_injection|participant_omission|policy_confirmation_missing|terminal_state_incomplete|unrelated_side_effect
calendar_020,calendar,L2,test,calendar_reschedule_review,208,10,2,2,5,conflict_injection|participant_omission|policy_confirmation_missing|terminal_state_incomplete|unrelated_side_effect
calendar_021,calendar,L2,test,calendar_focus_block,225,10,2,2,5,conflict_injection|participant_omission|policy_confirmation_missing|terminal_state_incomplete|unrelated_side_effect
calendar_022,calendar,L2,test,calendar_schedule_sync,217,10,2,2,5,conflict_injection|participant_omission|policy_confirmation_missing|terminal_state_incomplete|unrelated_side_effect
calendar_023,calendar,L2,test,calendar_reschedule_review,213,10,2,2,5,conflict_injection|participant_omission|policy_confirmation_missing|terminal_state_incomplete|unrelated_side_effect
calendar_024,calendar,L2,test,calendar_focus_block,198,10,2,2,5,conflict_injection|participant_omission|policy_confirmation_missing|terminal_state_incomplete|unrelated_side_effect
calendar_025,calendar,L2,test,calendar_schedule_sync,210,10,2,2,5,conflict_injection|participant_omission|policy_confirmation_missing|terminal_state_incomplete|unrelated_side_effect
calendar_026,calendar,L2,test,calendar_reschedule_review,219,10,2,2,5,conflict_injection|participant_omission|policy_confirmation_missing|terminal_state_incomplete|unrelated_side_effect
calendar_027,calendar,L2,test,calendar_focus_block,199,10,2,2,5,conflict_injection|participant_omission|policy_confirmation_missing|terminal_state_incomplete|unrelated_side_effect
calendar_028,calendar,L3,test,calendar_schedule_sync,198,11,3,2,5,conflict_injection|participant_omission|policy_confirmation_missing|terminal_state_incomplete|unrelated_side_effect
calendar_029,calendar,L3,test,calendar_reschedule_review,227,11,3,2,5,conflict_injection|participant_omission|policy_confirmation_missing|terminal_state_incomplete|unrelated_side_effect
calendar_030,calendar,L3,test,calendar_focus_block,220,11,3,2,5,conflict_injection|participant_omission|policy_confirmation_missing|terminal_state_incomplete|unrelated_side_effect
calendar_031,calendar,L3,test,calendar_schedule_sync,213,11,3,2,5,conflict_injection|participant_omission|policy_confirmation_missing|terminal_state_incomplete|unrelated_side_effect
calendar_032,calendar,L3,test,calendar_reschedule_review,219,11,3,2,5,conflict_injection|participant_omission|policy_confirmation_missing|terminal_state_incomplete|unrelated_side_effect
calendar_033,calendar,L3,test,calendar_focus_block,235,11,3,2,5,conflict_injection|participant_omission|policy_confirmation_missing|terminal_state_incomplete|unrelated_side_effect
calendar_034,calendar,L3,test,calendar_schedule_sync,234,11,3,2,5,conflict_injection|participant_omission|policy_confirmation_missing|terminal_state_incomplete|unrelated_side_effect
calendar_035,calendar,L3,test,calendar_reschedule_review,230,11,3,2,5,conflict_injection|participant_omission|policy_confirmation_missing|terminal_state_incomplete|unrelated_side_effect
calendar_036,calendar,L3,test,calendar_focus_block,218,11,3,2,5,conflict_injection|participant_omission|policy_confirmation_missing|terminal_state_incomplete|unrelated_side_effect
calendar_037,calendar,L3,test,calendar_schedule_sync,234,11,3,2,5,conflict_injection|participant_omission|policy_confirmation_missing|terminal_state_incomplete|unrelated_side_effect
calendar_038,calendar,L3,test,calendar_reschedule_review,246,11,3,2,5,conflict_injection|participant_omission|policy_confirmation_missing|terminal_state_incomplete|unrelated_side_effect
calendar_039,calendar,L3,test,calendar_focus_block,222,11,3,2,5,conflict_injection|participant_omission|policy_confirmation_missing|terminal_state_incomplete|unrelated_side_effect
calendar_040,calendar,L3,test,calendar_schedule_sync,211,11,3,2,5,conflict_injection|participant_omission|policy_confirmation_missing|terminal_state_incomplete|unrelated_side_effect
calendar_041,calendar,L3,test,calendar_reschedule_review,245,11,3,2,5,conflict_injection|participant_omission|policy_confirmation_missing|terminal_state_incomplete|unrelated_side_effect
calendar_042,calendar,L3,test,calendar_focus_block,240,11,3,2,5,conflict_injection|participant_omission|policy_confirmation_missing|terminal_state_incomplete|unrelated_side_effect
calendar_043,calendar,L3,test,calendar_schedule_sync,222,11,3,2,5,conflict_injection|participant_omission|policy_confirmation_missing|terminal_state_incomplete|unrelated_side_effect
calendar_044,calendar,L3,test,calendar_reschedule_review,225,11,3,2,5,conflict_injection|participant_omission|policy_confirmation_missing|terminal_state_incomplete|unrelated_side_effect
calendar_045,calendar,L3,test,calendar_focus_block,241,11,3,2,5,conflict_injection|participant_omission|policy_confirmation_missing|terminal_state_incomplete|unrelated_side_effect
calendar_046,calendar,L3,test,calendar_schedule_sync,223,11,3,2,5,conflict_injection|participant_omission|policy_confirmation_missing|terminal_state_incomplete|unrelated_side_effect
calendar_047,calendar,L3,test,calendar_reschedule_review,219,11,3,2,5,conflict_injection|participant_omission|policy_confirmation_missing|terminal_state_incomplete|unrelated_side_effect
calendar_048,calendar,L3,test,calendar_focus_block,210,11,3,2,5,conflict_injection|participant_omission|policy_confirmation_missing|terminal_state_incomplete|unrelated_side_effect
calendar_049,calendar,L4,test,calendar_schedule_sync,230,12,3,2,5,conflict_injection|participant_omission|policy_confirmation_missing|terminal_state_incomplete|unrelated_side_effect
calendar_050,calendar,L4,test,calendar_reschedule_review,237,12,3,2,5,conflict_injection|participant_omission|policy_confirmation_missing|terminal_state_incomplete|unrelated_side_effect
calendar_051,calendar,L4,test,calendar_focus_block,218,12,3,2,5,conflict_injection|participant_omission|policy_confirmation_missing|terminal_state_incomplete|unrelated_side_effect
calendar_052,calendar,L4,test,calendar_schedule_sync,195,12,3,2,5,conflict_injection|participant_omission|policy_confirmation_missing|terminal_state_incomplete|unrelated_side_effect
calendar_053,calendar,L4,test,calendar_reschedule_review,228,12,3,2,5,conflict_injection|participant_omission|policy_confirmation_missing|terminal_state_incomplete|unrelated_side_effect
calendar_054,calendar,L4,test,calendar_focus_block,220,12,3,2,5,conflict_injection|participant_omission|policy_confirmation_missing|terminal_state_incomplete|unrelated_side_effect
calendar_055,calendar,L4,test,calendar_schedule_sync,207,12,3,2,5,conflict_injection|participant_omission|policy_confirmation_missing|terminal_state_incomplete|unrelated_side_effect
calendar_056,calendar,L4,test,calendar_reschedule_review,213,12,3,2,5,conflict_injection|participant_omission|policy_confirmation_missing|terminal_state_incomplete|unrelated_side_effect
calendar_057,calendar,L4,test,calendar_focus_block,229,12,3,2,5,conflict_injection|participant_omission|policy_confirmation_missing|terminal_state_incomplete|unrelated_side_effect
calendar_058,calendar,L4,test,calendar_schedule_sync,232,12,3,2,5,conflict_injection|participant_omission|policy_confirmation_missing|terminal_state_incomplete|unrelated_side_effect
calendar_059,calendar,L4,test,calendar_reschedule_review,224,12,3,2,5,conflict_injection|participant_omission|policy_confirmation_missing|terminal_state_incomplete|unrelated_side_effect
calendar_060,calendar,L4,test,calendar_focus_block,210,12,3,2,5,conflict_injection|participant_omission|policy_confirmation_missing|terminal_state_incomplete|unrelated_side_effect
crm_workflow_001,crm_workflow,L1,dev,crm_close_escalation,163,9,2,2,5,conflict_injection|participant_omission|policy_confirmation_missing|terminal_state_incomplete|unrelated_side_effect
crm_workflow_002,crm_workflow,L1,dev,crm_route_refund,173,9,2,2,5,conflict_injection|participant_omission|policy_confirmation_missing|terminal_state_incomplete|unrelated_side_effect
crm_workflow_003,crm_workflow,L1,dev,crm_reopen_sla,170,9,2,2,5,conflict_injection|participant_omission|policy_confirmation_missing|terminal_state_incomplete|unrelated_side_effect
