scenario_id,split,size
aurora_rollout,dev,15
aurora_rollout,test,15
beacon_renewal,dev,15
beacon_renewal,test,15
cedar_migration,dev,15
cedar_migration,test,15
delta_pricing,dev,15
delta_pricing,test,15
ember_followup,dev,15
ember_followup,test,15
fjord_launch,dev,15
fjord_launch,test,15
granite_compliance,dev,10
granite_compliance,test,20
harbor_onboarding,test,30
iris_qbr,test,30
juniper_vendor,test,30
keystone_billing,test,30
lumen_pilot,test,30
meridian_hiring,test,30
nimbus_security,test,30
orchard_campaign,test,15
prairie_refresh,test,15
quartz_roadmap,test,15
ridge_budget,test,15
summit_training,test,15
tidal_procurement,test,15
umbra_privacy,test,15
vector_enablement,test,15
willow_support,test,15
xenon_incident,test,15
yarrow_forecast,test,15
zenith_contract,test,15
