model,agent,execution_mode,spec_parse_status,action_parse_status,n
deepseek_v4_flash,direct,tool_plan_executor,fallback,invalid_no_fallback,2
deepseek_v4_flash,direct,tool_plan_executor,fallback,parsed,2
deepseek_v4_flash,direct,tool_plan_executor,parsed,invalid_no_fallback,110
deepseek_v4_flash,direct,tool_plan_executor,parsed,parsed,136
deepseek_v4_flash,plan_first,tool_plan_executor,fallback,invalid_no_fallback,6
deepseek_v4_flash,plan_first,tool_plan_executor,fallback,parsed,4
deepseek_v4_flash,plan_first,tool_plan_executor,parsed,invalid_no_fallback,103
deepseek_v4_flash,plan_first,tool_plan_executor,parsed,parsed,137
deepseek_v4_flash,spec_first,tool_plan_executor,fallback,invalid_no_fallback,1
deepseek_v4_flash,spec_first,tool_plan_executor,fallback,parsed,31
deepseek_v4_flash,spec_first,tool_plan_executor,parsed,invalid_no_fallback,92
deepseek_v4_flash,spec_first,tool_plan_executor,parsed,parsed,126
deepseek_v4_pro,direct,tool_plan_executor,fallback,invalid_no_fallback,22
deepseek_v4_pro,direct,tool_plan_executor,fallback,parsed,10
deepseek_v4_pro,direct,tool_plan_executor,parsed,invalid_no_fallback,151
deepseek_v4_pro,direct,tool_plan_executor,parsed,parsed,67
deepseek_v4_pro,plan_first,tool_plan_executor,fallback,invalid_no_fallback,19
deepseek_v4_pro,plan_first,tool_plan_executor,fallback,parsed,10
deepseek_v4_pro,plan_first,tool_plan_executor,parsed,invalid_no_fallback,160
deepseek_v4_pro,plan_first,tool_plan_executor,parsed,parsed,61
deepseek_v4_pro,spec_first,tool_plan_executor,fallback,invalid_no_fallback,10
deepseek_v4_pro,spec_first,tool_plan_executor,fallback,parsed,86
deepseek_v4_pro,spec_first,tool_plan_executor,parsed,invalid_no_fallback,79
deepseek_v4_pro,spec_first,tool_plan_executor,parsed,parsed,75
