model,provider_model,agent,input_tokens,output_tokens,latency_s,attempts,token_estimated,estimated_cost_usd
deepseek_v4_flash,deepseek-v4-flash,direct,444,433,8.746418700000504,1,False,0.0001834
deepseek_v4_flash,deepseek-v4-flash,direct,439,938,15.722603300000628,1,False,0.0003241
deepseek_v4_flash,deepseek-v4-flash,direct,455,776,12.793561699996644,1,False,0.00028098
deepseek_v4_flash,deepseek-v4-flash,direct,439,777,12.969257000000653,1,False,0.00027902000000000005
deepseek_v4_flash,deepseek-v4-flash,direct,446,1000,17.06995470000038,1,False,0.00034244
deepseek_v4_flash,deepseek-v4-flash,direct,472,783,14.760512400000152,1,False,0.00028532000000000004
deepseek_v4_flash,deepseek-v4-flash,direct,447,1044,17.851689200000692,1,False,0.0003549
deepseek_v4_flash,deepseek-v4-flash,direct,473,466,8.938258300000598,1,False,0.00019670000000000004
deepseek_v4_flash,deepseek-v4-flash,direct,446,698,12.307757099999435,1,False,0.00025788000000000004
deepseek_v4_flash,deepseek-v4-flash,direct,471,1251,19.37632350000058,1,False,0.00041622
deepseek_v4_flash,deepseek-v4-flash,direct,449,1226,20.295510200001445,1,False,0.00040614000000000004
deepseek_v4_flash,deepseek-v4-flash,direct,447,598,10.924193099999684,1,False,0.00023002000000000005
deepseek_v4_flash,deepseek-v4-flash,direct,444,673,12.03572659999918,1,False,0.0002506
deepseek_v4_flash,deepseek-v4-flash,direct,451,794,13.06086189999769,1,False,0.00028546
deepseek_v4_flash,deepseek-v4-flash,direct,451,1575,25.633862799997587,1,False,0.00050414
deepseek_v4_flash,deepseek-v4-flash,direct,436,1159,18.014925600000424,1,False,0.00038556000000000007
deepseek_v4_flash,deepseek-v4-flash,direct,456,772,12.493665000001783,1,False,0.00028
deepseek_v4_flash,deepseek-v4-flash,direct,454,1207,19.9084397000006,1,False,0.00040152000000000005
deepseek_v4_flash,deepseek-v4-flash,direct,453,738,12.575486800000363,1,False,0.00027006
deepseek_v4_flash,deepseek-v4-flash,direct,454,763,13.486733199999435,1,False,0.00027720000000000007
deepseek_v4_flash,deepseek-v4-flash,direct,470,798,13.855808299998898,1,False,0.00028924
deepseek_v4_flash,deepseek-v4-flash,direct,468,802,14.162045099998068,1,False,0.00029008
deepseek_v4_flash,deepseek-v4-flash,direct,444,681,12.699548200002027,1,False,0.00025284
deepseek_v4_flash,deepseek-v4-flash,direct,470,667,12.220192400000087,1,False,0.00025256000000000003
deepseek_v4_flash,deepseek-v4-flash,direct,468,852,15.172940699998435,1,False,0.00030408000000000003
deepseek_v4_flash,deepseek-v4-flash,direct,447,978,15.63329750000048,1,False,0.00033642000000000003
deepseek_v4_flash,deepseek-v4-flash,direct,459,1344,22.62366519999705,1,False,0.00044058000000000004
deepseek_v4_flash,deepseek-v4-flash,direct,448,1208,20.4606062999992,1,False,0.00040096
deepseek_v4_flash,deepseek-v4-flash,direct,456,1093,17.178527699998085,1,False,0.00036988
deepseek_v4_flash,deepseek-v4-flash,direct,447,819,14.400000899997394,1,False,0.00029190000000000005
deepseek_v4_flash,deepseek-v4-flash,direct,441,1244,21.24220620000051,1,False,0.00041006000000000007
deepseek_v4_flash,deepseek-v4-flash,direct,439,1242,21.194309800001065,1,False,0.00040922
deepseek_v4_flash,deepseek-v4-flash,direct,441,975,15.451216000001295,1,False,0.00033474
deepseek_v4_flash,deepseek-v4-flash,direct,447,1493,24.578129599998647,1,False,0.00048062
deepseek_v4_flash,deepseek-v4-flash,direct,467,1390,21.331818499998917,1,False,0.00045458000000000006
deepseek_v4_flash,deepseek-v4-flash,direct,445,1092,17.120369899999787,1,False,0.0003680600000000001
deepseek_v4_flash,deepseek-v4-flash,direct,455,974,16.901953700002196,1,False,0.00033642000000000003
deepseek_v4_flash,deepseek-v4-flash,direct,449,1872,30.08701810000275,1,False,0.0005870200000000001
deepseek_v4_flash,deepseek-v4-flash,direct,448,1167,19.869886700002098,1,False,0.0003894800000000001
deepseek_v4_flash,deepseek-v4-flash,direct,448,1430,23.23164109999925,1,False,0.0004631200000000001
deepseek_v4_flash,deepseek-v4-flash,direct,456,1083,18.073224700001447,1,False,0.00036708000000000004
deepseek_v4_flash,deepseek-v4-flash,direct,453,1278,21.613203400000202,1,False,0.00042126000000000007
deepseek_v4_flash,deepseek-v4-flash,direct,446,1433,24.05672059999779,1,False,0.00046368000000000006
deepseek_v4_flash,deepseek-v4-flash,direct,465,1205,19.864469900003314,1,False,0.0004025000000000001
deepseek_v4_flash,deepseek-v4-flash,direct,465,1570,26.05860920000123,1,False,0.0005047000000000001
deepseek_v4_flash,deepseek-v4-flash,direct,434,1303,20.855904799998825,1,False,0.00042560000000000005
deepseek_v4_flash,deepseek-v4-flash,direct,441,1338,22.601912099999026,1,False,0.00043638000000000005
deepseek_v4_flash,deepseek-v4-flash,direct,451,1366,22.731829500000458,1,False,0.00044562
deepseek_v4_flash,deepseek-v4-flash,direct,456,1662,25.768242699999973,1,False,0.0005292000000000001
deepseek_v4_flash,deepseek-v4-flash,direct,470,1368,22.43746480000118,1,False,0.00044884000000000005
deepseek_v4_flash,deepseek-v4-flash,direct,446,2208,33.504638700000214,1,False,0.00068068
deepseek_v4_flash,deepseek-v4-flash,direct,452,1449,23.642088700002205,1,False,0.00046900000000000007
