domain,model,agent,n,parse_rate,fallback_rate
calendar,deepseek_v4_flash,direct,50,0.96,0.04
calendar,deepseek_v4_flash,plan_first,50,0.96,0.04
calendar,deepseek_v4_flash,spec_first,50,0.9,0.1
calendar,deepseek_v4_pro,direct,50,0.94,0.06
calendar,deepseek_v4_pro,plan_first,50,0.9,0.1
calendar,deepseek_v4_pro,spec_first,50,0.72,0.28
crm_workflow,deepseek_v4_flash,direct,50,0.98,0.02
crm_workflow,deepseek_v4_flash,plan_first,50,0.9,0.1
crm_workflow,deepseek_v4_flash,spec_first,50,0.82,0.18
crm_workflow,deepseek_v4_pro,direct,50,0.76,0.24
crm_workflow,deepseek_v4_pro,plan_first,50,0.86,0.14
crm_workflow,deepseek_v4_pro,spec_first,50,0.56,0.44
email,deepseek_v4_flash,direct,50,1.0,0.0
email,deepseek_v4_flash,plan_first,50,1.0,0.0
email,deepseek_v4_flash,spec_first,50,0.98,0.02
email,deepseek_v4_pro,direct,50,0.92,0.08
email,deepseek_v4_pro,plan_first,50,1.0,0.0
email,deepseek_v4_pro,spec_first,50,0.72,0.28
file_doc,deepseek_v4_flash,direct,50,0.98,0.02
file_doc,deepseek_v4_flash,plan_first,50,1.0,0.0
file_doc,deepseek_v4_flash,spec_first,50,0.84,0.16
file_doc,deepseek_v4_pro,direct,50,0.92,0.08
file_doc,deepseek_v4_pro,plan_first,50,0.9,0.1
file_doc,deepseek_v4_pro,spec_first,50,0.62,0.38
sheet_db,deepseek_v4_flash,direct,50,1.0,0.0
sheet_db,deepseek_v4_flash,plan_first,50,0.94,0.06
sheet_db,deepseek_v4_flash,spec_first,50,0.82,0.18
sheet_db,deepseek_v4_pro,direct,50,0.82,0.18
sheet_db,deepseek_v4_pro,plan_first,50,0.76,0.24
sheet_db,deepseek_v4_pro,spec_first,50,0.46,0.54
