task_id,domain,difficulty,model,agent,provider,provider_model,parse_status,parsed,fallback,attempts,latency_s,prompt_chars,raw_output_chars,prompt_tokens,completion_tokens,total_tokens
email_022,email,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,8.746418700000504,1923.0,687.0,444.0,433.0,877.0
email_029,email,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,15.722603300000628,1915.0,1341.0,439.0,938.0,1377.0
file_doc_028,file_doc,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,12.793561699996644,1949.0,1850.0,455.0,776.0,1231.0
email_025,email,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,12.969257000000653,1892.0,939.0,439.0,777.0,1216.0
file_doc_029,file_doc,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,17.06995470000038,1908.0,1419.0,446.0,1000.0,1446.0
crm_workflow_028,crm_workflow,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,14.760512400000152,1987.0,1496.0,472.0,783.0,1255.0
file_doc_027,file_doc,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,17.851689200000692,1902.0,1752.0,447.0,1044.0,1491.0
crm_workflow_027,crm_workflow,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,8.938258300000598,1957.0,1096.0,473.0,466.0,939.0
email_028,email,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,12.307757099999435,1948.0,1311.0,446.0,698.0,1144.0
crm_workflow_024,crm_workflow,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,19.37632350000058,1971.0,1259.0,471.0,1251.0,1722.0
calendar_027,calendar,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,20.295510200001445,1987.0,2182.0,449.0,1226.0,1675.0
file_doc_021,file_doc,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,10.924193099999684,1898.0,1080.0,447.0,598.0,1045.0
file_doc_026,file_doc,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,12.03572659999918,1913.0,1067.0,444.0,673.0,1117.0
calendar_022,calendar,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,13.06086189999769,2002.0,1490.0,451.0,794.0,1245.0
sheet_db_025,sheet_db,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,25.633862799997587,1902.0,1433.0,451.0,1575.0,2026.0
email_027,email,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,18.014925600000424,1919.0,1800.0,436.0,1159.0,1595.0
calendar_021,calendar,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,12.493665000001783,2008.0,1440.0,456.0,772.0,1228.0
sheet_db_022,sheet_db,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,19.9084397000006,1936.0,1279.0,454.0,1207.0,1661.0
calendar_030,calendar,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,12.575486800000363,2009.0,1485.0,453.0,738.0,1191.0
calendar_024,calendar,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,13.486733199999435,1988.0,1780.0,454.0,763.0,1217.0
crm_workflow_023,crm_workflow,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,13.855808299998898,1961.0,1011.0,470.0,798.0,1268.0
crm_workflow_030,crm_workflow,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,14.162045099998068,1964.0,1856.0,468.0,802.0,1270.0
email_022,email,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,12.699548200002027,1923.0,1048.0,444.0,681.0,1125.0
