domain,model,agent,n,cc_f1,donespec_valid,near_miss_detection_rate,task_success,self_violation_rate
calendar,deepseek_v4_flash,direct,50,0.38596746390864034,1.0,0.6000000000000001,0.0,1.0
calendar,deepseek_v4_flash,plan_first,50,0.390652445593622,1.0,0.6000000000000001,0.0,1.0
calendar,deepseek_v4_flash,spec_first,50,0.4903928032751562,0.84,0.504,0.06,0.9133333333333334
calendar,deepseek_v4_pro,direct,50,0.4901256289290344,0.96,0.5760000000000001,0.0,1.0
calendar,deepseek_v4_pro,plan_first,50,0.5138551317963083,0.9,0.54,0.0,1.0
calendar,deepseek_v4_pro,spec_first,50,0.6346426775838541,0.72,0.43200000000000005,0.1,0.9
crm_workflow,deepseek_v4_flash,direct,50,0.4997241973712561,1.0,0.6000000000000001,0.0,1.0
crm_workflow,deepseek_v4_flash,plan_first,50,0.5961683545212957,1.0,0.6000000000000001,0.0,1.0
crm_workflow,deepseek_v4_flash,spec_first,50,0.6471097464626877,0.9,0.54,0.22,0.77
crm_workflow,deepseek_v4_pro,direct,50,0.6825613108941282,0.94,0.5640000000000001,0.0,1.0
crm_workflow,deepseek_v4_pro,plan_first,50,0.6140691302161889,0.9,0.54,0.0,1.0
crm_workflow,deepseek_v4_pro,spec_first,50,0.7651738225654633,0.7,0.42,0.22,0.78
email,deepseek_v4_flash,direct,50,0.421729368670545,1.0,0.6000000000000001,0.0,1.0
email,deepseek_v4_flash,plan_first,50,0.4701649069884363,1.0,0.6000000000000001,0.0,1.0
email,deepseek_v4_flash,spec_first,50,0.5525471257328842,0.86,0.5160000000000001,0.32,0.68
email,deepseek_v4_pro,direct,50,0.5657047067139946,0.98,0.5880000000000001,0.0,1.0
email,deepseek_v4_pro,plan_first,50,0.508575235222294,0.92,0.552,0.0,1.0
email,deepseek_v4_pro,spec_first,50,0.6509880867326686,0.86,0.5160000000000001,0.36,0.6
file_doc,deepseek_v4_flash,direct,50,0.46641172879408166,1.0,0.6000000000000001,0.0,1.0
file_doc,deepseek_v4_flash,plan_first,50,0.5298412074681424,0.96,0.5760000000000001,0.0,1.0
file_doc,deepseek_v4_flash,spec_first,50,0.6506973542453419,0.88,0.5280000000000001,0.0,0.7
file_doc,deepseek_v4_pro,direct,50,0.5740608988534684,0.98,0.5880000000000001,0.0,1.0
file_doc,deepseek_v4_pro,plan_first,50,0.6079535395804746,0.94,0.5640000000000001,0.0,1.0
file_doc,deepseek_v4_pro,spec_first,50,0.6957313362591999,0.68,0.40800000000000003,0.0,0.68
sheet_db,deepseek_v4_flash,direct,50,0.49553372118078004,1.0,0.6000000000000001,0.0,1.0
sheet_db,deepseek_v4_flash,plan_first,50,0.536902032607915,0.98,0.5880000000000001,0.0,1.0
sheet_db,deepseek_v4_flash,spec_first,50,0.6628299047014217,0.94,0.5640000000000001,0.0,0.84
sheet_db,deepseek_v4_pro,direct,50,0.6652171227465344,0.98,0.5880000000000001,0.0,1.0
sheet_db,deepseek_v4_pro,plan_first,50,0.6477018337699453,0.98,0.5880000000000001,0.0,1.0
sheet_db,deepseek_v4_pro,spec_first,50,0.7602679473948822,0.82,0.49200000000000005,0.0,0.72
