model,agent,task_id,k,task_success_pass_at_k,donespec_valid_pass_at_k,all_trials_consistent_success
deepseek_v4_flash,direct,calendar_021,5,0.0,1.0,1.0
deepseek_v4_flash,direct,calendar_022,5,0.0,1.0,1.0
deepseek_v4_flash,direct,calendar_023,5,0.0,1.0,1.0
deepseek_v4_flash,direct,calendar_024,5,0.0,1.0,1.0
deepseek_v4_flash,direct,calendar_025,5,0.0,1.0,1.0
deepseek_v4_flash,direct,calendar_026,5,0.0,1.0,1.0
deepseek_v4_flash,direct,calendar_027,5,0.0,1.0,1.0
deepseek_v4_flash,direct,calendar_028,5,0.0,1.0,1.0
deepseek_v4_flash,direct,calendar_029,5,0.0,1.0,1.0
deepseek_v4_flash,direct,calendar_030,5,0.0,1.0,1.0
deepseek_v4_flash,direct,crm_workflow_021,5,0.0,1.0,1.0
deepseek_v4_flash,direct,crm_workflow_022,5,0.0,1.0,1.0
deepseek_v4_flash,direct,crm_workflow_023,5,0.0,1.0,1.0
deepseek_v4_flash,direct,crm_workflow_024,5,0.0,1.0,1.0
deepseek_v4_flash,direct,crm_workflow_025,5,0.0,1.0,1.0
deepseek_v4_flash,direct,crm_workflow_026,5,0.0,1.0,1.0
deepseek_v4_flash,direct,crm_workflow_027,5,0.0,1.0,1.0
deepseek_v4_flash,direct,crm_workflow_028,5,0.0,1.0,1.0
deepseek_v4_flash,direct,crm_workflow_029,5,0.0,1.0,1.0
deepseek_v4_flash,direct,crm_workflow_030,5,0.0,1.0,1.0
deepseek_v4_flash,direct,email_021,5,0.0,1.0,1.0
deepseek_v4_flash,direct,email_022,5,0.0,1.0,1.0
deepseek_v4_flash,direct,email_023,5,0.0,1.0,1.0
deepseek_v4_flash,direct,email_024,5,0.0,1.0,1.0
deepseek_v4_flash,direct,email_025,5,0.0,1.0,1.0
deepseek_v4_flash,direct,email_026,5,0.0,1.0,1.0
deepseek_v4_flash,direct,email_027,5,0.0,1.0,1.0
deepseek_v4_flash,direct,email_028,5,0.0,1.0,1.0
deepseek_v4_flash,direct,email_029,5,0.0,1.0,1.0
deepseek_v4_flash,direct,email_030,5,0.0,1.0,1.0
deepseek_v4_flash,direct,file_doc_021,5,0.0,1.0,1.0
deepseek_v4_flash,direct,file_doc_022,5,0.0,1.0,1.0
deepseek_v4_flash,direct,file_doc_023,5,0.0,1.0,1.0
deepseek_v4_flash,direct,file_doc_024,5,0.0,1.0,1.0
deepseek_v4_flash,direct,file_doc_025,5,0.0,1.0,1.0
deepseek_v4_flash,direct,file_doc_026,5,0.0,1.0,1.0
deepseek_v4_flash,direct,file_doc_027,5,0.0,1.0,1.0
deepseek_v4_flash,direct,file_doc_028,5,0.0,1.0,1.0
deepseek_v4_flash,direct,file_doc_029,5,0.0,1.0,1.0
deepseek_v4_flash,direct,file_doc_030,5,0.0,1.0,1.0
deepseek_v4_flash,direct,sheet_db_021,5,0.0,1.0,1.0
deepseek_v4_flash,direct,sheet_db_022,5,0.0,1.0,1.0
deepseek_v4_flash,direct,sheet_db_023,5,0.0,1.0,1.0
deepseek_v4_flash,direct,sheet_db_024,5,0.0,1.0,1.0
deepseek_v4_flash,direct,sheet_db_025,5,0.0,1.0,1.0
deepseek_v4_flash,direct,sheet_db_026,5,0.0,1.0,1.0
deepseek_v4_flash,direct,sheet_db_027,5,0.0,1.0,1.0
deepseek_v4_flash,direct,sheet_db_028,5,0.0,1.0,1.0
deepseek_v4_flash,direct,sheet_db_029,5,0.0,1.0,1.0
deepseek_v4_flash,direct,sheet_db_030,5,0.0,1.0,1.0
deepseek_v4_flash,plan_first,calendar_021,5,0.0,1.0,1.0
deepseek_v4_flash,plan_first,calendar_022,5,0.0,1.0,1.0
deepseek_v4_flash,plan_first,calendar_023,5,0.0,1.0,1.0
deepseek_v4_flash,plan_first,calendar_024,5,0.0,1.0,1.0
deepseek_v4_flash,plan_first,calendar_025,5,0.0,1.0,1.0
deepseek_v4_flash,plan_first,calendar_026,5,0.0,1.0,1.0
deepseek_v4_flash,plan_first,calendar_027,5,0.0,1.0,1.0
deepseek_v4_flash,plan_first,calendar_028,5,0.0,1.0,1.0
